Page ID,Page Name,Disclaimer,Amount Spent (DKK)
288315184625473,Sulisitsisut - Grønlands Erhverv,Sulisitsisut - Grønlands Erhverv,16505
288315184625473,Sulisitsisut - Grønlands Erhverv,Grønlands Erhverv,14651
110037432525584,Demokraatit / Demokraterne,Demokraatit/Demokraterne,13678
298461170736,U.S. Embassy Denmark,U.S. Embassy Denmark,4598
2353909004845982,UNICEF.gl,UNICEF Grønland,4250
1220360641465900,Arctic Import Nuuk,These ads ran without a disclaimer,3670
429710167109094,"Múte Bourup Egede, Inuit Ataqatigiit",Múte Egede,3082
110037432525584,Demokraatit / Demokraterne,These ads ran without a disclaimer,3080
686743388088719,"Aaja Chemnitz Larsen, Inuit Ataqatigiit",Inuit Ataqatigiit i Folketinget,2912
185741612014,Nordisk Ministerråd og Nordisk Råd,Nordisk Ministerråd og Nordisk Råd,2519
105319354656140,Jens-Frederik Nielsen,Jens-Frederik Nielsen,2358
112488380887035,Bjørk Lange Kristensen,Bjørk Kristensen,1082
219366052086824,Tunngavik - Forfatningskommissionen,These ads ran without a disclaimer,1000
1908555716068612,Nunatsinni aalisarneq pigiinnartigu,Sulisitsisut - Grønlands Erhverv,918
167695907272600,Terapi Iperaaneq,These ads ran without a disclaimer,771
720718118004471,Nivi Olsen,Nivi Olsen,734
101869648556032,Politikerit.gl,Motzfeldt IT,526
1967947213457407,Malene Vahl Rasmussen - Demokraatit,Malene Rasmussen,480
1558219657747632,Aqqalu C. Jerimiassen - Atassut,Aqqalu Jerimiassen,452
430834623768926,Naleraq,Partii Naleraq,416
949872221768538,Inuit Ataqatigiit Folketingimi,Inuit Ataqatigiit i Folketinget,404
141343589252160,Dansk Industri - DI,Dansk Industri,400
1947325941997078,Atassut,These ads ran without a disclaimer,396
280796422025126,MIO - Meeqqat Pisinnaatitaaffiinut Sullissivik,These ads ran without a disclaimer,351
297229603803187,Kasper Petersen Professionel snydepels,Henrik Bjørn Christensen,329
1695889637360770,Hempire,These ads ran without a disclaimer,305
1274609209296912,Lena Ravn Davidsen - Demokraatit,These ads ran without a disclaimer,304
104476084997472,Avaaraq S. Olsen,Avaaraq Sofiaaraq Olsen,291
1374561019251110,Inuitrecruitment aps,These ads ran without a disclaimer,282
139239926563404,Pele Broberg,Partii Naleraq,282
104897571416031,Knud Mathiassen - Inuit Ataqatigiit,These ads ran without a disclaimer,267
108218475900778,Inuit Ataqatigiit Kattuffiat,Inuit Ataqatigiit Kattuffiat,220
173250876187615,INI A/S,INI A/S,200
235963729870481,Naalakkersuisut/ Government of Greenland,These ads ran without a disclaimer,193
139239926563404,Pele Broberg,These ads ran without a disclaimer,182
101526242017381,Inunnguaq Reimer - Siumut,Inunnguaq Reimer,151
103708871238400,Meeqqat Oqartussaaqataanerat Sisimiuni - Børnedemokrati i Sisimiut,Meeqqat Oqartussaaqataanerat Sisimiuni - Børnedemokrati i Sisimiut,150
1600418650275606,Aki-Matilda Høegh-Dam,These ads ran without a disclaimer,141
101526242017381,Inunnguaq Reimer - Siumut,These ads ran without a disclaimer,116
686743388088719,"Aaja Chemnitz Larsen, Inuit Ataqatigiit",These ads ran without a disclaimer,110
28312410177,World Food Programme,These ads ran without a disclaimer,104
1077456518979264,BankNordik Kalaallit Nunaat,These ads ran without a disclaimer,103
0,Instagram User 2655999269,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
1558219657747632,Aqqalu C. Jerimiassen - Atassut,These ads ran without a disclaimer,≤100
108218475900778,Inuit Ataqatigiit Kattuffiat,These ads ran without a disclaimer,≤100
101869648556032,Politikerit.gl,These ads ran without a disclaimer,≤100
404944526644824,Anna Wangenheim,Anna Wangenheim,≤100
105023317585592,Innovation South Greenland A/S,These ads ran without a disclaimer,≤100
101057278736144,"Mariia Simonsen, IA Inatsisartunut",Hans-Peter Abel Nørager Bay,≤100
122409711114194,The Nordic Council of Ministers and The Nordic Council,The Nordic Council of Ministers and The Nordic Council,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
105319354656140,Jens-Frederik Nielsen,These ads ran without a disclaimer,≤100
109241243937779,Issi Productions,These ads ran without a disclaimer,≤100
581774038543494,WWF i Grønland,These ads ran without a disclaimer,≤100
102919915123150,Emanuel Møller Siumut,These ads ran without a disclaimer,≤100
256500007738803,Transparency Greenland,These ads ran without a disclaimer,≤100
298461170736,U.S. Embassy Denmark,These ads ran without a disclaimer,≤100
562677947551701,Pollster - En faktabaseret Podcast om Politik,Thomas Nørskov,≤100
480305829018059,Badland Brawl,These ads ran without a disclaimer,≤100
107782501354179,Poul Petersen - Demokraatit,These ads ran without a disclaimer,≤100
351130028965624,"Pinngortitaleriffik, Grønlands Naturinstitut",These ads ran without a disclaimer,≤100
101351604906237,Jonas qullu kristoffersen-demokraatit,These ads ran without a disclaimer,≤100
1221024421392816,Aqqalukkuluk Fontain - Inuit Ataqatigiit Inatsisartunut qinigassanngortitaq,These ads ran without a disclaimer,≤100
915465915145907,ALDE Partiet-  Individuelt Medlemskab i Danmark,Pedersen Rene Birger,≤100
199460384184884,Perro Grande Music,These ads ran without a disclaimer,≤100
1104790642968068,Peter Seier Christensen,Peter Seier Christensen,≤100
175163682507544,Vivi Vold,These ads ran without a disclaimer,≤100
161388993876216,Dansk Europamission,Dansk Europamission,≤100
103699871780912,Jens Kristian Berthelsen - Siumut,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
112625787541041,Hans Frederik Olsen - Siumut,These ads ran without a disclaimer,≤100
526913250664874,Evelyn M. Frederiksen,These ads ran without a disclaimer,≤100
125854754245857,Son of a Tailor,These ads ran without a disclaimer,≤100
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,≤100
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
1635736753328236,Fortrade Online Trading,These ads ran without a disclaimer,≤100
2845714342135579,Udkantsposten,These ads ran without a disclaimer,≤100
429710167109094,"Múte Bourup Egede, Inuit Ataqatigiit",These ads ran without a disclaimer,≤100
381821108662147,Syvende Dags Kristne,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
8002590959,Rainforest Action Network,These ads ran without a disclaimer,≤100
141567239237218,Help Lightning,These ads ran without a disclaimer,≤100
825797611117978,Cool Gadgets,These ads ran without a disclaimer,≤100
362189887913523,Renshengshop,These ads ran without a disclaimer,≤100
427810900693420,MF Fire,These ads ran without a disclaimer,≤100
1878320149136407,Rise of Empires: Ice and Fire,These ads ran without a disclaimer,≤100
2120039591371175,Wondershare FamiSafe,These ads ran without a disclaimer,≤100
109845107083417,Bravo novel,These ads ran without a disclaimer,≤100
0,Instagram User 521020570,These ads ran without a disclaimer,≤100
2133370100034168,Gadgets Go,These ads ran without a disclaimer,≤100
109253394199032,Excellent book,These ads ran without a disclaimer,≤100
110658457315245,Solar LED Stair Lights - Boundery,These ads ran without a disclaimer,≤100
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100
100466264657702,Giantef,These ads ran without a disclaimer,≤100
226100820835641,Kristen Bell,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
1947525322184514,One Fair Wage,These ads ran without a disclaimer,≤100
1948285252109900,2Number - Second Phone Number,These ads ran without a disclaimer,≤100
115366836686423,RegrowAustralia,These ads ran without a disclaimer,≤100
103330614770934,Ocean Project,These ads ran without a disclaimer,≤100
762425730781895,World of Kings,These ads ran without a disclaimer,≤100
312567513172,Tufina Watches,These ads ran without a disclaimer,≤100
551158678560402,Epimonia,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
1995272644058039,Arctic Cleaning Services ApS,These ads ran without a disclaimer,≤100
516658892133415,Heroic - Magic Duel,These ads ran without a disclaimer,≤100
141764179693757,Nuutoqaq / Nuuk Lokalmuseum,These ads ran without a disclaimer,≤100
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100
832298706889408,111%,These ads ran without a disclaimer,≤100
593371571021420,Safe24 - Find Family & Friends,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
265599070546107,Tillie Martinussen,These ads ran without a disclaimer,≤100
107474007681615,Donate to Save Yemen Lives,These ads ran without a disclaimer,≤100
2012782102122157,The Mack Talks,These ads ran without a disclaimer,≤100
