Page ID,Page Name,Disclaimer,Amount Spent (DKK)
67571270393,Red Barnet,Red Barnet,250437
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,226364
65929129383,Røde Kors,Røde Kors,204280
41459763029,Socialdemokratiet,Socialdemokratiet,194946
26458152911,SOS Børnebyerne,SOS Børnebyerne,188749
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",168653
220361474643059,Arla,Arla,150016
399210657232918,PlanBørnefonden,PlanBørnefonden,123188
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,114790
90497015205,Kvickly,Coop,104301
178362315106,European Parliament,European Parliament,103323
63691965101,UNICEF Danmark,UNICEF Danmark,102818
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,102720
109012749124622,3F - Gør dig stærkere,3F - Danmarks Stærkeste Fagforening,96294
125934997444897,SuperBrugsen,Coop,89158
36664432940,Amnesty International Danmark,Amnesty International Danmark,87897
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,85927
250994288337708,Sex og Samfund,Sex og Samfund,84131
72672361910,Børns Vilkår,Børns Vilkår,80588
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),78917
116269191760882,DSB,DSB,78437
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,75517
126543540781090,Ældre Sagen,Ældre Sagen,71843
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,71726
194089010674568,Finansforbundet (DK),Finansforbundet (DK),70496
112664272109384,Skagenfood,Skagenfood,70045
57497067718,Mette Frederiksen,Socialdemokratiet,69510
74796954245,SF,SF,66255
130388840342741,Danske Bank,Danske Bank,65751
144965885963,Oxfam IBIS,Oxfam IBIS,62996
520449347983427,Dansk Folkeparti,Dansk Folkeparti,57759
10150141618795408,Coop Danmark,Coop,57183
55365680705,Greenpeace Danmark,Greenpeace Danmark,56768
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,54434
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,53141
1039840406189567,Morten Klessen,Socialdemokratiet i Nordjylland,52234
223690937691260,Falck Danmark,Falck Danmark,50279
106952222676974,Liberal Alliance,Liberal Alliance,47813
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,44416
684016791662654,Christina Egelund,Liberal Alliance,44226
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,43924
104544224264943,3F Transport,3F Transport,43643
784211188333860,Dagli’Brugsen,Coop,43605
107898832590939,European Commission,European Commission,43372
1988450301399589,Danica Pension,Danica Pension,42615
358828094665364,Mia Tang,Mia Tang,41826
1270634403002717,Danish Crown,Danish Crown,39756
136775899834790,Plantebevægelsen,Plantebevægelsen,38052
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,36849
66328502645,Dagbladet Information,These ads ran without a disclaimer,36174
12860228293,Politiken,These ads ran without a disclaimer,36161
65929129383,Røde Kors,These ads ran without a disclaimer,35435
141343589252160,Dansk Industri - DI,Dansk Industri,35396
2109922459023773,Veganerpartiet,Veganerpartiet,35123
1877705062505422,Ren madglæde,Ren madglæde,34613
121660121250866,Spar Nord Fonden,Spar Nord Fonden,33781
133707013355759,Danner,Danner,32746
223040066022,Enhedslisten,Enhedslisten,32353
49348971479,Pia Olsen Dyhr,SF,31765
144098125661833,Nordea Invest,Nordea Invest,31330
197081207401960,Henrik Buchhave,Buchhave Henrik,30319
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,30201
1378861979080037,Torsten Schack Pedersen,Pedersen Torsten Schack,30199
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,29957
112058486903106,Vores Mål,2030-panelet,29838
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,29771
735535959817481,Rotary Distrikt 1440,Rotary Distrikt 1440,29411
191547430887338,Alzheimerforeningen,Alzheimerforeningen,28813
968210306678930,Børneavisen,Børneavisen,28639
1531094703803625,fakta,Coop,28331
1512534209063033,GF Forsikring,GF Forsikring,26830
13808707023,Netto,Netto,26077
1727075740642843,Søren Valgreen Knudsen,Knudsen Soren Valgreen,25652
231846396898755,Knorr,Knorr,25313
414066575314961,Er du OK?,Fagbevægelsens Hovedorganisation,25253
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",25142
494902077334290,Tuborgfondet,Tuborgfondet,24893
155006118510945,Thomas Thomsen,Thomsen Thomas,24635
1719764131664489,Anne Honoré Østergaard,Ostergaard Anne Honore,23257
129802704387687,Per Larsen,Det Konservative Folkeparti,23211
107331721164,Djøf Studerende,Djøf,22813
12860228293,Politiken,Politiken,22538
124375627628891,SEAS-NVE,SEAS-NVE,22225
671022293105597,Alex Vanopslagh,Liberal Alliance,21831
665462313475794,Lise Bech - Dansk Folkeparti,Bech Lise,21829
104845427961964,Smag på Danmark,These ads ran without a disclaimer,21731
131935326880890,Mødrehjælpen,Mødrehjælpen,21288
533374726861312,Kim Edberg Andersen,Kim Edberg Andersen-Kristoffersen,21225
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,21177
1434894720136798,Alternativet Nordjylland,Alternativet Nordjylland,20812
1489836057958537,Karsten Lauritzen,Lauritzen Karsten Styrbaek,20195
