Page ID,Page Name,Disclaimer,Amount Spent (DKK)
67571270393,Red Barnet,Red Barnet,543510
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,483220
65929129383,Røde Kors,Røde Kors,436543
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,426851
26458152911,SOS Børnebyerne,SOS Børnebyerne,405729
41459763029,Socialdemokratiet,Socialdemokratiet,350533
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",306026
220361474643059,Arla,Arla,281601
399210657232918,PlanBørnefonden,PlanBørnefonden,251990
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,228855
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,213726
178362315106,European Parliament,European Parliament,200683
90497015205,Kvickly,Coop,199791
63691965101,UNICEF Danmark,UNICEF Danmark,197794
36664432940,Amnesty International Danmark,Amnesty International Danmark,189873
130388840342741,Danske Bank,Danske Bank,179363
250994288337708,Sex og Samfund,Sex og Samfund,173671
125934997444897,SuperBrugsen,Coop,171904
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),171138
72672361910,Børns Vilkår,Børns Vilkår,170393
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,167876
109012749124622,3F - Gør dig stærkere,3F - Danmarks Stærkeste Fagforening,155599
116269191760882,DSB,DSB,153932
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,149238
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,145787
126543540781090,Ældre Sagen,Ældre Sagen,140557
520449347983427,Dansk Folkeparti,Dansk Folkeparti,138536
397094903687472,Mai Mercado,Mai Mercado,136583
144965885963,Oxfam IBIS,Oxfam IBIS,131081
57497067718,Mette Frederiksen,Socialdemokratiet,125788
55365680705,Greenpeace Danmark,Greenpeace Danmark,123514
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,123464
194089010674568,Finansforbundet (DK),Finansforbundet (DK),116580
74796954245,SF,SF,114338
10150141618795408,Coop Danmark,Coop,109332
112664272109384,Skagenfood,Skagenfood,104760
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,103374
1988450301399589,Danica Pension,Danica Pension,96248
223690937691260,Falck Danmark,Falck Danmark,93826
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,92908
107898832590939,European Commission,European Commission,87310
66328502645,Dagbladet Information,These ads ran without a disclaimer,83495
784211188333860,Dagli’Brugsen,Coop,83181
12860228293,Politiken,These ads ran without a disclaimer,82530
164203730418041,Tommy Hummelmose,Hummelmose Tommy,81827
65929129383,Røde Kors,These ads ran without a disclaimer,81299
1512534209063033,GF Forsikring,GF Forsikring,80081
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,78518
390925417751473,Erling Bonnesen,Bonnesen Erling Faber,77646
2109922459023773,Veganerpartiet,Veganerpartiet,77030
106952222676974,Liberal Alliance,Liberal Alliance,75575
531761723507375,Kristian Thulesen Dahl,Dansk Folkeparti,74462
136775899834790,Plantebevægelsen,Plantebevægelsen,74085
1270634403002717,Danish Crown,Danish Crown,73541
133707013355759,Danner,Danner,72060
115640115158981,SF Region Syddanmark,SF,70842
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,69492
852608988134698,Tikko,Tikko,69172
104544224264943,3F Transport,3F Transport,67441
1877705062505422,Ren madglæde,Ren madglæde,67030
177609692660255,Niels Flemming Hansen,Hansen Niels Flemming Schultz,63280
141343589252160,Dansk Industri - DI,Dansk Industri,62177
144098125661833,Nordea Invest,Nordea Invest,60525
49348971479,Pia Olsen Dyhr,SF,58537
223040066022,Enhedslisten,Enhedslisten,57546
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,55879
301279783370957,Steen Holm Iversen,Steen Holm Iversen,55780
191547430887338,Alzheimerforeningen,Alzheimerforeningen,54788
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,54624
1531094703803625,fakta,Coop,53715
112058486903106,Vores Mål,2030-panelet,53274
968210306678930,Børneavisen,Børneavisen,53186
13808707023,Netto,Netto,50110
231846396898755,Knorr,Knorr,48741
12860228293,Politiken,Politiken,47924
414066575314961,Er du OK?,Fagbevægelsens Hovedorganisation,46470
494902077334290,Tuborgfondet,Tuborgfondet,45135
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,44396
26458152911,SOS Børnebyerne,These ads ran without a disclaimer,43223
104845427961964,Smag på Danmark,These ads ran without a disclaimer,41681
107331721164,Djøf Studerende,Djøf,40462
131935326880890,Mødrehjælpen,Mødrehjælpen,40228
253132104886911,Kvisten,Kvisten,40218
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,38457
124375627628891,SEAS-NVE,SEAS-NVE,37914
116061635098137,Karina Lorentzen Dehnhardt,Dehnhardt Karina Lorentzen,37848
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,37450
102071101766821,Sex? Kun med samtykke,Sex kun med samtykke,36971
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",36800
547601668763372,Lizette Risgaard,Lizette Risgaard,36322
183887801641951,Verdens Skove,Verdens Skove,35956
671022293105597,Alex Vanopslagh,Liberal Alliance,35548
341299649231023,Zetland,Zetland,35147
864373427248898,Dybbøl Banke Skansegården,These ads ran without a disclaimer,34517
646746285466931,Nye Borgerlige,Nye Borgerlige,34373
41459763029,Socialdemokratiet,These ads ran without a disclaimer,34047
676061179094769,Alternativet,Alternativet,33573
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,33193
46151445835,Dan Jørgensen,Socialdemokratiet,32906
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,31901
425927674119415,Camilla Hersom - offentlig,Hersom Camilla,31583
154415494575789,IDA,IDA,30761
231609407194100,Isabella Arendt,Kristendemokraterne,30679
170902079673829,Ørsted,Ørsted,30341
314676938743,DM din akademiske fagforening,Dansk Magisterforening,30028
127178647715,Julemærkefonden,Julemærkefonden,29639
610636735742023,ODEON,ODEON,29542
100836634954174,SletDet,Red Barnet,29509
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,29328
129940943738051,Odense ser Rødt,Odense ser Rødt / Rundfunk la Rouge,29242
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,28472
243765466796,Vejle Kommune,Vejle Kommune,28235
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,28219
153708144675646,PFA,PFA,28120
408582579294175,UK government,These ads ran without a disclaimer,27830
98135994249,Diabetesforeningen,Diabetesforeningen,27694
783709408832368,De Grønne - Danmarks Grønne Liberale Parti,Holm Jonas,27635
167891603415958,Lederne,Lederne,26945
867877683280051,Weekendavisen,Weekendavisen,26755
304554445813,Bolius,Bolius,26637
1408142216156387,Lars Chr. Lilleholt,Lars Chr. Lilleholt,26486
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,26357
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,26239
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,26160
2186079465008254,Velliv Foreningen,Velliv Foreningen,26056
529124290474705,Nikolaj Villumsen,Enhedslisten,25953
221239504574504,Bo Godt,BeboerBladet,25842
424159230945271,Christel Schaldemose,Christel Schaldemose,25637
112664272109384,Skagenfood,These ads ran without a disclaimer,25293
59143726810,Psykiatrifonden,These ads ran without a disclaimer,24870
190576781304993,Realdania,These ads ran without a disclaimer,24503
359674067377201,BUPL,BUPL,24123
246977185497434,Plastic Change,Plastic Change,23424
17428770950,Ræson,Clement Kjersgaard,23385
33588644626,World Animal Protection Danmark,These ads ran without a disclaimer,23360
8432708678,Clio,Clio,23345
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,23316
19176473894,IMS (International Media Support),IMS (International Media Support),23292
272331562901791,Christoffer Lilleholt,Christoffer Lilleholt,23221
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,22772
108099197264611,VoksenVaccination,MSD Danmark,22607
221746618023209,Arbejdernes Landsbank,Arbejdernes Landsbank,22523
121660121250866,Spar Nord Fonden,Spar Nord Fonden,22447
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,22191
98486774725,Djøf,Djøf,22130
1202144586507625,Stine Bardeleben Helles,Helles Stine,22105
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,21041
329236874385098,Marianne Vind,Marianne Vind,20551
1653030171620285,Wefood,Folkekirkens Nødhjælp,20480
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,20392
69985338410,Jacob Mark,SF,20347
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,20244
270431402967189,Benny Engelbrecht,Socialdemokratiet,20214
313024569028540,Mino Danmark,Mino Danmark,20105
100452371679699,Øropa - Dit indblik i EU,Enhedslisten,19363
