Page ID,Page Name,Disclaimer,Amount Spent (DKK)
112664272109384,Skagenfood,Skagenfood,238
220361474643059,Arla,Arla,227
90497015205,Kvickly,Coop,192
13808707023,Netto,Netto,180
125934997444897,SuperBrugsen,Coop,102
683682235062292,Jens-Henrik Kirk,These ads ran without a disclaimer,≤100
784211188333860,Dagli’Brugsen,Coop,≤100
321741538368636,Stram Kurs,These ads ran without a disclaimer,≤100
116269191760882,DSB,DSB,≤100
155596147784577,WWF Verdensnaturfonden,These ads ran without a disclaimer,≤100
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,≤100
36664432940,Amnesty International Danmark,These ads ran without a disclaimer,≤100
1945999435500667,Love Beauty and Planet DK,Unilever,≤100
127791457997348,Folkebevægelsen for asylbørns fremtid,These ads ran without a disclaimer,≤100
611297145887529,Claus Hasselmann - Folketingskandidat,These ads ran without a disclaimer,≤100
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,≤100
231846396898755,Knorr,Knorr,≤100
10150141618795408,Coop Danmark,Coop,≤100
59143726810,Psykiatrifonden,These ads ran without a disclaimer,≤100
178793372195,LETZ SUSHI,LETZ SUSHI,≤100
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,≤100
67571270393,Red Barnet,Red Barnet,≤100
1351813504859326,GetBarry,These ads ran without a disclaimer,≤100
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,≤100
319060951624796,BetterHome,Niels Kåre Bruun,≤100
165663090885071,Bio-tex,Biotex,≤100
65929129383,Røde Kors,Røde Kors,≤100
399210657232918,PlanBørnefonden,These ads ran without a disclaimer,≤100
55365680705,Greenpeace Danmark,Greenpeace Danmark,≤100
1522101171358705,Rasmus Henriksen,These ads ran without a disclaimer,≤100
1202144586507625,Stine Bardeleben Helles,These ads ran without a disclaimer,≤100
341299649231023,Zetland,Zetland,≤100
1438856909487306,Jacob Netteberg,These ads ran without a disclaimer,≤100
1582192088570360,Bosch Home Denmark,These ads ran without a disclaimer,≤100
38203759052,GOSH COPENHAGEN,E. Tjellesen,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
194089010674568,Finansforbundet (DK),Finansforbundet (DK),≤100
397094903687472,Mai Mercado,These ads ran without a disclaimer,≤100
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,≤100
176457959174031,Simon Aggesen,Lundberg Peter Mark,≤100
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,≤100
214112085661044,Oatly,Oatly,≤100
72672361910,Børns Vilkår,Børns Vilkår,≤100
41459763029,Socialdemokratiet,These ads ran without a disclaimer,≤100
1394304720620628,Anders G. Christensen,These ads ran without a disclaimer,≤100
1316683885129712,graae_aarhus,These ads ran without a disclaimer,≤100
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),DSU,≤100
34290022401,Kristeligt Dagblad,These ads ran without a disclaimer,≤100
119769598101853,Konservativ Ungdom,Konservativ Ungdom,≤100
144965885963,Oxfam IBIS,Oxfam IBIS,≤100
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,≤100
175437749163141,"Kristian Andersen, KD",These ads ran without a disclaimer,≤100
1666889143631205,Drugstars,Claus Møldrup,≤100
369420636431736,Open Doors Danmark,These ads ran without a disclaimer,≤100
1458354184437993,Nicolai Wammen,These ads ran without a disclaimer,≤100
1174658572559408,aftenskolerne.dk,These ads ran without a disclaimer,≤100
250994288337708,Sex og Samfund,These ads ran without a disclaimer,≤100
103369033067277,NOAH,NOAH,≤100
100836634954174,SletDet,Red Barnet,≤100
665216113917321,Rent Hero,These ads ran without a disclaimer,≤100
98486774725,Djøf,Djøf,≤100
1049258185160006,Maja Torp - Politiker,These ads ran without a disclaimer,≤100
2026943437576033,plusimpact.io,plusimpact,≤100
100952085083394,Fremtidens Bæredygtige Landskaber,Fremtidens Bæredygtige Landskaber,≤100
1746194705479995,"Åge M. Staun, næstformand for Folkebevægelsen mod EU",These ads ran without a disclaimer,≤100
1407237706021123,Anne Skau Styrishave,These ads ran without a disclaimer,≤100
167887506877,AIDS-Fondet,AIDS-Fondet,≤100
1987954044580914,Jakob Thiemann - politiker,These ads ran without a disclaimer,≤100
129798890540357,Danmarks Lærerforening Kreds 80,DLF Kreds80,≤100
1469658016633937,Danny Malkowski,Malkowski Danny Knudsen,≤100
741255806000841,Skatteministeren,These ads ran without a disclaimer,≤100
1981191065452386,PIT Hegn,These ads ran without a disclaimer,≤100
65929129383,Røde Kors,These ads ran without a disclaimer,≤100
273231939546,Syddjurs Kommune,These ads ran without a disclaimer,≤100
208587222546570,Trampolinhuset,These ads ran without a disclaimer,≤100
273915394506,Bilka,Bilka,≤100
456176268097215,Gert Løfgren - DF  Spidskandidat til KV21 for Dansk Folkeparti,These ads ran without a disclaimer,≤100
1109822592433969,Waturu Holding A/S,Waturu Holding A/S,≤100
2102867439939567,Business Esbjerg,These ads ran without a disclaimer,≤100
161381229210,SFOF,These ads ran without a disclaimer,≤100
319060951624796,BetterHome,These ads ran without a disclaimer,≤100
1408142216156387,Lars Chr. Lilleholt,These ads ran without a disclaimer,≤100
