Page ID,Page Name,Disclaimer,Amount Spent (DKK)
67571270393,Red Barnet,Red Barnet,418138
65929129383,Røde Kors,Røde Kors,390521
26458152911,SOS Børnebyerne,SOS Børnebyerne,316730
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,291160
41459763029,Socialdemokratiet,Socialdemokratiet,232045
399210657232918,PlanBørnefonden,PlanBørnefonden,197003
220361474643059,Arla,Arla,163668
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,153485
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,151993
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",148025
63691965101,UNICEF Danmark,UNICEF Danmark,142160
36664432940,Amnesty International Danmark,Amnesty International Danmark,137134
72672361910,Børns Vilkår,Børns Vilkår,136450
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),133712
130388840342741,Danske Bank,Danske Bank,129509
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,127889
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,127118
90497015205,Kvickly,Coop,120683
250994288337708,Sex og Samfund,Sex og Samfund,118373
124375627628891,SEAS-NVE,SEAS-NVE,117965
178362315106,European Parliament,European Parliament,116021
126543540781090,Ældre Sagen,Ældre Sagen,109954
125934997444897,SuperBrugsen,Coop,107259
144965885963,Oxfam IBIS,Oxfam IBIS,105679
55365680705,Greenpeace Danmark,Greenpeace Danmark,103369
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,101609
694774630542305,TryghedsGruppen,TryghedsGruppen,95740
109012749124622,3F - Gør dig stærkere,3F - Danmarks Stærkeste Fagforening,95492
116269191760882,DSB,DSB,90217
12860228293,Politiken,These ads ran without a disclaimer,89055
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,84995
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,83161
74796954245,SF,SF,82098
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,81941
194089010674568,Finansforbundet (DK),Finansforbundet (DK),78524
57497067718,Mette Frederiksen,Socialdemokratiet,76970
112664272109384,Skagenfood,Skagenfood,74056
223690937691260,Falck Danmark,Falck Danmark,71865
133707013355759,Danner,Danner,70053
2109922459023773,Veganerpartiet,Veganerpartiet,68297
10150141618795408,Coop Danmark,Coop,67727
520449347983427,Dansk Folkeparti,Dansk Folkeparti,66220
504310436316194,Laura Lindahl,Laura Lindahl,61147
577345799101307,Morten Dahlin,Morten Dahlin,60933
127344360615074,Zenia Stampe,Zenia Stampe,59208
66328502645,Dagbladet Information,These ads ran without a disclaimer,58757
1988450301399589,Danica Pension,Danica Pension,58404
65929129383,Røde Kors,These ads ran without a disclaimer,54903
1995019340791443,Naser Khader,Naser Khader,53401
136775899834790,Plantebevægelsen,Plantebevægelsen,51655
784211188333860,Dagli’Brugsen,Coop,50201
107898832590939,European Commission,European Commission,49277
104544224264943,3F Transport,3F Transport,48377
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,48168
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,47834
101875098313543,Andel,Andel,44369
69985338410,Jacob Mark,SF,43404
572838916149824,ARGO,ARGO,42437
1512534209063033,GF Forsikring,GF Forsikring,41304
141343589252160,Dansk Industri - DI,Dansk Industri,40703
1877705062505422,Ren madglæde,Ren madglæde,40573
26458152911,SOS Børnebyerne,These ads ran without a disclaimer,40465
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,40337
191547430887338,Alzheimerforeningen,Alzheimerforeningen,38725
49348971479,Pia Olsen Dyhr,SF,38306
12860228293,Politiken,Politiken,37588
1492391310793372,Ken Kristensen,Kristensen Ken,37533
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,37335
144098125661833,Nordea Invest,Nordea Invest,37157
223040066022,Enhedslisten,Enhedslisten,36657
968210306678930,Børneavisen,Børneavisen,36489
1270634403002717,Danish Crown,Danish Crown,35674
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,35037
112058486903106,Vores Mål,2030-panelet,34977
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,34743
1531094703803625,fakta,Coop,32747
2186079465008254,Velliv Foreningen,Velliv Foreningen,31692
13808707023,Netto,Netto,31381
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,29638
183887801641951,Verdens Skove,Verdens Skove,29029
231846396898755,Knorr,Knorr,28814
131935326880890,Mødrehjælpen,Mødrehjælpen,26985
414066575314961,Er du OK?,Fagbevægelsens Hovedorganisation,26337
229347797233832,Brigitte Klintskov Jerkel Politiker,Jerkel Brigitte Klintskov,25298
1104790642968068,Peter Seier Christensen,Peter Seier Christensen,25216
494902077334290,Tuborgfondet,Tuborgfondet,25040
329236874385098,Marianne Vind,Marianne Vind,25036
104845427961964,Smag på Danmark,These ads ran without a disclaimer,24871
