Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
178362315106,European Parliament,European Parliament,30079,833
321163977576,Isamaa erakond,Isamaa erakond,17570,125
105855061351311,Isamaalised,Isamaalised MTÜ,14434,50
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,10785,131
536519246456733,Jaak Madison,Madison Jaak,10766,66
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,9660,116
165505543854570,Edasi.org,Edasi.org,8695,322
223092011815453,Urmas Paet,Paet Urmas,8492,84
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,7538,110
625329771243439,Andrei Korobeinik,Eesti Keskerakond,6286,475
108132487505042,Medifum,Erik Rattasepp,5772,7
339367456669277,Igor Gräzin,Igor Gräzin,5300,45
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,4713,20
161252453921396,Keskerakond,Keskerakond,4442,341
191048954816233,Utilitas,Utilitas,4144,123
153831901296665,Tehnopol,Tehnopol,4061,51
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,3841,19
161252453921396,Keskerakond,Eesti Keskerakond,3307,482
80124492882,Reformierakond,Reformierakond,3226,89
407479074907,RMK,RMK,3184,72
256434472932,Õhtuleht,Õhtuleht,3117,20
1532805486974348,Anti Poolamets - poliitik,Anti Poolamets,2934,145
107898832590939,European Commission,European Commission,2736,199
1380694195285538,Центристская партия / Tsentristskaja partija,Eesti Keskerakond,2506,150
1033457073332454,Taavi Rõivas,Eesti Reformierakond,2498,13
651496914998204,Marina Kaljurand,Marina Kaljurand,2419,68
2367048563336709,YanaToom.ee,Toom Yana,2316,96
326940990843491,Erki Savisaar,Eesti Keskerakond,2275,92
1503540286558083,ETKA Andras,These ads ran without a disclaimer,2259,11
321163977576,Isamaa erakond,These ads ran without a disclaimer,2163,10
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,1885,5
1739888166230017,Mailis Reps,Eesti Keskerakond,1802,92
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,1792,16
589784704806235,Ostuklikk,Janek Lind,1759,50
274708419868399,Maria Jufereva-Skuratovski,Keskerakond,1719,177
48034275355,EPP - European People's Party,EPP - European People's Party,1699,53
1669480636672455,Cleantech ForEst,Cleantech ForEst MTÜ,1687,29
162244807165070,RMK по-русски,RMK,1611,76
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,1595,14
443351665830219,Timber.ee,Timber.ee,1486,11
305608429284,EU Environment,EU Environment,1409,28
597669946998762,Reformierakond Tallinnas,Reformierakond,1389,89
223092011815453,Urmas Paet,Renew Europe Group,1346,31
1010649029140283,Siret Kotka,Eesti Keskerakond,1343,110
106297677502536,Julianna Jurtšenko,Julianna Jurtšenko,1342,243
179753402089010,Ahhaa,These ads ran without a disclaimer,1333,36
137318852972928,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,1273,17
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,1270,38
671308106236480,Eesti Konservatiivne Rahvaerakond,Berg Holger,1258,11
106062197443526,Rohegeenius,Geenius Meedia,1224,40
438816796473169,Mihhail Korb,Eesti Keskerakond,1161,115
197603360697785,Tiit Terik,Tiit Terik,1138,105
141366725876424,European Greens,European Greens,1113,8
2012394932389774,Triin Saag,Saag Triin,1071,59
383403508369488,Социал-демократическая партия,Sotsiaaldemokraatlik Erakond,1054,30
2058809891030647,Eesti Uudised,Eesti Uudised,1044,28
1109453782417810,Tartu Eest valimisliit,Tanel Tein,1024,33
112076490462850,Kaalukeel,Kaalukeel,978,124
124913684200476,ResPublica,Isamaa erakond,959,10
1033457073332454,Taavi Rõivas,Roivas Taavi,936,31
108255437477996,ГОЛОС Маарду,Nikolai Degtjarenko,905,44
1478522815530132,Sven Sester,Isamaa - Sven Sester,900,9
848451318826273,Tanel Kiik,Tanel Kiik,866,14
115634898452178,Postimees,AS Postimees Grupp,854,74
419827918155173,Jüri Ratas,Eesti Keskerakond,831,77
103840171043546,Risto Kask,Risto Kask,808,135
1745574512413083,Põhja-Eesti Regionaalhaigla,These ads ran without a disclaimer,801,28
1452220361746237,Kristiine Linnaosa,Dmitry Kukushkin,787,59
126693994065708,Mihhail Kõlvart,Mihhail Kõlvart,784,35
625329771243439,Andrei Korobeinik,Andrei Korobeinik,760,63
149700202809,SEB Eesti,These ads ran without a disclaimer,756,15
1627233643964859,Nikolai Degtjarenko_Николай Дегтяренко,Nikolai Degtjarenko,755,47
1535510530084119,Раймонд Кальюлайд,These ads ran without a disclaimer,719,12
102556191461116,Parempoolsed,Isamaa Erakonna liikmeühendus Parempoolsed,708,79
527828151001361,Riigitulu.ee,Kristjan Järvan,700,1
240966039259839,Slush,These ads ran without a disclaimer,689,203
2217643278496367,Riho Terras,Riho Terras,680,56
503635753156660,Urmas Reinsalu,Isamaa erakond,674,5
