Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,15325
321163977576,Isamaa erakond,Isamaa erakond,8397
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,7178
105855061351311,Isamaalised,Isamaalised MTÜ,6573
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,6298
165505543854570,Edasi.org,Edasi.org,5475
536519246456733,Jaak Madison,Madison Jaak,5340
223092011815453,Urmas Paet,Paet Urmas,4487
191048954816233,Utilitas,Utilitas,3550
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,3474
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,3449
625329771243439,Andrei Korobeinik,Eesti Keskerakond,3059
153831901296665,Tehnopol,Tehnopol,2800
108132487505042,Medifum,Erik Rattasepp,2671
339367456669277,Igor Gräzin,Igor Gräzin,2518
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,1758
161252453921396,Keskerakond,Keskerakond,1711
48034275355,EPP - European People's Party,EPP - European People's Party,1692
274708419868399,Maria Jufereva-Skuratovski,Keskerakond,1681
326940990843491,Erki Savisaar,Eesti Keskerakond,1576
1380694195285538,Центристская партия / Tsentristskaja partija,Eesti Keskerakond,1556
80124492882,Reformierakond,Reformierakond,1546
2367048563336709,YanaToom.ee,Toom Yana,1543
407479074907,RMK,RMK,1499
597669946998762,Reformierakond Tallinnas,Reformierakond,1357
256434472932,Õhtuleht,Õhtuleht,1326
161252453921396,Keskerakond,Eesti Keskerakond,1277
107898832590939,European Commission,European Commission,1266
651496914998204,Marina Kaljurand,Marina Kaljurand,1252
1669480636672455,Cleantech ForEst,Cleantech ForEst MTÜ,1219
1033457073332454,Taavi Rõivas,Eesti Reformierakond,1201
197603360697785,Tiit Terik,Tiit Terik,1128
321163977576,Isamaa erakond,These ads ran without a disclaimer,1096
438816796473169,Mihhail Korb,Eesti Keskerakond,1078
1503540286558083,ETKA Andras,These ads ran without a disclaimer,990
106297677502536,Julianna Jurtšenko,Julianna Jurtšenko,983
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,946
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,944
162244807165070,RMK по-русски,RMK,941
108255437477996,ГОЛОС Маарду,Nikolai Degtjarenko,905
1478522815530132,Sven Sester,Isamaa - Sven Sester,900
1532805486974348,Anti Poolamets - poliitik,Anti Poolamets,870
1745574512413083,Põhja-Eesti Regionaalhaigla,These ads ran without a disclaimer,801
1739888166230017,Mailis Reps,Eesti Keskerakond,786
1452220361746237,Kristiine Linnaosa,Dmitry Kukushkin,786
126693994065708,Mihhail Kõlvart,Mihhail Kõlvart,763
1627233643964859,Nikolai Degtjarenko_Николай Дегтяренко,Nikolai Degtjarenko,755
103840171043546,Risto Kask,Risto Kask,721
848451318826273,Tanel Kiik,Tanel Kiik,715
305608429284,EU Environment,EU Environment,711
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,673
114835672561853,Jaanus Riibe,Eesti Keskerakond,646
383403508369488,Социал-демократическая партия,Sotsiaaldemokraatlik Erakond,635
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,612
446111129296844,Andre Hanimägi,Keskerakond,612
223092011815453,Urmas Paet,Renew Europe Group,597
137318852972928,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,593
141366725876424,European Greens,European Greens,577
240966039259839,Slush,These ads ran without a disclaimer,574
114305422457130,Tõnis Mölder,Eesti Keskerakond,556
193489531066301,Кристийне,Dmitry Kukushkin,551
671308106236480,Eesti Konservatiivne Rahvaerakond,Berg Holger,545
2012394932389774,Triin Saag,Saag Triin,526
589784704806235,Ostuklikk,Janek Lind,526
106062197443526,Rohegeenius,Geenius Meedia,522
1535510530084119,Раймонд Кальюлайд,These ads ran without a disclaimer,508
971885476227076,Tallinna linn,Tallinna linn,505
163327034532726,Tallinna Linnavolikogu,Tallinna Linnavolikogu,488
443351665830219,Timber.ee,Timber.ee,460
124913684200476,ResPublica,Isamaa erakond,458
262611097699728,Kristen Michal Eesti,Reformierakond,452
2058809891030647,Eesti Uudised,Eesti Uudised,411
1033457073332454,Taavi Rõivas,Roivas Taavi,400
350491992434154,Представительство Европейской комиссии в Эстонии,Euroopa Komisjoni esindus Eestis,394
28312410177,World Food Programme,These ads ran without a disclaimer,394
102556191461116,Parempoolsed,Isamaa Erakonna liikmeühendus Parempoolsed,390
114305422457130,Tõnis Mölder,Keskerakond,382
179753402089010,Ahhaa,These ads ran without a disclaimer,374
2217643278496367,Riho Terras,Riho Terras,371
115634898452178,Postimees,AS Postimees Grupp,370
123310201026539,Sotsiaaldemokraatlik Erakond,These ads ran without a disclaimer,357
625329771243439,Andrei Korobeinik,Andrei Korobeinik,345
503635753156660,Urmas Reinsalu,Isamaa erakond,343
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,339
527828151001361,Riigitulu.ee,Kristjan Järvan,329
729627343834501,Kialo,These ads ran without a disclaimer,314
120201966389,Noored Sotsiaaldemokraadid,Noored Sotsiaaldemokraadid,310
143433035688531,Rus.Postimees,AS Postimees Grupp,305
101972409848182,Eesti Mälu Instituut / Estonian Institute of Historical Memory,Eesti Mälu Instituut / Estonian Institute of Historical Memory,303
419827918155173,Jüri Ratas,Eesti Keskerakond,302
100991613317228,Kalle Palling,Reformierakond,300
1033457073332454,Taavi Rõivas,These ads ran without a disclaimer,299
468873137208405,Fermi Energia,Fermi Energia,299
147547541961576,Council of the European Union,Council of the European Union,294
392862200823977,Okupatsioonide ja vabaduse muuseum Vabamu,Liis Meriküll,294
274708419868399,Maria Jufereva-Skuratovski,These ads ran without a disclaimer,289
158493618156,Euroopa Parlamendi Büroo Eestis,Jusson Kristiina,286
149700202809,SEB Eesti,These ads ran without a disclaimer,271
109201207323769,Päästame Eesti Metsad MTÜ,Liina Steinberg,271
877169915631595,Ajaleht Pealinn,Tallinna Linnakantselei,258
656981048150822,EFT Maailm,These ads ran without a disclaimer,251
287435098626920,Toonela,These ads ran without a disclaimer,248
273949493054631,Taimne Teisipäev,Taimne Teisipäev,244
135592520169169,Ühiskonnauuringute Instituut,MTÜ Ühiskonnauuringute Instituut,244
70735295271,Terveilm,Arengukoostöö Ümarlaud,244
239831106225392,seksuaaltervis.ee,Eesti Seksuaaltervise Liit,243
203197030603239,8 Billion Trees,These ads ran without a disclaimer,242
117610381595276,Reforminoored,Reformierakond,236
107565144367890,Julia Timerbulatova,Julia Timerbulatova,230
1463812053668077,Tribuna.ee,Rodion Denissov,228
377562219398154,Eesti 200,Eesti 200,226
405367699805160,Nähtamatud Loomad,Nähtamatud Loomad,226
298050340671487,Marek Jürgenson,Eesti Keskerakond,225
1084372461606422,Raimond Kaljulaid,These ads ran without a disclaimer,224
141366725876424,European Greens,These ads ran without a disclaimer,222
103125341156196,Fine Morning,These ads ran without a disclaimer,217
102460394513853,Игорь Кравченко - Igor Kravtšenko,Eesti Keskerakond,216
229244927148781,Euroopa Maja,These ads ran without a disclaimer,214
101881754571474,Kaido Höövelson,Eesti Keskerakond,209
1380694195285538,Центристская партия / Tsentristskaja partija,Keskerakond,204
776368119127406,Poliitika.guru,Andreas Kaju,204
299986893904,SA Tartu Ülikooli Kliinikumi Lastefond,SA Tartu Ülikooli Kliinikumi Lastefond,199
291846858162209,Kalle Klandorf,Eesti Keskerakond,193
1914863625428136,Hanno Pevkur  #pevkur,Reformierakond,192
103053938173837,Technoloverse,These ads ran without a disclaimer,177
432490497520356,Kõigi Eesti,These ads ran without a disclaimer,175
826367967432699,Henkel Laundry & Home Care,These ads ran without a disclaimer,174
390158814428177,Arvamusfestival,Arvamusfestival,174
101083895050385,Sign It Europe,These ads ran without a disclaimer,173
651420618384351,Jaak Aab,Keskerakond,172
107638470623914,Keep Freedom Unlocked,These ads ran without a disclaimer,172
225617150834794,Tallinna Kesklinna Valitsus,Tallinna Kesklinna Valitsus,171
167472573272165,Mindvalley на русском,These ads ran without a disclaimer,170
1532805486974348,Anti Poolamets - poliitik,These ads ran without a disclaimer,167
274708419868399,Maria Jufereva-Skuratovski,Maria Jufereva-Skuratovski,166
111087996256665,Keit Pentus-Rosimannus,Keit Pentus-Rosimannus,165
1109453782417810,Tartu Eest valimisliit,Tanel Tein,164
681238698922700,Videograaf,These ads ran without a disclaimer,157
256434472932,Õhtuleht,These ads ran without a disclaimer,151
153182254702931,MTÜ Eesti Tuumajaam,MTÜ Eesti Tuumajaam,150
1526714420947462,Vilja Toomast,Reformierakond,149
797159363646506,Reserved,These ads ran without a disclaimer,148
105852494431515,xLaw,ExtendLaw,145
1416375921941680,Marianne Mikko,Sotsiaaldemokraatlik Erakond,145
1777496589189799,Kersti Kaljulaid,Vabariigi Presidendi Kantselei / Office of the President of Estonia,141
1959753937483931,"Jah vabadusele, ei valedele",Sander Vesik,137
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,135
267352183376266,Eesti Energia,Eesti Energia,134
471684969530551,Eesti Pank,Eesti Pank,133
163327034532726,Tallinna Linnavolikogu,These ads ran without a disclaimer,129
103213917730402,Cute as a Button Clothing,These ads ran without a disclaimer,126
403016339823962,Reformierakond - Rae vald,Reformierakond,125
305149483335019,Nespresso Eesti,These ads ran without a disclaimer,123
243365865708649,Партия Реформ,Reformierakond,120
2676936755656473,Fridays For Future Eesti,MTÜ Loodusvõlu,120
111886518858186,Kesknoored,Eesti Keskerakond,119
1010649029140283,Siret Kotka,Eesti Keskerakond,118
