Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,1276
178362315106,European Parliament,European Parliament,1147
105855061351311,Isamaalised,Isamaalised MTÜ,704
625329771243439,Andrei Korobeinik,Eesti Keskerakond,669
1380694195285538,Центристская партия / Tsentristskaja partija,Eesti Keskerakond,595
321163977576,Isamaa erakond,Isamaa erakond,578
1010649029140283,Siret Kotka,Eesti Keskerakond,500
2367048563336709,YanaToom.ee,Toom Yana,494
223092011815453,Urmas Paet,Paet Urmas,453
339367456669277,Igor Gräzin,Igor Gräzin,445
162244807165070,RMK по-русски,RMK,388
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,349
536519246456733,Jaak Madison,Madison Jaak,329
383403508369488,Социал-демократическая партия,Sotsiaaldemokraatlik Erakond,273
161252453921396,Keskerakond,Keskerakond,251
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,232
108132487505042,Medifum,Erik Rattasepp,202
1503540286558083,ETKA Andras,These ads ran without a disclaimer,166
1739888166230017,Mailis Reps,Eesti Keskerakond,144
351648899202042,Eduard Odinets,Odinets Eduard,142
165505543854570,Edasi.org,Edasi.org,133
281740249357644,Dmitri Dmitrijev,Keskerakond,126
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,122
107898832590939,European Commission,European Commission,122
858852260806886,Reformierakond Ida-Virumaal,Reformierakond,120
161252453921396,Keskerakond,Eesti Keskerakond,112
350491992434154,Представительство Европейской комиссии в Эстонии,Euroopa Komisjoni esindus Eestis,108
153831901296665,Tehnopol,Tehnopol,101
143433035688531,Rus.Postimees,AS Postimees Grupp,101
326940990843491,Erki Savisaar,Eesti Keskerakond,≤100
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,≤100
407479074907,RMK,RMK,≤100
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,≤100
80124492882,Reformierakond,Reformierakond,≤100
108120434142202,Denis Larchenko,Denis Larchenko,≤100
484281171903805,Maris Toomel,Reformierakond,≤100
106297677502536,Julianna Jurtšenko,Julianna Jurtšenko,≤100
137318852972928,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,≤100
589784704806235,Ostuklikk,Janek Lind,≤100
625329771243439,Andrei Korobeinik,Andrei Korobeinik,≤100
1535510530084119,Раймонд Кальюлайд,These ads ran without a disclaimer,≤100
250646808998831,Airis Meier Page,Reformierakond,≤100
1532805486974348,Anti Poolamets - poliitik,Anti Poolamets,≤100
223092011815453,Urmas Paet,Renew Europe Group,≤100
299986893904,SA Tartu Ülikooli Kliinikumi Lastefond,SA Tartu Ülikooli Kliinikumi Lastefond,≤100
651496914998204,Marina Kaljurand,Marina Kaljurand,≤100
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,≤100
392862200823977,Okupatsioonide ja vabaduse muuseum Vabamu,Liis Meriküll,≤100
1380694195285538,Центристская партия / Tsentristskaja partija,Keskerakond,≤100
1463812053668077,Tribuna.ee,Rodion Denissov,≤100
2012394932389774,Triin Saag,Saag Triin,≤100
321163977576,Isamaa erakond,These ads ran without a disclaimer,≤100
336581213863337,Eesti 200 Ida-Virumaa,Eesti 200,≤100
256434472932,Õhtuleht,Õhtuleht,≤100
106062197443526,Rohegeenius,Geenius Meedia,≤100
419827918155173,Jüri Ratas,Eesti Keskerakond,≤100
438816796473169,Mihhail Korb,Eesti Keskerakond,≤100
179753402089010,Ahhaa,These ads ran without a disclaimer,≤100
651420618384351,Jaak Aab,Keskerakond,≤100
103840171043546,Risto Kask,Risto Kask,≤100
103053938173837,Technoloverse,These ads ran without a disclaimer,≤100
1033457073332454,Taavi Rõivas,Eesti Reformierakond,≤100
305608429284,EU Environment,EU Environment,≤100
123310201026539,Sotsiaaldemokraatlik Erakond,These ads ran without a disclaimer,≤100
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,≤100
101083895050385,Sign It Europe,These ads ran without a disclaimer,≤100
243365865708649,Партия Реформ,Reformierakond,≤100
158493618156,Euroopa Parlamendi Büroo Eestis,Jusson Kristiina,≤100
239831106225392,seksuaaltervis.ee,Eesti Seksuaaltervise Liit,≤100
167472573272165,Mindvalley на русском,These ads ran without a disclaimer,≤100
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,≤100
405367699805160,Nähtamatud Loomad,Nähtamatud Loomad,≤100
651420618384351,Jaak Aab,Jaak Aab,≤100
443351665830219,Timber.ee,Timber.ee,≤100
182375400442,DPD Eesti,These ads ran without a disclaimer,≤100
