Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,1923
321163977576,Isamaa erakond,Isamaa erakond,1229
105855061351311,Isamaalised,Isamaalised MTÜ,1017
536519246456733,Jaak Madison,Madison Jaak,770
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,757
625329771243439,Andrei Korobeinik,Eesti Keskerakond,521
223092011815453,Urmas Paet,Paet Urmas,497
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,478
108132487505042,Medifum,Erik Rattasepp,413
165505543854570,Edasi.org,Edasi.org,407
159481287409444,Reformierakond Pärnumaal,Reformierakond,368
1532805486974348,Anti Poolamets - poliitik,Anti Poolamets,358
339367456669277,Igor Gräzin,Igor Gräzin,350
161252453921396,Keskerakond,Keskerakond,316
1033457073332454,Taavi Rõivas,Eesti Reformierakond,309
256434472932,Õhtuleht,Õhtuleht,269
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,269
161252453921396,Keskerakond,Eesti Keskerakond,243
80124492882,Reformierakond,Reformierakond,240
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,236
407479074907,RMK,RMK,220
107898832590939,European Commission,European Commission,190
112076490462850,Kaalukeel,Kaalukeel,169
589784704806235,Ostuklikk,Janek Lind,166
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,161
1503540286558083,ETKA Andras,These ads ran without a disclaimer,157
321163977576,Isamaa erakond,These ads ran without a disclaimer,143
651496914998204,Marina Kaljurand,Marina Kaljurand,139
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,136
443351665830219,Timber.ee,Timber.ee,136
132263141965268,Irina Talviste,Irina Talviste,131
1739888166230017,Mailis Reps,Eesti Keskerakond,125
625329771243439,Andrei Korobeinik,Andrei Korobeinik,122
110207297119142,Marko Šorin,Eesti Keskerakond,119
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,116
223092011815453,Urmas Paet,Renew Europe Group,113
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,107
