Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,401
105855061351311,Isamaalised,Isamaalised MTÜ,306
321163977576,Isamaa erakond,Isamaa erakond,293
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,197
536519246456733,Jaak Madison,Madison Jaak,186
108132487505042,Medifum,Erik Rattasepp,122
223092011815453,Urmas Paet,Paet Urmas,112
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,107
161252453921396,Keskerakond,Eesti Keskerakond,≤100
165505543854570,Edasi.org,Edasi.org,≤100
161252453921396,Keskerakond,Keskerakond,≤100
625329771243439,Andrei Korobeinik,Eesti Keskerakond,≤100
1532805486974348,Anti Poolamets - poliitik,Anti Poolamets,≤100
1542526625998509,Anneli Ott,Eesti Keskerakond,≤100
339367456669277,Igor Gräzin,Igor Gräzin,≤100
256434472932,Õhtuleht,Õhtuleht,≤100
80124492882,Reformierakond,Reformierakond,≤100
443351665830219,Timber.ee,Timber.ee,≤100
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,≤100
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,≤100
589784704806235,Ostuklikk,Janek Lind,≤100
112076490462850,Kaalukeel,Kaalukeel,≤100
1109453782417810,Tartu Eest valimisliit,Tanel Tein,≤100
1503540286558083,ETKA Andras,These ads ran without a disclaimer,≤100
609741986146165,Ester Karuse,Ester Karuse,≤100
651496914998204,Marina Kaljurand,Marina Kaljurand,≤100
107898832590939,European Commission,European Commission,≤100
407479074907,RMK,RMK,≤100
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,≤100
321163977576,Isamaa erakond,These ads ran without a disclaimer,≤100
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,≤100
153831901296665,Tehnopol,Tehnopol,≤100
1739888166230017,Mailis Reps,Eesti Keskerakond,≤100
109201207323769,Päästame Eesti Metsad MTÜ,Liina Steinberg,≤100
223092011815453,Urmas Paet,Renew Europe Group,≤100
2058809891030647,Eesti Uudised,Eesti Uudised,≤100
1033457073332454,Taavi Rõivas,Eesti Reformierakond,≤100
106062197443526,Rohegeenius,Geenius Meedia,≤100
2217643278496367,Riho Terras,These ads ran without a disclaimer,≤100
326940990843491,Erki Savisaar,Eesti Keskerakond,≤100
137318852972928,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,≤100
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,≤100
149700202809,SEB Eesti,These ads ran without a disclaimer,≤100
305608429284,EU Environment,EU Environment,≤100
115634898452178,Postimees,AS Postimees Grupp,≤100
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,≤100
179753402089010,Ahhaa,These ads ran without a disclaimer,≤100
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,≤100
1033457073332454,Taavi Rõivas,Roivas Taavi,≤100
527828151001361,Riigitulu.ee,Kristjan Järvan,≤100
2012394932389774,Triin Saag,Saag Triin,≤100
124913684200476,ResPublica,Isamaa erakond,≤100
656981048150822,EFT Maailm,These ads ran without a disclaimer,≤100
141366725876424,European Greens,European Greens,≤100
101085094879517,Juhani Jaeger,Juhani Jaeger,≤100
102556191461116,Parempoolsed,Isamaa Erakonna liikmeühendus Parempoolsed,≤100
671308106236480,Eesti Konservatiivne Rahvaerakond,Berg Holger,≤100
256434472932,Õhtuleht,These ads ran without a disclaimer,≤100
70735295271,Terveilm,Arengukoostöö Ümarlaud,≤100
1520437391614995,Eesti Puuetega Inimeste Koda,Eesti Puuetega Inimeste Koda,≤100
102600381098727,Autohoov,These ads ran without a disclaimer,≤100
2217643278496367,Riho Terras,Riho Terras,≤100
609741986146165,Ester Karuse,Eesti Keskerakond,≤100
503635753156660,Urmas Reinsalu,Isamaa erakond,≤100
239831106225392,seksuaaltervis.ee,Eesti Seksuaaltervise Liit,≤100
1033457073332454,Taavi Rõivas,These ads ran without a disclaimer,≤100
468873137208405,Fermi Energia,Fermi Energia,≤100
135592520169169,Ühiskonnauuringute Instituut,MTÜ Ühiskonnauuringute Instituut,≤100
287435098626920,Toonela,These ads ran without a disclaimer,≤100
826367967432699,Henkel Laundry & Home Care,These ads ran without a disclaimer,≤100
229244927148781,Euroopa Maja,These ads ran without a disclaimer,≤100
103125341156196,Fine Morning,These ads ran without a disclaimer,≤100
123310201026539,Sotsiaaldemokraatlik Erakond,These ads ran without a disclaimer,≤100
158493618156,Euroopa Parlamendi Büroo Eestis,Jusson Kristiina,≤100
299986893904,SA Tartu Ülikooli Kliinikumi Lastefond,SA Tartu Ülikooli Kliinikumi Lastefond,≤100
405367699805160,Nähtamatud Loomad,Nähtamatud Loomad,≤100
191048954816233,Utilitas,Utilitas,≤100
1416375921941680,Marianne Mikko,Sotsiaaldemokraatlik Erakond,≤100
1914863625428136,Hanno Pevkur  #pevkur,Reformierakond,≤100
