Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4997
321163977576,Isamaa erakond,Isamaa erakond,2764
105855061351311,Isamaalised,Isamaalised MTÜ,1847
536519246456733,Jaak Madison,Madison Jaak,1433
223092011815453,Urmas Paet,Paet Urmas,1419
1084372461606422,Raimond Kaljulaid,Raimond Kaljulaid,1294
165505543854570,Edasi.org,Edasi.org,1237
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,1170
108132487505042,Medifum,Erik Rattasepp,821
339367456669277,Igor Gräzin,Igor Gräzin,773
625329771243439,Andrei Korobeinik,Eesti Keskerakond,660
153831901296665,Tehnopol,Tehnopol,630
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,617
161252453921396,Keskerakond,Keskerakond,606
179753402089010,Ahhaa,These ads ran without a disclaimer,599
1532805486974348,Anti Poolamets - poliitik,Anti Poolamets,564
407479074907,RMK,RMK,549
1109453782417810,Tartu Eest valimisliit,Tanel Tein,537
1535510530084119,Раймонд Кальюлайд,Raimond Kaljulaid,494
671308106236480,Eesti Konservatiivne Rahvaerakond,Berg Holger,477
256434472932,Õhtuleht,Õhtuleht,471
107898832590939,European Commission,European Commission,470
80124492882,Reformierakond,Reformierakond,449
161252453921396,Keskerakond,Eesti Keskerakond,410
101085094879517,Juhani Jaeger,Juhani Jaeger,402
668283139863407,Kambja Hoiu-laenuühistu,Kambja HLÜ,386
651496914998204,Marina Kaljurand,Marina Kaljurand,361
321163977576,Isamaa erakond,These ads ran without a disclaimer,333
1033457073332454,Taavi Rõivas,Eesti Reformierakond,332
466885806670211,Reformierakond Tartus,Reformierakond,303
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,298
1503540286558083,ETKA Andras,These ads ran without a disclaimer,277
1963314627070348,Better Life Blogs,These ads ran without a disclaimer,276
104672904592265,Tartu Linnavolikogu,Tartu Linnavolikogu,251
305608429284,EU Environment,EU Environment,235
1353771811435346,Tartumaa Rohelised,Eestimaa Rohelised,231
141366725876424,European Greens,European Greens,226
250646808998831,Airis Meier Page,Reformierakond,226
1669480636672455,Cleantech ForEst,Cleantech ForEst MTÜ,222
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,214
1739888166230017,Mailis Reps,Eesti Keskerakond,213
115872361773420,SOS Lasteküla Eestis,SOS Lasteküla Eestis,211
443351665830219,Timber.ee,Timber.ee,210
589784704806235,Ostuklikk,Janek Lind,200
106062197443526,Rohegeenius,Geenius Meedia,187
124913684200476,ResPublica,Isamaa erakond,179
137318852972928,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,172
935189710011895,Jaan Toots,Jaan Toots,172
406249229471108,Mihkel Lees - Tartu abilinnapea,Mihkel Lees,163
2012394932389774,Triin Saag,Saag Triin,161
223092011815453,Urmas Paet,Renew Europe Group,154
766541947036040,Tartu Linna Noortevolikogu,Airi Park,150
2058809891030647,Eesti Uudised,Eesti Uudised,144
326940990843491,Erki Savisaar,Eesti Keskerakond,140
115634898452178,Postimees,AS Postimees Grupp,136
1380694195285538,Центристская партия / Tsentristskaja partija,Eesti Keskerakond,135
1033457073332454,Taavi Rõivas,Roivas Taavi,134
103155537800472,Erkki Keldo,Keldo Erkki,133
102552921566856,Lemmit Kaplinski,Lemmit Kaplinski,129
109201207323769,Päästame Eesti Metsad MTÜ,Liina Steinberg,129
149700202809,SEB Eesti,These ads ran without a disclaimer,123
120201966389,Noored Sotsiaaldemokraadid,Noored Sotsiaaldemokraadid,123
1005846046291799,Heljo Pikhof,Heljo Pikhof,122
153182254702931,MTÜ Eesti Tuumajaam,MTÜ Eesti Tuumajaam,114
503635753156660,Urmas Reinsalu,Isamaa erakond,110
419827918155173,Jüri Ratas,Eesti Keskerakond,110
141366725876424,European Greens,These ads ran without a disclaimer,106
102556191461116,Parempoolsed,Isamaa Erakonna liikmeühendus Parempoolsed,105
123310201026539,Sotsiaaldemokraatlik Erakond,These ads ran without a disclaimer,101
162244807165070,RMK по-русски,RMK,101
527828151001361,Riigitulu.ee,Kristjan Järvan,≤100
117610381595276,Reforminoored,Reformierakond,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
229244927148781,Euroopa Maja,These ads ran without a disclaimer,≤100
468873137208405,Fermi Energia,Fermi Energia,≤100
2217643278496367,Riho Terras,Riho Terras,≤100
1451467634864322,Tartu sotsiaaldemokraadid,Tartu sotsiaaldemokraadid,≤100
273949493054631,Taimne Teisipäev,Taimne Teisipäev,≤100
191048954816233,Utilitas,Utilitas,≤100
107638470623914,Keep Freedom Unlocked,These ads ran without a disclaimer,≤100
1033457073332454,Taavi Rõivas,These ads ran without a disclaimer,≤100
287435098626920,Toonela,These ads ran without a disclaimer,≤100
1959753937483931,"Jah vabadusele, ei valedele",Sander Vesik,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
1033457073332454,Taavi Rõivas,Reformierakond,≤100
2367048563336709,YanaToom.ee,Toom Yana,≤100
135592520169169,Ühiskonnauuringute Instituut,MTÜ Ühiskonnauuringute Instituut,≤100
656981048150822,EFT Maailm,These ads ran without a disclaimer,≤100
625329771243439,Andrei Korobeinik,Andrei Korobeinik,≤100
158493618156,Euroopa Parlamendi Büroo Eestis,Jusson Kristiina,≤100
1914863625428136,Hanno Pevkur  #pevkur,Reformierakond,≤100
240966039259839,Slush,These ads ran without a disclaimer,≤100
826367967432699,Henkel Laundry & Home Care,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
377562219398154,Eesti 200,Eesti 200,≤100
1542526625998509,Anneli Ott,Eesti Keskerakond,≤100
239831106225392,seksuaaltervis.ee,Eesti Seksuaaltervise Liit,≤100
210966522288426,Tartu Reforminoored,Reformierakond,≤100
70735295271,Terveilm,Arengukoostöö Ümarlaud,≤100
101972409848182,Eesti Mälu Instituut / Estonian Institute of Historical Memory,Eesti Mälu Instituut / Estonian Institute of Historical Memory,≤100
106297677502536,Julianna Jurtšenko,Julianna Jurtšenko,≤100
1416375921941680,Marianne Mikko,Sotsiaaldemokraatlik Erakond,≤100
106889421000517,Eesti 200 Tartu,Eesti 200,≤100
371004550296198,Tõrva Ooperipäevad,NAPRITSON-ACUNA KADRI,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
115288003627583,Alex Savolainen,Alex Savolainen,≤100
103125341156196,Fine Morning,These ads ran without a disclaimer,≤100
383403508369488,Социал-демократическая партия,Sotsiaaldemokraatlik Erakond,≤100
432490497520356,Kõigi Eesti,These ads ran without a disclaimer,≤100
267352183376266,Eesti Energia,Eesti Energia,≤100
299986893904,SA Tartu Ülikooli Kliinikumi Lastefond,SA Tartu Ülikooli Kliinikumi Lastefond,≤100
405367699805160,Nähtamatud Loomad,Nähtamatud Loomad,≤100
390158814428177,Arvamusfestival,Arvamusfestival,≤100
256434472932,Õhtuleht,These ads ran without a disclaimer,≤100
2217643278496367,Riho Terras,These ads ran without a disclaimer,≤100
776368119127406,Poliitika.guru,Andreas Kaju,≤100
2676936755656473,Fridays For Future Eesti,MTÜ Loodusvõlu,≤100
592673214085550,Toitumisnõustaja Erik Orgu,These ads ran without a disclaimer,≤100
1532805486974348,Anti Poolamets - poliitik,These ads ran without a disclaimer,≤100
192384015137,Põhjamaade Ministrite Nõukogu esindus Eestis,The Nordic Council of Ministers´ Office in Estonia,≤100
1520437391614995,Eesti Puuetega Inimeste Koda,Eesti Puuetega Inimeste Koda,≤100
1777496589189799,Kersti Kaljulaid,Vabariigi Presidendi Kantselei / Office of the President of Estonia,≤100
681238698922700,Videograaf,These ads ran without a disclaimer,≤100
1037193359795251,Jaak Valge,Jaak Valge,≤100
105852494431515,xLaw,ExtendLaw,≤100
123331211017199,Swedbank Eestis,These ads ran without a disclaimer,≤100
1535510530084119,Раймонд Кальюлайд,These ads ran without a disclaimer,≤100
848451318826273,Tanel Kiik,Tanel Kiik,≤100
1084372461606422,Raimond Kaljulaid,These ads ran without a disclaimer,≤100
651420618384351,Jaak Aab,Keskerakond,≤100
350491992434154,Представительство Европейской комиссии в Эстонии,Euroopa Komisjoni esindus Eestis,≤100
1856200201262552,Vahur Kollom,Vahur Kollom,≤100
237466786344157,European Movement,These ads ran without a disclaimer,≤100
797159363646506,Reserved,These ads ran without a disclaimer,≤100
109605679062900,Eestimaa Rohelised,Eestimaa Rohelised,≤100
1490480777869577,Eesti Tulevikuerakond,Eesti Vabaerakond,≤100
103213917730402,Cute as a Button Clothing,These ads ran without a disclaimer,≤100
339367456669277,Igor Gräzin,Stewart Tuuli,≤100
111886518858186,Kesknoored,Eesti Keskerakond,≤100
406249229471108,Mihkel Lees - Tartu abilinnapea,These ads ran without a disclaimer,≤100
103259924412641,Isamaa akadeemia,Eva-Liisa Luhamets,≤100
143433035688531,Rus.Postimees,AS Postimees Grupp,≤100
233123435884,Eestimaa Looduse Fond,Eestimaa Looduse Fond,≤100
745789308833025,Naiste Tugi- ja Teabekeskus,MTÜ Naiste Tugi- ja Teabekeskus,≤100
