Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
57845333112,Save the Children España,Save the Children España,700815,870
269212336568846,Podemos,UNIDAS PODEMOS,635976,1798
269212336568846,Podemos,Unidas Podemos,611601,373
133044800622,Greenpeace España,Greenpeace España,570953,3012
74078667754,Ciudadanos,Ciudadanos,549747,17885
178362315106,European Parliament,European Parliament,537181,927
78151799929,Amnistía Internacional España,Amnistía Internacional España,488121,2175
322056604527477,Ecoembes,Ecoembes,424848,948
72249031214,Partido Popular,Partido Popular,415135,11191
366619768708,Plan International España,Plan International España,374754,3575
592188124467085,Oatly,Oatly,247965,57
94118672764,ACNUR Comite español,ACNUR Comite español,226254,892
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,221898,115
107898832590939,European Commission,European Commission,182262,228
321358425084002,Ofertas Energía,Accom Bpac,178313,2884
20108693880,Oxfam Intermón,Oxfam Intermón,169834,1218
189917381044866,Ben & Jerry's,Ben & Jerry's,140410,130
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,138053,600
189318235003,PSOE,PSOE,126414,1594
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,121554,555
189318235003,PSOE,These ads ran without a disclaimer,111067,18
106626487721376,Amazon Europe,Amazon Europe,85807,9
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,81950,134
179666655404875,Comisión Europea en España,Comisión Europea en España,81764,121
586540488142205,Ingredientes que Suman,Oxfam Intermón,80757,380
169915749735403,CEAR,CEAR,79907,270
104786137989644,Culmia Promociones Residenciales,Accom Bpac,78848,1475
57973661707,WWF España,WWF España,76272,3272
699285113542248,Irene Montero,Unidas Podemos,75770,13
251020021637315,Iberdrola,Iberdrola,72924,176
577723459314066,Un país moderno,Unidas Podemos,71340,68
193607127334060,Corona,These ads ran without a disclaimer,66458,4
87930687376,PSC Partit dels  Socialistes de Catalunya,PSC Partit dels  Socialistes de Catalunya,65651,171
176592142419661,HolaLuz.com,HolaLuz.com,63998,146
8340223883,Avaaz,Avaaz,63249,75
171516302294,Facebook app,Facebook,58118,4
122374334455290,Peugeot,These ads ran without a disclaimer,57090,1
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,56771,210
245741112112300,Ayuda En Acción,Ayuda En Acción,56253,811
1454030934635120,SolarProfit,Solar Profit Energy Services,56214,3922
366619768708,Plan International España,These ads ran without a disclaimer,53292,421
414809308591481,Pablo Iglesias,Unidas Podemos,53270,8
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,51739,447
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,51250,17
