Page ID,Page Name,Disclaimer,Amount Spent (EUR)
269212336568846,Podemos,Unidas Podemos,126644
269212336568846,Podemos,UNIDAS PODEMOS,124925
57845333112,Save the Children España,Save the Children España,117951
178362315106,European Parliament,European Parliament,106593
74078667754,Ciudadanos,Ciudadanos,97083
133044800622,Greenpeace España,Greenpeace España,89823
72249031214,Partido Popular,Partido Popular,86801
78151799929,Amnistía Internacional España,Amnistía Internacional España,79235
322056604527477,Ecoembes,Ecoembes,71408
366619768708,Plan International España,Plan International España,69678
592188124467085,Oatly,Oatly,43402
522336804500176,Ciudadanos Andalucía,Ciudadanos,41534
94118672764,ACNUR Comite español,ACNUR Comite español,41363
107898832590939,European Commission,European Commission,37561
1421243471458150,Insolac,Marta Jimenez Gonzalez,36308
321358425084002,Ofertas Energía,Accom Bpac,35528
189318235003,PSOE,PSOE,35240
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,34248
20108693880,Oxfam Intermón,Oxfam Intermón,28631
189917381044866,Ben & Jerry's,Ben & Jerry's,26461
189318235003,PSOE,These ads ran without a disclaimer,23689
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,21619
106626487721376,Amazon Europe,Amazon Europe,19055
179666655404875,Comisión Europea en España,Comisión Europea en España,18511
1396030134038350,Diputación de Almería,Diputación de Almería,15061
169915749735403,CEAR,CEAR,14970
251020021637315,Iberdrola,Iberdrola,14544
193607127334060,Corona,These ads ran without a disclaimer,14028
699285113542248,Irene Montero,Unidas Podemos,13643
8340223883,Avaaz,Avaaz,12888
176592142419661,HolaLuz.com,HolaLuz.com,12577
171516302294,Facebook app,Facebook,12472
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,12441
122374334455290,Peugeot,These ads ran without a disclaimer,12090
586540488142205,Ingredientes que Suman,Oxfam Intermón,11834
57973661707,WWF España,WWF España,11664
164302750336862,Wish,These ads ran without a disclaimer,11571
245741112112300,Ayuda En Acción,Ayuda En Acción,11012
577723459314066,Un país moderno,Unidas Podemos,10717
414809308591481,Pablo Iglesias,Unidas Podemos,10137
699285113542248,Irene Montero,UNIDAS PODEMOS,9644
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,9543
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,9446
1421243471458150,Insolac,These ads ran without a disclaimer,9038
366619768708,Plan International España,These ads ran without a disclaimer,8734
188280011246288,Junta de Andalucía,Junta de Andalucía,8648
306840072990831,Socios Cruz Roja,Socios Cruz Roja,8627
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,8201
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,7862
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,7823
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,7581
256196396278,UNICEF España,UNICEF Comité Español,7210
214605018563667,PSOE Jaén,PSOE Jaén,7068
1549407258706617,Fundación "la Caixa","la Caixa",7051
141223889286081,Hyundai España,Hyundai España,6905
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,6711
100170683375588,Diputación de Cádiz,Diputación de Cádiz,6657
111404200571582,Endesa Luz y Gas,Accom Bpac,5878
269212336568846,Podemos,PODEMOS,5852
371071599932415,Heineken,These ads ran without a disclaimer,5601
105664031745,UNRWA España,UNRWA España,5514
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,5396
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,5284
577723459314066,Un país moderno,UNIDAS PODEMOS,5002
