Page ID,Page Name,Disclaimer,Amount Spent (EUR)
269212336568846,Podemos,UNIDAS PODEMOS,20356
74078667754,Ciudadanos,Ciudadanos,18428
57845333112,Save the Children España,Save the Children España,17212
269212336568846,Podemos,Unidas Podemos,15907
178362315106,European Parliament,European Parliament,15490
133044800622,Greenpeace España,Greenpeace España,12848
72249031214,Partido Popular,Partido Popular,12260
78151799929,Amnistía Internacional España,Amnistía Internacional España,11470
170970449608409,PSOE Aragón,PSOE Aragón,10144
366619768708,Plan International España,Plan International España,9218
322056604527477,Ecoembes,Ecoembes,9121
592188124467085,Oatly,Oatly,7995
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,6683
94118672764,ACNUR Comite español,ACNUR Comite español,5474
107898832590939,European Commission,European Commission,4983
321358425084002,Ofertas Energía,Accom Bpac,4678
1404651893174804,Zaragoza en Común,Zaragoza en Común,4309
20108693880,Oxfam Intermón,Oxfam Intermón,4038
189318235003,PSOE,PSOE,3739
178663732095,IU Aragón,IU Aragón,3639
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,2925
189318235003,PSOE,These ads ran without a disclaimer,2853
1005758609559650,Jorge Azcón,Partido Popular Zaragoza,2796
1005758609559650,Jorge Azcón,Partido Popular Ayuntamiento de Zaragoza,2371
106626487721376,Amazon Europe,Amazon Europe,2279
586540488142205,Ingredientes que Suman,Oxfam Intermón,2188
577723459314066,Un país moderno,Unidas Podemos,2141
176592142419661,HolaLuz.com,HolaLuz.com,2100
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,2010
189917381044866,Ben & Jerry's,Ben & Jerry's,2004
179666655404875,Comisión Europea en España,Comisión Europea en España,1995
362982070559555,Cs Zaragoza,Ciudadanos Zaragoza,1967
251020021637315,Iberdrola,Iberdrola,1928
169915749735403,CEAR,CEAR,1845
699285113542248,Irene Montero,Unidas Podemos,1838
57973661707,WWF España,WWF España,1836
8340223883,Avaaz,Avaaz,1726
193607127334060,Corona,These ads ran without a disclaimer,1708
414809308591481,Pablo Iglesias,Unidas Podemos,1617
122374334455290,Peugeot,These ads ran without a disclaimer,1489
246074155529623,Ciudadanos Aragón,Ciudadanos Aragón,1458
