Page ID,Page Name,Disclaimer,Amount Spent (EUR)
57845333112,Save the Children España,Save the Children España,23447
133044800622,Greenpeace España,Greenpeace España,20317
269212336568846,Podemos,UNIDAS PODEMOS,19906
269212336568846,Podemos,Unidas Podemos,16988
78151799929,Amnistía Internacional España,Amnistía Internacional España,16733
178362315106,European Parliament,European Parliament,15084
72249031214,Partido Popular,Partido Popular,12908
366619768708,Plan International España,Plan International España,12424
74078667754,Ciudadanos,Ciudadanos,11581
592188124467085,Oatly,Oatly,9676
183718528322316,MÉS per Mallorca,MÉS per Mallorca,9599
322056604527477,Ecoembes,Ecoembes,8926
94118672764,ACNUR Comite español,ACNUR Comite español,7294
321358425084002,Ofertas Energía,Accom Bpac,5731
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,5559
107898832590939,European Commission,European Commission,5296
20108693880,Oxfam Intermón,Oxfam Intermón,5071
779897522101509,Podem Illes Balears,UNIDAS PODEMOS,4820
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,3909
513292972467631,Plataforma per la Llengua Illes Balears,Plataforma per la Llengua,3732
779897522101509,Podem Illes Balears,Podem Illes Balears,3330
189318235003,PSOE,PSOE,3057
189318235003,PSOE,These ads ran without a disclaimer,2981
1454030934635120,SolarProfit,Solar Profit Energy Services,2917
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,2827
586540488142205,Ingredientes que Suman,Oxfam Intermón,2758
57973661707,WWF España,WWF España,2729
169915749735403,CEAR,CEAR,2556
189917381044866,Ben & Jerry's,Ben & Jerry's,2365
106626487721376,Amazon Europe,Amazon Europe,2252
787267558020320,Més Per Menorca,Més per Menorca,2204
179666655404875,Comisión Europea en España,Comisión Europea en España,2060
176592142419661,HolaLuz.com,HolaLuz.com,1925
239707429833080,EDP España,EDP España,1857
193607127334060,Corona,These ads ran without a disclaimer,1831
699285113542248,Irene Montero,Unidas Podemos,1738
171516302294,Facebook app,Facebook,1709
366619768708,Plan International España,These ads ran without a disclaimer,1663
8340223883,Avaaz,Avaaz,1603
251020021637315,Iberdrola,Iberdrola,1588
122374334455290,Peugeot,These ads ran without a disclaimer,1549
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,1448
306840072990831,Socios Cruz Roja,Socios Cruz Roja,1436
414809308591481,Pablo Iglesias,Unidas Podemos,1411
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,1403
161916260510295,Òmnium Cultural,Òmnium Cultural,1380
245741112112300,Ayuda En Acción,Ayuda En Acción,1377
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,1367
699285113542248,Irene Montero,UNIDAS PODEMOS,1228
164302750336862,Wish,These ads ran without a disclaimer,1121
105664031745,UNRWA España,UNRWA España,1034
73447399452,Representació de la Comissió Europea a Barcelona,Representació de la Comissió Europea a Barcelona,973
245741112112300,Ayuda En Acción,These ads ran without a disclaimer,943
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,941
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,915
111404200571582,Endesa Luz y Gas,Accom Bpac,903
447794575427713,ElNacional.cat,ElNacional.cat,878
1549407258706617,Fundación "la Caixa","la Caixa",866
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,852
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,844
161916260510295,Òmnium Cultural,These ads ran without a disclaimer,842
141223889286081,Hyundai España,Hyundai España,841
295410637661767,Alma Joyas,Totem Joyas,771
216290708406257,Alianza por la Solidaridad,Jose Manuel Bran Garcia,770
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,765
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,743
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,714
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,710
371071599932415,Heineken,These ads ran without a disclaimer,694
251495754876539,Esquerra Unida d'Eivissa i Formentera,These ads ran without a disclaimer,682
343166605810231,Francina Armengol Socias,PSIB-PSOE,671
1583228775319006,Sarenet,Sarenet,670
182797475074265,PSIB,PSIB-PSOE,666
256196396278,UNICEF España,UNICEF Comité Español,659
57845333112,Save the Children España,These ads ran without a disclaimer,656
484692358257843,Diari ARA Balears,Diari ARA Balears,633
182797475074265,PSIB,These ads ran without a disclaimer,626
902175873281125,Allshows,These ads ran without a disclaimer,616
100664901829,Esquerra Unida Illes Balears,These ads ran without a disclaimer,598
94118672764,ACNUR Comite español,These ads ran without a disclaimer,586
269212336568846,Podemos,PODEMOS,585
577723459314066,Un país moderno,UNIDAS PODEMOS,574
577723459314066,Un país moderno,Unidas Podemos,573
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,564
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,543
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,528
174696652583261,Fundación Aladina,Fundación Aladina,516
178362315106,European Parliament,These ads ran without a disclaimer,511
57973661707,WWF España,These ads ran without a disclaimer,487
295803077110994,Fundación Ramón Areces,Ramón Areces,480
187075708837153,"Pienso, luego Actúo",Yoigo,475
238401606521654,Ajuntament de Santa Eulària des Riu,Ajuntament de Santa Eulària des Riu,470
115046403227198,Más País,Más País,459
117887575012127,Leche Pascual,Leche Pascual,443
2420487738043690,Energie-solaire.io,These ads ran without a disclaimer,437
182073298490036,Gaia,These ads ran without a disclaimer,435
382886965378,Populares Illes Balears,These ads ran without a disclaimer,400
366619768708,Plan International España,Jose Manuel Bran Garcia,392
332236716900076,LLIBERTAT LLUCMAJOR,Alexandro Gaffar,390
