Page ID,Page Name,Disclaimer,Amount Spent (EUR)
322056604527477,Ecoembes,Ecoembes,8682
57845333112,Save the Children España,Save the Children España,7320
72249031214,Partido Popular,Partido Popular,7173
269212336568846,Podemos,UNIDAS PODEMOS,6478
269212336568846,Podemos,Unidas Podemos,6124
178362315106,European Parliament,European Parliament,5914
74078667754,Ciudadanos,Ciudadanos,5642
133044800622,Greenpeace España,Greenpeace España,5409
78151799929,Amnistía Internacional España,Amnistía Internacional España,5085
366619768708,Plan International España,Plan International España,4143
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,4099
94118672764,ACNUR Comite español,ACNUR Comite español,2578
612281452187538,Ciudadanos Cantabria,These ads ran without a disclaimer,2102
321358425084002,Ofertas Energía,Accom Bpac,1941
107898832590939,European Commission,European Commission,1858
20108693880,Oxfam Intermón,Oxfam Intermón,1784
577723459314066,Un país moderno,Unidas Podemos,1658
592188124467085,Oatly,Oatly,1454
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,1376
189318235003,PSOE,These ads ran without a disclaimer,1228
189318235003,PSOE,PSOE,1140
251020021637315,Iberdrola,Iberdrola,1086
310475379072138,Ramon Arenas concejal de Unidos x Laredo,Ramón Arenas San Martin,1060
189917381044866,Ben & Jerry's,Ben & Jerry's,1026
106626487721376,Amazon Europe,Amazon Europe,975
699285113542248,Irene Montero,Unidas Podemos,961
176592142419661,HolaLuz.com,HolaLuz.com,894
179666655404875,Comisión Europea en España,Comisión Europea en España,884
57973661707,WWF España,WWF España,854
169915749735403,CEAR,CEAR,826
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,820
193607127334060,Corona,These ads ran without a disclaimer,773
586540488142205,Ingredientes que Suman,Oxfam Intermón,770
8340223883,Avaaz,Avaaz,693
414809308591481,Pablo Iglesias,Unidas Podemos,669
122374334455290,Peugeot,These ads ran without a disclaimer,662
306840072990831,Socios Cruz Roja,Socios Cruz Roja,621
171516302294,Facebook app,Facebook,593
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,585
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,579
366619768708,Plan International España,These ads ran without a disclaimer,576
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,575
239707429833080,EDP España,EDP España,565
269212336568846,Podemos,PODEMOS,552
164302750336862,Wish,These ads ran without a disclaimer,525
105102251616999,Rodando por la igualdad,Samuel Rodríguez Cimiano,510
1583228775319006,Sarenet,Sarenet,481
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,477
2515365848496237,Alfredo Rodríguez Otero,These ads ran without a disclaimer,474
699285113542248,Irene Montero,UNIDAS PODEMOS,471
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,462
245741112112300,Ayuda En Acción,Ayuda En Acción,460
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,416
295410637661767,Alma Joyas,Totem Joyas,415
1549407258706617,Fundación "la Caixa","la Caixa",413
256196396278,UNICEF España,UNICEF Comité Español,380
925949430948360,Carlos Caramés,These ads ran without a disclaimer,361
141223889286081,Hyundai España,Hyundai España,361
105664031745,UNRWA España,UNRWA España,357
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,338
1937610123231005,ACPT Asamblea Ciudadana por Torrelavega,Asamblea Ciudadana por Torrelavega,336
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,328
1454030934635120,SolarProfit,Solar Profit Energy Services,326
1967960340178750,José Manuel Cruz Viadero,These ads ran without a disclaimer,320
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,319
577723459314066,Un país moderno,UNIDAS PODEMOS,306
371071599932415,Heineken,These ads ran without a disclaimer,304
110913500516986,PP vasco +Cs,PP vasco + Cs,294
205610086124991,Emakunde,These ads ran without a disclaimer,288
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,287
117659208932276,PSOE Cantabria,These ads ran without a disclaimer,280
174696652583261,Fundación Aladina,Fundación Aladina,272
1428891030758573,Melisa Rodríguez Hernández,Ciudadanos,272
216290708406257,Alianza por la Solidaridad,Jose Manuel Bran Garcia,269
245741112112300,Ayuda En Acción,These ads ran without a disclaimer,269
57845333112,Save the Children España,These ads ran without a disclaimer,269
295803077110994,Fundación Ramón Areces,Ramón Areces,252
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,241
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,233
187075708837153,"Pienso, luego Actúo",Yoigo,224
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,223
117887575012127,Leche Pascual,Leche Pascual,220
111404200571582,Endesa Luz y Gas,Accom Bpac,216
178362315106,European Parliament,These ads ran without a disclaimer,212
94118672764,ACNUR Comite español,These ads ran without a disclaimer,205
624411047693217,PRC Santander,These ads ran without a disclaimer,188
