Page ID,Page Name,Disclaimer,Amount Spent (EUR)
74078667754,Ciudadanos,Ciudadanos,23246
269212336568846,Podemos,Unidas Podemos,21396
178362315106,European Parliament,European Parliament,21161
57845333112,Save the Children España,Save the Children España,20371
269212336568846,Podemos,UNIDAS PODEMOS,20104
72249031214,Partido Popular,Partido Popular,18163
133044800622,Greenpeace España,Greenpeace España,15195
322056604527477,Ecoembes,Ecoembes,13902
78151799929,Amnistía Internacional España,Amnistía Internacional España,13851
310081965717560,PSOE de Castilla-La Mancha,PSOE de Castilla-La Mancha,13689
366619768708,Plan International España,Plan International España,11915
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,10744
321358425084002,Ofertas Energía,Accom Bpac,7783
94118672764,ACNUR Comite español,ACNUR Comite español,7208
107898832590939,European Commission,European Commission,7052
577723459314066,Un país moderno,Unidas Podemos,6572
189318235003,PSOE,PSOE,6161
20108693880,Oxfam Intermón,Oxfam Intermón,5110
592188124467085,Oatly,Oatly,4465
189318235003,PSOE,These ads ran without a disclaimer,4224
1454030934635120,SolarProfit,Solar Profit Energy Services,4125
106626487721376,Amazon Europe,Amazon Europe,3805
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,3632
179666655404875,Comisión Europea en España,Comisión Europea en España,3384
251020021637315,Iberdrola,Iberdrola,3285
699285113542248,Irene Montero,Unidas Podemos,3144
189917381044866,Ben & Jerry's,Ben & Jerry's,3051
176592142419661,HolaLuz.com,HolaLuz.com,2748
8340223883,Avaaz,Avaaz,2482
193607127334060,Corona,These ads ran without a disclaimer,2445
122374334455290,Peugeot,These ads ran without a disclaimer,2435
586540488142205,Ingredientes que Suman,Oxfam Intermón,2414
169915749735403,CEAR,CEAR,2352
164302750336862,Wish,These ads ran without a disclaimer,2249
57973661707,WWF España,WWF España,2169
171516302294,Facebook app,Facebook,2038
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,1942
414809308591481,Pablo Iglesias,Unidas Podemos,1749
624403874292676,Podemos Castilla-La Mancha,UNIDAS PODEMOS - IZQUIERDA UNIDA - EQUO CLM,1698
699285113542248,Irene Montero,UNIDAS PODEMOS,1668
306840072990831,Socios Cruz Roja,Socios Cruz Roja,1668
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,1618
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,1577
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,1526
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,1486
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,1447
366619768708,Plan International España,These ads ran without a disclaimer,1418
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,1365
256196396278,UNICEF España,UNICEF Comité Español,1322
1549407258706617,Fundación "la Caixa","la Caixa",1306
141223889286081,Hyundai España,Hyundai España,1305
269212336568846,Podemos,PODEMOS,1293
191056084288195,El Bosque Encantado,These ads ran without a disclaimer,1261
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,1247
245741112112300,Ayuda En Acción,Ayuda En Acción,1204
577723459314066,Un país moderno,UNIDAS PODEMOS,1166
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,1132
111404200571582,Endesa Luz y Gas,Accom Bpac,1072
371071599932415,Heineken,These ads ran without a disclaimer,1055
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,1037
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,1034
