Page ID,Page Name,Disclaimer,Amount Spent (EUR)
269212336568846,Podemos,UNIDAS PODEMOS,76577
57845333112,Save the Children España,Save the Children España,75709
269212336568846,Podemos,Unidas Podemos,67439
133044800622,Greenpeace España,Greenpeace España,63116
178362315106,European Parliament,European Parliament,60745
78151799929,Amnistía Internacional España,Amnistía Internacional España,52216
72249031214,Partido Popular,Partido Popular,51703
74078667754,Ciudadanos,Ciudadanos,49554
366619768708,Plan International España,Plan International España,40223
322056604527477,Ecoembes,Ecoembes,34611
194053080624605,Compromís,Compromís,31918
104786137989644,Culmia Promociones Residenciales,Accom Bpac,28985
592188124467085,Oatly,Oatly,25785
94118672764,ACNUR Comite español,ACNUR Comite español,23866
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,23244
136302299749630,Joan Ribó,Compromís,21691
321358425084002,Ofertas Energía,Accom Bpac,20267
107898832590939,European Commission,European Commission,18475
20108693880,Oxfam Intermón,Oxfam Intermón,17954
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,13262
189318235003,PSOE,These ads ran without a disclaimer,11699
189318235003,PSOE,PSOE,10937
792238440859918,Podem,Unides Podem-Esquerra Unida,10037
604479052919754,Diputación de Alicante,Diputación de Alicante,9729
135747903142262,Populares de Valencia,These ads ran without a disclaimer,9521
169915749735403,CEAR,CEAR,9311
106626487721376,Amazon Europe,Amazon Europe,9297
189917381044866,Ben & Jerry's,Ben & Jerry's,9293
586540488142205,Ingredientes que Suman,Oxfam Intermón,8967
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,8949
179666655404875,Comisión Europea en España,Comisión Europea en España,8893
57973661707,WWF España,WWF España,8522
251020021637315,Iberdrola,Iberdrola,7981
245741112112300,Ayuda En Acción,Ayuda En Acción,7861
699285113542248,Irene Montero,Unidas Podemos,7845
176592142419661,HolaLuz.com,HolaLuz.com,7347
193607127334060,Corona,These ads ran without a disclaimer,6987
8340223883,Avaaz,Avaaz,6488
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,6164
171516302294,Facebook app,Facebook,6078
122374334455290,Peugeot,These ads ran without a disclaimer,5982
414809308591481,Pablo Iglesias,Unidas Podemos,5945
81107269227,Mónica Oltra,Compromís,5944
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,5667
366619768708,Plan International España,These ads ran without a disclaimer,5622
306840072990831,Socios Cruz Roja,Socios Cruz Roja,5520
699285113542248,Irene Montero,UNIDAS PODEMOS,5497
239707429833080,EDP España,EDP España,5390
577723459314066,Un país moderno,Unidas Podemos,5049
164302750336862,Wish,These ads ran without a disclaimer,4994
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,4956
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,4570
80678672726,Partido Popular Comunitat Valenciana,These ads ran without a disclaimer,4174
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,4004
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,3884
138338569562130,Plataforma per la Llengua PV,Plataforma per la Llengua,3850
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,3744
1549407258706617,Fundación "la Caixa","la Caixa",3684
133681223330258,"No volveré a comer pulpo, si España gana el Mundial!",These ads ran without a disclaimer,3664
269212336568846,Podemos,PODEMOS,3506
1550594871862603,Isabel Bonig,These ads ran without a disclaimer,3476
228752914179024,Sandra Gómez,PSPV-PSOEVALÈNCIA,3431
208507625842577,Diputació de Castelló,Diputació de Castelló,3424
267663367485459,Héctor Illueca Ballester,Unidas Podemos,3362
141223889286081,Hyundai España,Hyundai España,3331
105664031745,UNRWA España,UNRWA España,3246
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,3245
1454030934635120,SolarProfit,Solar Profit Energy Services,3188
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,3179
256196396278,UNICEF España,UNICEF Comité Español,3017
577723459314066,Un país moderno,UNIDAS PODEMOS,3007
295410637661767,Alma Joyas,Totem Joyas,3004
161916260510295,Òmnium Cultural,Òmnium Cultural,2930
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,2930
57845333112,Save the Children España,These ads ran without a disclaimer,2719
371071599932415,Heineken,These ads ran without a disclaimer,2712
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,2660
271056943440058,Destino Final España,Carmen Tejedo Muñoz,2656
245741112112300,Ayuda En Acción,These ads ran without a disclaimer,2539
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,2517
174696652583261,Fundación Aladina,Fundación Aladina,2510
216290708406257,Alianza por la Solidaridad,Jose Manuel Bran Garcia,2506
1583228775319006,Sarenet,Sarenet,2481
447794575427713,ElNacional.cat,ElNacional.cat,2346
315296839113893,Pablo Ruz Villanueva,These ads ran without a disclaimer,2281
166419473410576,elperiodic.com,elperiodic.com,2236
426750684349525,Turismos De Levante,These ads ran without a disclaimer,2224
111404200571582,Endesa Luz y Gas,Accom Bpac,2195
187075708837153,"Pienso, luego Actúo",Yoigo,2176
239707429833080,EDP España,These ads ran without a disclaimer,2142
295803077110994,Fundación Ramón Areces,Ramón Areces,2092
180609005365213,Alberto Garzón Espinosa,Izquierda Unida,2051
115046403227198,Más País,Más País,2008
228752914179024,Sandra Gómez,PSOE,2005
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,1986
178362315106,European Parliament,These ads ran without a disclaimer,1895
161916260510295,Òmnium Cultural,These ads ran without a disclaimer,1845
94118672764,ACNUR Comite español,These ads ran without a disclaimer,1795
266999697008229,Luis Barcala,David Canovas Exposito,1752
117887575012127,Leche Pascual,Leche Pascual,1644
792238440859918,Podem,PODEMOS.,1636
276999106249,Asociación Española Contra el Cáncer,These ads ran without a disclaimer,1600
722013477894923,Socialistes Província València,These ads ran without a disclaimer,1566
676028735740716,Rexona,Rexona,1555
356491188244058,La Política Online ES,La Política Online,1525
57973661707,WWF España,These ads ran without a disclaimer,1499
296979917059627,César Sánchez Pérez,Andres De España Serrano,1396
161616883888862,Parlamento Europeo - Oficina en España,Parlamento Europeo - Oficina en España,1374
2420487738043690,Energie-solaire.io,These ads ran without a disclaimer,1366
306840072990831,Socios Cruz Roja,These ads ran without a disclaimer,1334
683481128368110,Íñigo Errejón,Más País,1327
366619768708,Plan International España,Jose Manuel Bran Garcia,1326
1035516339843936,Relevo Contigo,Relevo Contigo,1316
110938263655023,ADIES,esendefensa.es,1307
317661832448361,Josep Alandete Mayor,Josep Alandete Mayor,1295
105102251616999,Rodando por la igualdad,Samuel Rodríguez Cimiano,1294
395203127349684,Diana Morant Ripoll,PSPV-PSOE Gandia,1291
115481008480109,LG Global,Good Rebels,1287
120222944745734,Nestlé,Nestlé (ES),1280
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1275
73447399452,Representació de la Comissió Europea a Barcelona,Representació de la Comissió Europea a Barcelona,1260
78097689268,Socialistes Valencians,These ads ran without a disclaimer,1235
475714072501743,Ciudadanos Comunidad Valenciana,Ciudadanos Comunidad Valenciana,1191
176592142419661,HolaLuz.com,These ads ran without a disclaimer,1186
1765081633818772,Fernando Giner,Grupo Municipal Ciudadanos en el Ayuntamiento de Valencia CIF V-98748080,1173
74858103866,Izquierda Unida,Izquierda Unida,1171
942469075815401,Primagas,These ads ran without a disclaimer,1156
1404278946482922,Ortega & García Abogados,Juanjose Ortega Garcia,1154
116952045157,Cruz Roja Española,Jose Manuel Bran Garcia,1151
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,1111
586540488142205,Ingredientes que Suman,These ads ran without a disclaimer,1105
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,1091
349800235527721,España Ciudadana,These ads ran without a disclaimer,1077
564470803746097,IMED Valencia,These ads ran without a disclaimer,1069
511233645946606,Los Rodríguez y el Más Allá,These ads ran without a disclaimer,1056
45817335745,Entreculturas,These ads ran without a disclaimer,1053
302436570114382,Amigos de los Mayores,Amics de la gent gran,1051
128451907169274,Estrella Damm,These ads ran without a disclaimer,1028
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,1027
336036023570001,Regidoria de Cooperació al Desenvolupament i Migració,Ajuntament de València,1022
267985490746020,Restaurantes contra el Hambre,Acción contra el Hambre España,999
131231529742,Fundación Anesvad,Miren Ferreras,999
141366725876424,European Greens,European Greens,995
178642428826486,GVA IVAJ,GVA IVAJ,981
113760931412,Acción contra el Hambre España,These ads ran without a disclaimer,979
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,970
1425684341065612,Manuela Carmena,Más País - Equo,960
475714072501743,Ciudadanos Comunidad Valenciana,Cs Comunidad Valenciana,949
46708306425,European Free Alliance,European Free Alliance,939
116952045157,Cruz Roja Española,Ad Pepper Media Spain,930
182073298490036,Gaia,These ads ran without a disclaimer,930
110938263655023,ADIES,ADIES,928
212999258887750,El Meridiano L'Horta - València,These ads ran without a disclaimer,911
229579770543482,Arroz Nomen,Arroz Nomen,910
116136108464509,CaixaBank,CaixaBank,907
995603150457967,Torrevieja Translators,Costa Insider SL,904
115046403227198,Más País,Más País - Equo,898
230970583628309,Socialistas Españoles en el Parlamento Europeo,Delegación Española del Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo,889
256196396278,UNICEF España,UNICEF España,884
70020937349,SEO/BirdLife,These ads ran without a disclaimer,884
617270438388943,GVA Participació,These ads ran without a disclaimer,864
1716846438609314,Legado Solidario,Daryl Upsall,859
101902647887840,SOS Derechos Humanos,These ads ran without a disclaimer,841
2282229592000651,María Teresa Pérez,UNIDAS PODEMOS,839
1819552285003898,Actualidad Personas Vulnerables,These ads ran without a disclaimer,823
315021912539118,Ayuda LGTB,These ads ran without a disclaimer,812
2278749852219270,Frizzle News,These ads ran without a disclaimer,788
542448969562079,PETRONAS Syntium,These ads ran without a disclaimer,786
1425062717800175,Informalia,These ads ran without a disclaimer,769
154928118038966,Colgate España,These ads ran without a disclaimer,759
1765081633818772,Fernando Giner,Grupo Municipal Ciudadanos en el Ayuntamiento de Valencia,748
1428891030758573,Melisa Rodríguez Hernández,Ciudadanos,737
800952459966828,Partido Popular Almàssera,These ads ran without a disclaimer,735
503138506559050,Elche Noticias,These ads ran without a disclaimer,735
221292842061953,Love my country,These ads ran without a disclaimer,726
230970583628309,Socialistas Españoles en el Parlamento Europeo,"Grupo S&D, Parlamento Europeo",717
166691664046203,JCO Style,These ads ran without a disclaimer,715
198587237252465,El Corredor Mediterráneo,El Corredor Mediterráneo,699
729627343834501,Kialo,These ads ran without a disclaimer,696
178235722209221,Socialistes de Benifaió,These ads ran without a disclaimer,696
394212434086220,Pilar Lima Gozálvez,Pilar Lima Gozálvez,694
387336148362320,Plan Nacional frente a la Resistencia a los Antibióticos - PRAN,Jesús Martín Macías,693
271056943440058,Destino Final España,These ads ran without a disclaimer,689
362567122173,Partido Popular de Castellón,These ads ran without a disclaimer,676
1478733219051183,Carlos González. Alcalde de Elche,These ads ran without a disclaimer,675
2258619341044279,Vive Formación,These ads ran without a disclaimer,661
475714072501743,Ciudadanos Comunidad Valenciana,These ads ran without a disclaimer,655
542028829571357,ADÑ,ADÑ,654
261921680491338,Axe Spain,Axe Spain,654
169915749735403,CEAR,These ads ran without a disclaimer,649
2315084548728652,Respeto LGTB,These ads ran without a disclaimer,646
116952045157,Cruz Roja Española,These ads ran without a disclaimer,644
1637578983173400,GVA Igualtat i Polítiques Inclusives,These ads ran without a disclaimer,640
170506213454467,Aprendemos Juntos,Aprendemos Juntos,632
467127060059387,VOX España,Vox,622
137410079645823,Instituto Europeo de Psicología Positiva - IEPP,These ads ran without a disclaimer,620
113357146708312,8Belts Idiomas,These ads ran without a disclaimer,618
284024768327720,Frigo,Frigo,613
300649776983600,Repara tu deuda,These ads ran without a disclaimer,612
109407970637195,MASPV Energy,MASPV Energy,606
1220788054735482,Parakasa,These ads ran without a disclaimer,604
452100531798227,Brushboo,These ads ran without a disclaimer,602
278953585774047,Igualtat i Polítiques de Gènere i LGTBI. Ajuntament de València,These ads ran without a disclaimer,599
107631124696136,Culmia Promociones Residenciales Valencia,ACCOM BPA,592
291781358171498,Paco Sanguino,These ads ran without a disclaimer,591
340472976125022,DIGI España,These ads ran without a disclaimer,591
228752914179024,Sandra Gómez,These ads ran without a disclaimer,590
157632168164921,Somos Más,Ciudadanos,585
252185338238535,Aesco Delegación Valencia,Andres Mauricio Gaviria Álvarez,584
204655369958288,Participa València,These ads ran without a disclaimer,574
392666127586890,OpenMind,BBVA,574
113833631990013,Compromís per València,These ads ran without a disclaimer,571
921000374764227,USR Diaspora - Spania,Partidul Uniunea Salvați România,570
134396300488373,Fundeen,"Fundeen Management, S.L.",570
131231529742,Fundación Anesvad,These ads ran without a disclaimer,567
890785497927262,"Love, Beauty & Planet Spain","Love, Beauty & Planet Spain",566
10122041303,Garnier,Garnier,564
100651578043707,Yo Con Íñigo,Josep Lanuza,564
363084687812526,Somos Miel,These ads ran without a disclaimer,549
124967441456981,Stop Cambio Climático,Stop Cambio Climático,544
1489726404667366,Podemos Alicante - Podem Alacant,These ads ran without a disclaimer,544
131854659463,The Body Shop,The Body Shop,541
1396030134038350,Diputación de Almería,Diputación de Almería,538
169261226487633,Colegio San Cristóbal,These ads ran without a disclaimer,538
111892984250,Fundación World Vision España,Fundación World Vision International,533
135554389928227,Partido Popular de Gandia,PP provincia de Valencia,532
358693464314616,Populares de Chiva,These ads ran without a disclaimer,528
