Page ID,Page Name,Disclaimer,Amount Spent (EUR)
57845333112,Save the Children España,Save the Children España,122012
74078667754,Ciudadanos,Ciudadanos,101468
133044800622,Greenpeace España,Greenpeace España,93412
269212336568846,Podemos,Unidas Podemos,93026
78151799929,Amnistía Internacional España,Amnistía Internacional España,79288
269212336568846,Podemos,UNIDAS PODEMOS,78574
178362315106,European Parliament,European Parliament,77990
322056604527477,Ecoembes,Ecoembes,65318
592188124467085,Oatly,Oatly,59286
366619768708,Plan International España,Plan International España,55080
72249031214,Partido Popular,Partido Popular,48609
261762710669900,Podemos Comunidad de Madrid,Unidas Podemos Izquierda Unida Madrid en Pie,46816
94118672764,ACNUR Comite español,ACNUR Comite español,36392
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,36304
189917381044866,Ben & Jerry's,Ben & Jerry's,33272
20108693880,Oxfam Intermón,Oxfam Intermón,29142
321358425084002,Ofertas Energía,Accom Bpac,25585
107898832590939,European Commission,European Commission,25467
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,19379
169915749735403,CEAR,CEAR,15084
189318235003,PSOE,These ads ran without a disclaimer,14295
586540488142205,Ingredientes que Suman,Oxfam Intermón,14270
57973661707,WWF España,WWF España,13793
189318235003,PSOE,PSOE,13445
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,13196
699285113542248,Irene Montero,Unidas Podemos,12910
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,12098
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,10779
106626487721376,Amazon Europe,Amazon Europe,10747
8340223883,Avaaz,Avaaz,10042
366619768708,Plan International España,These ads ran without a disclaimer,9995
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,9933
176592142419661,HolaLuz.com,HolaLuz.com,9734
179666655404875,Comisión Europea en España,Comisión Europea en España,9684
1454030934635120,SolarProfit,Solar Profit Energy Services,9146
106331680386,PP de la Comunidad de Madrid,These ads ran without a disclaimer,8821
251020021637315,Iberdrola,Iberdrola,8751
193607127334060,Corona,These ads ran without a disclaimer,8663
306840072990831,Socios Cruz Roja,Socios Cruz Roja,8517
256196396278,UNICEF España,UNICEF Comité Español,8488
577723459314066,Un país moderno,Unidas Podemos,8070
171516302294,Facebook app,Facebook,7642
414809308591481,Pablo Iglesias,Unidas Podemos,7621
122374334455290,Peugeot,These ads ran without a disclaimer,7586
245741112112300,Ayuda En Acción,Ayuda En Acción,7421
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,7421
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,7184
164302750336862,Wish,These ads ran without a disclaimer,6691
295410637661767,Alma Joyas,Totem Joyas,5928
105664031745,UNRWA España,UNRWA España,5807
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,5684
272916416540929,Isa Serra,Unidas Podemos Izquierda Unida Madrid En Pie,5232
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,4659
1549407258706617,Fundación "la Caixa","la Caixa",4399
