Page ID,Page Name,Disclaimer,Amount Spent (EUR)
74078667754,Ciudadanos,Ciudadanos,14179
269212336568846,Podemos,Unidas Podemos,12864
269212336568846,Podemos,UNIDAS PODEMOS,12666
72249031214,Partido Popular,Partido Popular,12540
178362315106,European Parliament,European Parliament,12140
57845333112,Save the Children España,Save the Children España,11962
322056604527477,Ecoembes,Ecoembes,9188
187170858138979,PSOE Extremadura,PSOE Extremadura,8999
133044800622,Greenpeace España,Greenpeace España,8215
78151799929,Amnistía Internacional España,Amnistía Internacional España,8078
366619768708,Plan International España,Plan International España,7575
94118672764,ACNUR Comite español,ACNUR Comite español,4655
189318235003,PSOE,PSOE,4503
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,4269
107898832590939,European Commission,European Commission,4237
321358425084002,Ofertas Energía,Accom Bpac,4178
20108693880,Oxfam Intermón,Oxfam Intermón,3236
577723459314066,Un país moderno,Unidas Podemos,3081
201228493267718,Partido Popular Extremadura,Partido Popular Extremadura,2753
189318235003,PSOE,These ads ran without a disclaimer,2703
106626487721376,Amazon Europe,Amazon Europe,2516
592188124467085,Oatly,Oatly,2345
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,2291
179666655404875,Comisión Europea en España,Comisión Europea en España,2227
251020021637315,Iberdrola,Iberdrola,2179
193607127334060,Corona,These ads ran without a disclaimer,1731
699285113542248,Irene Montero,Unidas Podemos,1708
176592142419661,HolaLuz.com,HolaLuz.com,1698
56504926071,Guillermo Fernández Vara,Guillermo Fernández Vara,1616
245685148845187,Juan Antonio Morales,Juan Antonio Morales,1579
164302750336862,Wish,These ads ran without a disclaimer,1556
122374334455290,Peugeot,These ads ran without a disclaimer,1553
171516302294,Facebook app,Facebook,1540
189917381044866,Ben & Jerry's,Ben & Jerry's,1514
8340223883,Avaaz,Avaaz,1493
169915749735403,CEAR,CEAR,1440
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,1419
586540488142205,Ingredientes que Suman,Oxfam Intermón,1380
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,1234
414809308591481,Pablo Iglesias,Unidas Podemos,1223
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,1169
256196396278,UNICEF España,UNICEF Comité Español,1110
57973661707,WWF España,WWF España,1103
699285113542248,Irene Montero,UNIDAS PODEMOS,1064
306840072990831,Socios Cruz Roja,Socios Cruz Roja,1062
755648197859260,Psoe Miajadas Agrupación Local,Antonio Diaz Alias,1013
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,1010
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,973
141223889286081,Hyundai España,Hyundai España,946
1549407258706617,Fundación "la Caixa","la Caixa",920
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,880
366619768708,Plan International España,These ads ran without a disclaimer,877
389105751225710,Ciudadanos Extremadura,These ads ran without a disclaimer,875
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,874
239707429833080,EDP España,EDP España,800
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,800
