Page ID,Page Name,Disclaimer,Amount Spent (EUR)
269212336568846,Podemos,Unidas Podemos,36121
57845333112,Save the Children España,Save the Children España,35811
269212336568846,Podemos,UNIDAS PODEMOS,34664
72249031214,Partido Popular,Partido Popular,27699
133044800622,Greenpeace España,Greenpeace España,27119
178362315106,European Parliament,European Parliament,26198
74078667754,Ciudadanos,Ciudadanos,25916
78151799929,Amnistía Internacional España,Amnistía Internacional España,25111
322056604527477,Ecoembes,Ecoembes,20727
366619768708,Plan International España,Plan International España,20096
128341470548824,BNG - Bloque Nacionalista Galego,Bloque Nacionalista Galego,13680
94118672764,ACNUR Comite español,ACNUR Comite español,12114
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,11812
592188124467085,Oatly,Oatly,9449
107898832590939,European Commission,European Commission,9389
20108693880,Oxfam Intermón,Oxfam Intermón,8462
321358425084002,Ofertas Energía,Accom Bpac,8095
189318235003,PSOE,PSOE,8078
727280427306242,Cs Galicia,Ciudadanos,7388
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,6371
189318235003,PSOE,These ads ran without a disclaimer,5899
179666655404875,Comisión Europea en España,Comisión Europea en España,5085
106626487721376,Amazon Europe,Amazon Europe,4685
699285113542248,Irene Montero,Unidas Podemos,4544
251020021637315,Iberdrola,Iberdrola,4329
57973661707,WWF España,WWF España,4067
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,4017
189917381044866,Ben & Jerry's,Ben & Jerry's,3989
586540488142205,Ingredientes que Suman,Oxfam Intermón,3877
169915749735403,CEAR,CEAR,3632
193607127334060,Corona,These ads ran without a disclaimer,3564
577723459314066,Un país moderno,Unidas Podemos,3519
8340223883,Avaaz,Avaaz,3447
414809308591481,Pablo Iglesias,Unidas Podemos,3421
122374334455290,Peugeot,These ads ran without a disclaimer,3312
110505340685682,Marea Galeguista,Marea Galeguista,3300
699285113542248,Irene Montero,UNIDAS PODEMOS,3209
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,3148
171516302294,Facebook app,Facebook,3041
176592142419661,HolaLuz.com,HolaLuz.com,2993
306840072990831,Socios Cruz Roja,Socios Cruz Roja,2907
366619768708,Plan International España,These ads ran without a disclaimer,2889
