Page ID,Page Name,Disclaimer,Amount Spent (EUR)
57845333112,Save the Children España,Save the Children España,38374
269212336568846,Podemos,UNIDAS PODEMOS,35801
269212336568846,Podemos,Unidas Podemos,31149
133044800622,Greenpeace España,Greenpeace España,30295
78151799929,Amnistía Internacional España,Amnistía Internacional España,26988
178362315106,European Parliament,European Parliament,26446
366619768708,Plan International España,Plan International España,23678
72249031214,Partido Popular,Partido Popular,22290
74078667754,Ciudadanos,Ciudadanos,19928
322056604527477,Ecoembes,Ecoembes,16923
94118672764,ACNUR Comite español,ACNUR Comite español,15133
107898832590939,European Commission,European Commission,9692
20108693880,Oxfam Intermón,Oxfam Intermón,8617
321358425084002,Ofertas Energía,Accom Bpac,8289
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,8134
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,7404
1499578240271320,Coalicion Canaria,Coalicion Canaria,7403
189318235003,PSOE,PSOE,7255
592188124467085,Oatly,Oatly,6255
189318235003,PSOE,These ads ran without a disclaimer,5431
169915749735403,CEAR,CEAR,5347
753106774703904,Cabildo de Gran Canaria,Cabildo de Gran Canaria,5020
189917381044866,Ben & Jerry's,Ben & Jerry's,4892
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,4883
106626487721376,Amazon Europe,Amazon Europe,4571
179666655404875,Comisión Europea en España,Comisión Europea en España,4459
271931812851156,PSOE Canarias,PSOE Canarias,4456
586540488142205,Ingredientes que Suman,Oxfam Intermón,4246
377235203030748,Vidina Espino,These ads ran without a disclaimer,4241
251020021637315,Iberdrola,Iberdrola,3946
57973661707,WWF España,WWF España,3885
171516302294,Facebook app,Facebook,3874
234189353400425,Fernando Clavijo,Coalición Canaria,3581
699285113542248,Irene Montero,Unidas Podemos,3506
366619768708,Plan International España,These ads ran without a disclaimer,3464
8340223883,Avaaz,Avaaz,3288
193607127334060,Corona,These ads ran without a disclaimer,3248
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,3120
306840072990831,Socios Cruz Roja,Socios Cruz Roja,2994
122374334455290,Peugeot,These ads ran without a disclaimer,2961
245741112112300,Ayuda En Acción,Ayuda En Acción,2735
1840231536105942,Tenerifegana,Coalición Canaria,2715
1616759808576461,Ana Oramas,Coalicion Canaria,2661
164302750336862,Wish,These ads ran without a disclaimer,2634
798240340566417,Enrique Arriaga,These ads ran without a disclaimer,2627
577723459314066,Un país moderno,Unidas Podemos,2572
699285113542248,Irene Montero,UNIDAS PODEMOS,2499
2220786701504172,Manolo Gómez,These ads ran without a disclaimer,2393
414809308591481,Pablo Iglesias,Unidas Podemos,2369
1452408818346940,Grupo Municipal Popular LPGC,Grupo Popular Ayuntamiento LPGC,2351
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,2267
941134095919663,Meri Pita,UNIDAS PODEMOS,2164
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,2148
1032138060150837,Mariano Cejas,These ads ran without a disclaimer,2146
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,2140
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,2056
179844672027190,José Manuel Bermúdez,Coalicion Canaria,2003
256196396278,UNICEF España,UNICEF Comité Español,1961
1549407258706617,Fundación "la Caixa","la Caixa",1881
1583228775319006,Sarenet,Sarenet,1841
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,1751
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,1689
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,1675
105664031745,UNRWA España,UNRWA España,1671
245741112112300,Ayuda En Acción,These ads ran without a disclaimer,1647
354462798081380,Cs Las Palmas de Gran Canaria,These ads ran without a disclaimer,1625
266888690629486,Antonio García Marichal,Antonio Miguel García Marichal,1595
795108214204276,Rosa Dávila,Coalicion Canaria,1549
577723459314066,Un país moderno,UNIDAS PODEMOS,1529
216290708406257,Alianza por la Solidaridad,Jose Manuel Bran Garcia,1429
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,1396
111404200571582,Endesa Luz y Gas,Accom Bpac,1387
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,1340
57845333112,Save the Children España,These ads ran without a disclaimer,1320
356491188244058,La Política Online ES,La Política Online,1266
269212336568846,Podemos,PODEMOS,1251
396281891104465,GanaFuerteventura,These ads ran without a disclaimer,1246
2420487738043690,Energie-solaire.io,These ads ran without a disclaimer,1235
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,1193
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,1170
115046403227198,Más País,Más País - Equo,1167
94118672764,ACNUR Comite español,These ads ran without a disclaimer,1153
960849937289013,Pedro Quevedo Iturbe,Nueva Canarias,1121
295803077110994,Fundación Ramón Areces,Ramón Areces,1115
105102251616999,Rodando por la igualdad,Samuel Rodríguez Cimiano,1097
117887575012127,Leche Pascual,Leche Pascual,1092
174696652583261,Fundación Aladina,Fundación Aladina,1091
169915749735403,CEAR,These ads ran without a disclaimer,1055
178362315106,European Parliament,These ads ran without a disclaimer,1034
468082066665498,María Dolores Corujo Berriel,PSOE Lanzarote,1013
574008922739385,PSOE de San Bartolomé,PSOE de San Bartolomé,1011
469027106474166,Águeda Montelongo González,These ads ran without a disclaimer,998
1425684341065612,Manuela Carmena,Más País - Equo,997
790298914366507,Santa Cruz por la Igualdad,These ads ran without a disclaimer,993
289541608339316,Fernando Enseñat,Fernando Enseñat Bueno,908
187075708837153,"Pienso, luego Actúo",Yoigo,894
115046403227198,Más País,Más País,848
295410637661767,Alma Joyas,Totem Joyas,798
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,791
120222944745734,Nestlé,Nestlé (ES),791
366619768708,Plan International España,Jose Manuel Bran Garcia,783
116952045157,Cruz Roja Española,Jose Manuel Bran Garcia,774
306840072990831,Socios Cruz Roja,These ads ran without a disclaimer,767
972435506102094,Antonio Morales Méndez,Nueva Canarias,761
57973661707,WWF España,These ads ran without a disclaimer,760
116952045157,Cruz Roja Española,Ad Pepper Media Spain,760
161616883888862,Parlamento Europeo - Oficina en España,Parlamento Europeo - Oficina en España,745
115481008480109,LG Global,Good Rebels,745
1571399669750639,Izquierda Unida Santa Cruz,Izquierda Unida Santa Cruz,735
322056604527477,Ecoembes,Publicidad Atlantis,727
913884515340792,Pedro Martín,These ads ran without a disclaimer,709
116136108464509,CaixaBank,CaixaBank,698
101691214879637,Concejalía de Fiestas Populares y Tradicionales de La Laguna,These ads ran without a disclaimer,696
1508232242753874,San Juan de Dios,Publicidad Atlantis,685
176592142419661,HolaLuz.com,HolaLuz.com,677
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,672
131231529742,Fundación Anesvad,Miren Ferreras,656
113760931412,Acción contra el Hambre España,These ads ran without a disclaimer,656
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,635
45817335745,Entreculturas,These ads ran without a disclaimer,623
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,618
683481128368110,Íñigo Errejón,Más País,605
178720995125,Pablo Rodríguez,These ads ran without a disclaimer,595
542448969562079,PETRONAS Syntium,These ads ran without a disclaimer,562
527869040644787,Podemos Canarias,UNIDAS PODEMOS,560
100691945140982,Igualdad y Diversidad LPGC,Davinia Maria Suarez Rodriguez,553
723376917778807,Psoe Puerto del Rosario,These ads ran without a disclaimer,552
302436570114382,Amigos de los Mayores,Amics de la gent gran,550
676028735740716,Rexona,Rexona,547
291557443539,PSOE Santa Brígida,These ads ran without a disclaimer,545
230970583628309,Socialistas Españoles en el Parlamento Europeo,Delegación Española del Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo,541
101902647887840,SOS Derechos Humanos,These ads ran without a disclaimer,533
100113605362635,Lanzarote En Pie,Lanzarote En Pie,532
128451907169274,Estrella Damm,These ads ran without a disclaimer,531
141366725876424,European Greens,European Greens,524
387336148362320,Plan Nacional frente a la Resistencia a los Antibióticos - PRAN,Jesús Martín Macías,522
347898135399964,Partido Popular de Canarias,These ads ran without a disclaimer,520
315021912539118,Ayuda LGTB,These ads ran without a disclaimer,518
250532465072416,CanariasMakeup.com,CanariasMakeup.com,517
1819552285003898,Actualidad Personas Vulnerables,These ads ran without a disclaimer,516
276999106249,Asociación Española Contra el Cáncer,These ads ran without a disclaimer,510
115467492482553,Alfonso Cabello Mesa,Juan Alfonso Cabello Mesa,508
1428891030758573,Melisa Rodríguez Hernández,Ciudadanos,498
511233645946606,Los Rodríguez y el Más Allá,These ads ran without a disclaimer,496
256196396278,UNICEF España,UNICEF España,478
284024768327720,Frigo,Frigo,470
729627343834501,Kialo,These ads ran without a disclaimer,470
385057408923226,"Juanjo Cabrera, Alcalde",These ads ran without a disclaimer,469
2362375017326615,Matilde Zambudio,These ads ran without a disclaimer,465
182073298490036,Gaia,These ads ran without a disclaimer,461
739632506067610,"Teodoro Sosa, alcalde de Gáldar",Bloque Nacionalista Rural - Nueva Canarias,460
70020937349,SEO/BirdLife,These ads ran without a disclaimer,456
368300013783511,Augusto Hidalgo,These ads ran without a disclaimer,453
2145793695499686,Coalición Canaria Puntagorda,These ads ran without a disclaimer,453
1735685853396224,Contigo Santa Cruz de Tenerife,These ads ran without a disclaimer,445
230970583628309,Socialistas Españoles en el Parlamento Europeo,"Grupo S&D, Parlamento Europeo",442
586540488142205,Ingredientes que Suman,These ads ran without a disclaimer,440
229579770543482,Arroz Nomen,Arroz Nomen,438
447794575427713,ElNacional.cat,ElNacional.cat,437
154928118038966,Colgate España,These ads ran without a disclaimer,430
103122985079365,Robaina ULPGC,Rafael Robaina Romero,422
1716846438609314,Legado Solidario,Daryl Upsall,403
629830667519269,Gabriel Mato,Gabriel Mato Adrover,400
427651317802852,"MAE, Villa de Mazo Agrupación de Electores",These ads ran without a disclaimer,400
137410079645823,Instituto Europeo de Psicología Positiva - IEPP,These ads ran without a disclaimer,393
267985490746020,Restaurantes contra el Hambre,Acción contra el Hambre España,393
1452408818346940,Grupo Municipal Popular LPGC,These ads ran without a disclaimer,389
365182420981412,Pedro Armas,These ads ran without a disclaimer,389
131231529742,Fundación Anesvad,These ads ran without a disclaimer,383
10122041303,Garnier,Garnier,371
116952045157,Cruz Roja Española,These ads ran without a disclaimer,366
100651578043707,Yo Con Íñigo,Josep Lanuza,365
111892984250,Fundación World Vision España,Fundación World Vision International,361
2315084548728652,Respeto LGTB,These ads ran without a disclaimer,360
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,354
300649776983600,Repara tu deuda,These ads ran without a disclaimer,349
349800235527721,España Ciudadana,These ads ran without a disclaimer,344
170506213454467,Aprendemos Juntos,Aprendemos Juntos,336
131854659463,The Body Shop,The Body Shop,336
109407970637195,MASPV Energy,MASPV Energy,334
2278749852219270,Frizzle News,These ads ran without a disclaimer,333
1425062717800175,Informalia,These ads ran without a disclaimer,332
1484902635066055,Cs Canarias,These ads ran without a disclaimer,330
363084687812526,Somos Miel,These ads ran without a disclaimer,328
