Page ID,Page Name,Disclaimer,Amount Spent (EUR)
57845333112,Save the Children España,Save the Children España,8568
269212336568846,Podemos,UNIDAS PODEMOS,7138
133044800622,Greenpeace España,Greenpeace España,6182
178362315106,European Parliament,European Parliament,5795
78151799929,Amnistía Internacional España,Amnistía Internacional España,5516
269212336568846,Podemos,Unidas Podemos,5427
72249031214,Partido Popular,Partido Popular,4154
366619768708,Plan International España,Plan International España,4144
578011499356226,CEUS - Coalición por una Europa Solidaria,EAJ-PNV,3615
322056604527477,Ecoembes,Ecoembes,3494
401519690408274,Navarra Suma,Navarra Suma,3237
160880400675854,Salud Navarra,Gobierno de Navarra,3099
94118672764,ACNUR Comite español,ACNUR Comite español,2690
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,2574
107898832590939,European Commission,European Commission,2208
20108693880,Oxfam Intermón,Oxfam Intermón,2038
190214741315793,Cambio-Aldaketa,Cambio  Aldaketa,2007
321358425084002,Ofertas Energía,Accom Bpac,1853
110332957221383,Igualdad - Gobierno de Navarra,Gobierno de Navarra,1560
577723459314066,Un país moderno,Unidas Podemos,1548
74078667754,Ciudadanos,Ciudadanos,1459
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,1367
189318235003,PSOE,PSOE,1348
290610294298933,Geroa Bai,These ads ran without a disclaimer,1302
189318235003,PSOE,These ads ran without a disclaimer,1247
325255894233984,Juventud - Gazteria,Gobierno de Navarra,1037
106626487721376,Amazon Europe,Amazon Europe,977
699285113542248,Irene Montero,Unidas Podemos,971
207443162644028,Gobierno de Navarra,Gobierno de Navarra,953
586540488142205,Ingredientes que Suman,Oxfam Intermón,950
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,945
592188124467085,Oatly,Oatly,936
189917381044866,Ben & Jerry's,Ben & Jerry's,881
169915749735403,CEAR,CEAR,858
179666655404875,Comisión Europea en España,Comisión Europea en España,841
251020021637315,Iberdrola,Iberdrola,757
57973661707,WWF España,WWF España,742
176592142419661,HolaLuz.com,HolaLuz.com,726
699285113542248,Irene Montero,UNIDAS PODEMOS,668
8340223883,Avaaz,Avaaz,662
193607127334060,Corona,These ads ran without a disclaimer,648
133720063355040,txalaparta,txalaparta,646
366619768708,Plan International España,These ads ran without a disclaimer,627
122374334455290,Peugeot,These ads ran without a disclaimer,603
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,590
2101089086781747,María Solana Arana,Cristobal Alvarez Teruel,587
306840072990831,Socios Cruz Roja,Socios Cruz Roja,566
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,551
414809308591481,Pablo Iglesias,Unidas Podemos,543
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,540
239707429833080,EDP España,EDP España,531
1648768832073060,Ione Belarra Urteaga,Unidas Podemos,517
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,499
245741112112300,Ayuda En Acción,Ayuda En Acción,471
164302750336862,Wish,These ads ran without a disclaimer,465
171516302294,Facebook app,Facebook,430
183202371808498,EH Bildu,EH Bildu,425
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,416
105664031745,UNRWA España,UNRWA España,392
577723459314066,Un país moderno,UNIDAS PODEMOS,392
295410637661767,Alma Joyas,Totem Joyas,386
104697684611547,Servicio Navarro de Empleo - Nafar Lansare,Gobierno de Navarra,380
287876011759786,Mikel Buil García,Podemos Navarra,365
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,364
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,353
141223889286081,Hyundai España,Hyundai España,331
1549407258706617,Fundación "la Caixa","la Caixa",324
207443162644028,Gobierno de Navarra,Ana Cortaire Ciordia,320
73510463324,Partido Socialista de Navarra (PSN-PSOE),PSN-PSOE,320
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,308
371071599932415,Heineken,These ads ran without a disclaimer,295
57845333112,Save the Children España,These ads ran without a disclaimer,293
245741112112300,Ayuda En Acción,These ads ran without a disclaimer,280
73510463324,Partido Socialista de Navarra (PSN-PSOE),These ads ran without a disclaimer,272
1583228775319006,Sarenet,Sarenet,268
111404200571582,Endesa Luz y Gas,Accom Bpac,254
105102251616999,Rodando por la igualdad,Samuel Rodríguez Cimiano,249
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,245
216290708406257,Alianza por la Solidaridad,Jose Manuel Bran Garcia,245
269212336568846,Podemos,PODEMOS,236
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,235
256196396278,UNICEF España,UNICEF Comité Español,233
1444970962387572,Podemos Navarra - Ahal dugu Nafarroa,UNIDAS PODEMOS,229
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,228
1677528669232087,Idoia Villanueva Ruiz,Idoia Villanueva Ruiz,226
174696652583261,Fundación Aladina,Fundación Aladina,224
178362315106,European Parliament,These ads ran without a disclaimer,219
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,218
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,214
295803077110994,Fundación Ramón Areces,Ramón Areces,206
94118672764,ACNUR Comite español,These ads ran without a disclaimer,204
187075708837153,"Pienso, luego Actúo",Yoigo,204
290610294298933,Geroa Bai,Cristobal Alvarez Teruel,200
26830001203,EAJ-PNV,EAJ-PNV,200
356491188244058,La Política Online ES,La Política Online,195
239707429833080,EDP España,These ads ran without a disclaimer,192
221292842061953,Love my country,These ads ran without a disclaimer,190
46708306425,European Free Alliance,European Free Alliance,174
115481008480109,LG Global,Good Rebels,164
1563914500562417,Itziar Gómez  López,These ads ran without a disclaimer,163
287876011759786,Mikel Buil García,These ads ran without a disclaimer,159
1765571783494330,La Neurona,These ads ran without a disclaimer,155
676028735740716,Rexona,Rexona,149
306840072990831,Socios Cruz Roja,These ads ran without a disclaimer,145
1454030934635120,SolarProfit,Solar Profit Energy Services,144
120222944745734,Nestlé,Nestlé (ES),140
117887575012127,Leche Pascual,Leche Pascual,139
276999106249,Asociación Española Contra el Cáncer,These ads ran without a disclaimer,139
366619768708,Plan International España,Jose Manuel Bran Garcia,137
57973661707,WWF España,These ads ran without a disclaimer,134
447794575427713,ElNacional.cat,ElNacional.cat,134
161616883888862,Parlamento Europeo - Oficina en España,Parlamento Europeo - Oficina en España,132
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,127
1677528669232087,Idoia Villanueva Ruiz,UNIDAS PODEMOS,125
455959678478376,Corella_IXRIBERA,These ads ran without a disclaimer,123
116952045157,Cruz Roja Española,Jose Manuel Bran Garcia,123
586540488142205,Ingredientes que Suman,These ads ran without a disclaimer,118
110913500516986,PP vasco +Cs,PP vasco + Cs,117
166691664046203,JCO Style,These ads ran without a disclaimer,112
176592142419661,HolaLuz.com,These ads ran without a disclaimer,111
2420487738043690,Energie-solaire.io,These ads ran without a disclaimer,110
128451907169274,Estrella Damm,These ads ran without a disclaimer,108
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,107
111892984250,Fundación World Vision España,Fundación World Vision International,106
141366725876424,European Greens,European Greens,102
1648768832073060,Ione Belarra Urteaga,UNIDAS PODEMOS,≤100
131231529742,Fundación Anesvad,Miren Ferreras,≤100
1220788054735482,Parakasa,These ads ran without a disclaimer,≤100
113760931412,Acción contra el Hambre España,These ads ran without a disclaimer,≤100
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,≤100
101902647887840,SOS Derechos Humanos,These ads ran without a disclaimer,≤100
116952045157,Cruz Roja Española,Ad Pepper Media Spain,≤100
1444970962387572,Podemos Navarra - Ahal dugu Nafarroa,PODEMOS NAVARRA,≤100
116136108464509,CaixaBank,CaixaBank,≤100
387336148362320,Plan Nacional frente a la Resistencia a los Antibióticos - PRAN,Jesús Martín Macías,≤100
452100531798227,Brushboo,These ads ran without a disclaimer,≤100
302436570114382,Amigos de los Mayores,Amics de la gent gran,≤100
70020937349,SEO/BirdLife,These ads ran without a disclaimer,≤100
1319684651390546,Pranamat ESP,These ads ran without a disclaimer,≤100
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,≤100
267985490746020,Restaurantes contra el Hambre,Acción contra el Hambre España,≤100
230970583628309,Socialistas Españoles en el Parlamento Europeo,Delegación Española del Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo,≤100
229579770543482,Arroz Nomen,Arroz Nomen,≤100
1819552285003898,Actualidad Personas Vulnerables,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
256196396278,UNICEF España,UNICEF España,≤100
261921680491338,Axe Spain,Axe Spain,≤100
1716846438609314,Legado Solidario,Daryl Upsall,≤100
