Page ID,Page Name,Disclaimer,Amount Spent (EUR)
269212336568846,Podemos,UNIDAS PODEMOS,19100
57845333112,Save the Children España,Save the Children España,14897
269212336568846,Podemos,Unidas Podemos,14524
78151799929,Amnistía Internacional España,Amnistía Internacional España,11253
178362315106,European Parliament,European Parliament,11160
74078667754,Ciudadanos,Ciudadanos,10691
72249031214,Partido Popular,Partido Popular,10410
133044800622,Greenpeace España,Greenpeace España,10290
366619768708,Plan International España,Plan International España,8907
322056604527477,Ecoembes,Ecoembes,7896
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,6106
157783340940291,FORO Asturias,FORO Asturias,5948
94118672764,ACNUR Comite español,ACNUR Comite español,5596
48426568814,Federación Socialista Asturiana FSA-PSOE,Federación Socialista Asturiana FSA-PSOE,4230
321358425084002,Ofertas Energía,Accom Bpac,3812
281802578697399,Adrián Barbón,Federación Socialista Asturiana FSA-PSOE,3687
20108693880,Oxfam Intermón,Oxfam Intermón,3611
107898832590939,European Commission,European Commission,3464
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,3053
189318235003,PSOE,PSOE,2940
189318235003,PSOE,These ads ran without a disclaimer,2204
592188124467085,Oatly,Oatly,2165
251020021637315,Iberdrola,Iberdrola,2094
155772341128724,Ayuntamiento de Oviedo,Ecoembes,1997
106626487721376,Amazon Europe,Amazon Europe,1980
2175837676009250,Teresa Mallada De Castro,Partido Popular de Asturias,1976
431392333727579,El  Porvenir del conceju de Llanes,La voz del oriente,1858
57973661707,WWF España,WWF España,1794
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,1791
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,1786
179666655404875,Comisión Europea en España,Comisión Europea en España,1731
189917381044866,Ben & Jerry's,Ben & Jerry's,1719
699285113542248,Irene Montero,Unidas Podemos,1718
169915749735403,CEAR,CEAR,1696
414809308591481,Pablo Iglesias,Unidas Podemos,1693
306840072990831,Socios Cruz Roja,Socios Cruz Roja,1564
699285113542248,Irene Montero,UNIDAS PODEMOS,1552
431392333727579,El  Porvenir del conceju de Llanes,psoe llanes,1550
176592142419661,HolaLuz.com,HolaLuz.com,1523
193607127334060,Corona,These ads ran without a disclaimer,1519
586540488142205,Ingredientes que Suman,Oxfam Intermón,1517
171516302294,Facebook app,Facebook,1449
8340223883,Avaaz,Avaaz,1413
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,1332
157783340940291,FORO Asturias,These ads ran without a disclaimer,1292
267058447516650,Nacho Cuesta,Ciudadanos,1291
122374334455290,Peugeot,These ads ran without a disclaimer,1274
366619768708,Plan International España,These ads ran without a disclaimer,1233
267058447516650,Nacho Cuesta,These ads ran without a disclaimer,1220
164302750336862,Wish,These ads ran without a disclaimer,1198
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,1172
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,1115
1210653608951129,Lorena Gil,These ads ran without a disclaimer,1106
577723459314066,Un país moderno,Unidas Podemos,1070
245741112112300,Ayuda En Acción,Ayuda En Acción,1036
180609005365213,Alberto Garzón Espinosa,Izquierda Unida,1025
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,1002
603140686425818,Podemos Asturies,UNIDAS PODEMOS,997
256196396278,UNICEF España,UNICEF Comité Español,995
414809308591481,Pablo Iglesias,UNIDAS PODEMOS,907
1549407258706617,Fundación "la Caixa","la Caixa",897
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,875
269212336568846,Podemos,PODEMOS,872
144926585684140,IU Xixón,Xixón por la Izquierda (IU+IAS),849
141223889286081,Hyundai España,Hyundai España,826
577723459314066,Un país moderno,UNIDAS PODEMOS,818
239707429833080,EDP España,EDP España,801
106384904454153,Jose Costillas,Ciudadanos CS,771
105664031745,UNRWA España,UNRWA España,770
295803077110994,Fundación Ramón Areces,Ramón Areces,742
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,704
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,698
215820241034,Instituto Asturiano de la Mujer,Pablo Alberto Llanos Alvarez,694
295410637661767,Alma Joyas,Totem Joyas,689
571544130012036,Alberto López-Asenjo,These ads ran without a disclaimer,675
1583228775319006,Sarenet,Sarenet,669
271056943440058,Destino Final España,Jose Ignacio Diaz Tejedo,668
115046403227198,Más País,Más País,634
481824501958355,SOMOS Oviedo/Uviéu,SOMOS Oviedo/Uviéu,630
245741112112300,Ayuda En Acción,These ads ran without a disclaimer,628
74858103866,Izquierda Unida,Izquierda Unida,607
174696652583261,Fundación Aladina,Fundación Aladina,599
48426568814,Federación Socialista Asturiana FSA-PSOE,These ads ran without a disclaimer,595
952776318112354,Ana Taboada,These ads ran without a disclaimer,581
371071599932415,Heineken,These ads ran without a disclaimer,568
550220551831041,RefugiadosSOS,These ads ran without a disclaimer,565
216290708406257,Alianza por la Solidaridad,Jose Manuel Bran Garcia,564
57845333112,Save the Children España,These ads ran without a disclaimer,551
604271292984767,Psoe Llanes,These ads ran without a disclaimer,539
324371974873614,Álvaro Muñiz,Angel Garcia Moran,530
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,516
110710817012942,Delegación del Gobierno contra la Violencia de Género,Delegación del Gobierno para la Violencia de Género,516
239707429833080,EDP España,These ads ran without a disclaimer,501
178362315106,European Parliament,These ads ran without a disclaimer,489
115046403227198,Más País,Más País - Equo,471
356491188244058,La Política Online ES,La Política Online,463
117887575012127,Leche Pascual,Leche Pascual,461
94118672764,ACNUR Comite español,These ads ran without a disclaimer,454
187075708837153,"Pienso, luego Actúo",Yoigo,445
447794575427713,ElNacional.cat,ElNacional.cat,427
276999106249,Asociación Española Contra el Cáncer,These ads ran without a disclaimer,399
603140686425818,Podemos Asturies,Podemos Asturies,390
306840072990831,Socios Cruz Roja,These ads ran without a disclaimer,358
111404200571582,Endesa Luz y Gas,Accom Bpac,357
161616883888862,Parlamento Europeo - Oficina en España,Parlamento Europeo - Oficina en España,353
683481128368110,Íñigo Errejón,Más País,350
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,346
115481008480109,LG Global,Good Rebels,337
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,322
604271292984767,Psoe Llanes,Psoe Llanes,318
105102251616999,Rodando por la igualdad,Samuel Rodríguez Cimiano,317
1425062717800175,Informalia,These ads ran without a disclaimer,298
116952045157,Cruz Roja Española,Jose Manuel Bran Garcia,296
1428891030758573,Melisa Rodríguez Hernández,Ciudadanos,292
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,288
468097547063186,Grupo Municipal del Partido Popular de Villaviciosa,Populares de Villaviciosa,287
347210959259292,"Ángel Morales Fuentecilla,Diputado  Junta General del Principado Asturias",psoellanes,287
