Page ID,Page Name,Disclaimer,Amount Spent (EUR)
269212336568846,Podemos,UNIDAS PODEMOS,20802
57845333112,Save the Children España,Save the Children España,17608
178362315106,European Parliament,European Parliament,16825
269212336568846,Podemos,Unidas Podemos,16330
72249031214,Partido Popular,Partido Popular,15168
133044800622,Greenpeace España,Greenpeace España,13897
322056604527477,Ecoembes,Ecoembes,13462
74078667754,Ciudadanos,Ciudadanos,12061
78151799929,Amnistía Internacional España,Amnistía Internacional España,11835
366619768708,Plan International España,Plan International España,10451
1405445633036784,Podemos Región de Murcia,Podemos Región de Murcia,7277
154616807805,Partido Socialista de la Región de Murcia (PSRM-PSOE),Partido Socialista de la Región de Murcia,6917
107898832590939,European Commission,European Commission,6549
321358425084002,Ofertas Energía,Accom Bpac,6208
94118672764,ACNUR Comite español,ACNUR Comite español,6048
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,5822
133681223330258,"No volveré a comer pulpo, si España gana el Mundial!",These ads ran without a disclaimer,5309
189318235003,PSOE,PSOE,4380
20108693880,Oxfam Intermón,Oxfam Intermón,4320
2020156514896201,Ana Belén Castejón Hernández,These ads ran without a disclaimer,4050
189318235003,PSOE,These ads ran without a disclaimer,3586
569280556548471,Óscar Urralburu,Podemos Región de Murcia,3425
131231529742,Fundación Anesvad,Jose Manuel Bran Garcia,3176
592188124467085,Oatly,Oatly,3121
106626487721376,Amazon Europe,Amazon Europe,3107
179666655404875,Comisión Europea en España,Comisión Europea en España,2851
251020021637315,Iberdrola,Iberdrola,2444
189917381044866,Ben & Jerry's,Ben & Jerry's,2398
176592142419661,HolaLuz.com,HolaLuz.com,2392
169915749735403,CEAR,CEAR,2081
193607127334060,Corona,These ads ran without a disclaimer,2049
699285113542248,Irene Montero,Unidas Podemos,2020
586540488142205,Ingredientes que Suman,Oxfam Intermón,1990
122374334455290,Peugeot,These ads ran without a disclaimer,1969
171516302294,Facebook app,Facebook,1934
8340223883,Avaaz,Avaaz,1922
78151799929,Amnistía Internacional España,These ads ran without a disclaimer,1832
269212336568846,Podemos,UNIDAS PODEMOS CAMBIAR EUROPA,1821
57973661707,WWF España,WWF España,1806
164302750336862,Wish,These ads ran without a disclaimer,1755
414809308591481,Pablo Iglesias,Unidas Podemos,1563
108789763855387,"Consejería de Mujer, Igualdad, LGTBI, Familias y Política Social","Consejería de Mujer, Igualdad, LGTBI, Familias y Política Social",1500
366619768708,Plan International España,These ads ran without a disclaimer,1319
699285113542248,Irene Montero,UNIDAS PODEMOS,1281
544345212751615,Ginés Ruiz Maciá,Podemos Murcia,1273
306840072990831,Socios Cruz Roja,Socios Cruz Roja,1233
108699527264311,María Marín,Podemos Región de Murcia,1220
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,1207
72181181684,PACMA - Partido Animalista,PACMA - Partido Animalista,1186
141223889286081,Hyundai España,Hyundai España,1161
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,1128
230970583628309,Socialistas Españoles en el Parlamento Europeo,Maria De Las Maercedes Juan Fernandez,1127
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,1113
175357075823543,CRIS contra el Cancer,These ads ran without a disclaimer,1050
1549407258706617,Fundación "la Caixa","la Caixa",976
245741112112300,Ayuda En Acción,Ayuda En Acción,976
577723459314066,Un país moderno,Unidas Podemos,969
269212336568846,Podemos,PODEMOS,967
256196396278,UNICEF España,UNICEF Comité Español,945
371071599932415,Heineken,These ads ran without a disclaimer,879
105664031745,UNRWA España,UNRWA España,822
154616807805,Partido Socialista de la Región de Murcia (PSRM-PSOE),Andres Collado Quereda,800
