Page ID,Page Name,Disclaimer,Amount Spent (EUR)
133044800622,Greenpeace España,Greenpeace España,167
269212336568846,Podemos,UNIDAS PODEMOS,108
20108693880,Oxfam Intermón,Oxfam Intermón,≤100
322056604527477,Ecoembes,Ecoembes,≤100
586540488142205,Ingredientes que Suman,Oxfam Intermón,≤100
189917381044866,Ben & Jerry's,Ben & Jerry's,≤100
189318235003,PSOE,PSOE,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
179666655404875,Comisión Europea en España,Comisión Europea en España,≤100
194053080624605,Compromís,Compromís,≤100
141223889286081,Hyundai España,Hyundai España,≤100
57845333112,Save the Children España,Save the Children España,≤100
57845333112,Save the Children España,These ads ran without a disclaimer,≤100
213086312044776,Aldeas Infantiles SOS de España,These ads ran without a disclaimer,≤100
178362315106,European Parliament,European Parliament,≤100
107898832590939,European Commission,European Commission,≤100
103753489693220,Acciona,Acciona,≤100
183477065004779,Nevermind.,These ads ran without a disclaimer,≤100
269212336568846,Podemos,Unidas Podemos,≤100
403285996037,Fundación Josep Carreras contra la leucemia,Fundación Josep Carreras contra la leucemia,≤100
1220788054735482,Parakasa,These ads ran without a disclaimer,≤100
148269501881188,Plataforma per la Llengua,Plataforma per la Llengua,≤100
1606499429606584,MIRA Cádiz,These ads ran without a disclaimer,≤100
2009806149306205,CPIC,These ads ran without a disclaimer,≤100
2025157794459531,Tamara Guerrero Gómez - Ciudadanos Ceuta,These ads ran without a disclaimer,≤100
161215780558191,Knorr,Knorr,≤100
139949242754110,Viva Jerez,These ads ran without a disclaimer,≤100
70020937349,SEO/BirdLife,These ads ran without a disclaimer,≤100
115046403227198,Más País,Más País - Equo,≤100
392422034933011,Ramón Morales - PSOE,These ads ran without a disclaimer,≤100
239707429833080,EDP España,These ads ran without a disclaimer,≤100
592188124467085,Oatly,Oatly,≤100
100170683375588,Diputación de Cádiz,These ads ran without a disclaimer,≤100
100170683375588,Diputación de Cádiz,Diputación de Cádiz,≤100
652593258530176,Volem Més,These ads ran without a disclaimer,≤100
1425684341065612,Manuela Carmena,Más País - Equo,≤100
308481426515962,Manolo García,These ads ran without a disclaimer,≤100
602811606397980,Ferran Bel i Accensi,These ads ran without a disclaimer,≤100
567528937105486,EcoInnova ESP,These ads ran without a disclaimer,≤100
556773028092206,Levantico,These ads ran without a disclaimer,≤100
115046403227198,Más País,Más País,≤100
149047091789069,Leonel Fernández,These ads ran without a disclaimer,≤100
827360297361711,Gremi de Restauració de Barcelona,These ads ran without a disclaimer,≤100
435461023304166,"Evensol, evolución energética",These ads ran without a disclaimer,≤100
1421243471458150,Insolac,These ads ran without a disclaimer,≤100
673215702823765,Escuela Universitaria de Turismo Felipe Moreno,These ads ran without a disclaimer,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
214991545930735,Partido para la Defensa de la Sanidad Pública España,These ads ran without a disclaimer,≤100
573715099476767,Borja Pérez Sicilia,These ads ran without a disclaimer,≤100
468441436684509,Smart Dubai,These ads ran without a disclaimer,≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
