Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
360860753953531,Fortum Suomi,Fortum Suomi,228634,2810
119054448115588,WWF Suomi,WWF Suomi,174361,1273
178362315106,European Parliament,European Parliament,139649,865
545309265626080,Kela - Fpa,Kela - Fpa,102540,893
61123966277,VR matkalla,VR matkalla,93989,159
201285237101,Kokoomus,Kokoomus,74031,2194
585888148224935,Oatly,Oatly,67868,18
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,65548,155
242770249092810,HOK-Elanto,S-ryhmä,63091,26
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,62719,529
9227859351,Greenpeace Suomi,Greenpeace Suomi,54137,1020
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,53249,462
271311152007,Plan International Suomi,Plan International Suomi,48008,914
587353418318027,Parempi tulevaisuus,Plan International Suomi,45016,1133
2206691386258439,Plusluotto,These ads ran without a disclaimer,39309,1
1083597725003936,Neste,Neste,38309,11
83902438480,Ben & Jerry's,Ben & Jerry's,32227,27
493464655570,Valio,Valio,28385,20
394311077246380,St1,St1,27727,91
989337777778179,Metsä Group,Metsä Group,27598,31
60390955171,Vasemmistoliitto,Vasemmistoliitto,26221,187
222741024445243,Libero Suomi,Libero Suomi,25799,20
332170236842216,Vattenfall Suomi,Vattenfall Suomi,25250,131
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,23067,175
142013229195328,LUT University,LUT University,22855,76
169477316356,Solidaarisuus,Solidaarisuus,22563,246
7692825311,Suomen World Vision,Suomen World Vision,22423,74
123692197698005,Suomen UN Women,Suomen UN Women,22251,132
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,21976,362
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,21971,1475
240966039259839,Slush,These ads ran without a disclaimer,19556,269
438938299583730,Ilmatar,Ilmatar Windpower Oy,17852,80
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,17498,10
289966115236885,Freebo,Freebo Oy,17181,654
55312855747,Keskusta,Suomen Keskusta,16725,236
181106108341,Perussuomalaiset,Perussuomalaiset,16317,53
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,15777,66
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,15284,199
