Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,2363
178362315106,European Parliament,European Parliament,1943
119054448115588,WWF Suomi,WWF Suomi,1381
61123966277,VR matkalla,VR matkalla,1180
545309265626080,Kela - Fpa,Kela - Fpa,1120
585888148224935,Oatly,Oatly,963
201285237101,Kokoomus,Kokoomus,770
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,616
1083597725003936,Neste,Neste,504
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,479
2206691386258439,Plusluotto,These ads ran without a disclaimer,471
271311152007,Plan International Suomi,Plan International Suomi,470
394311077246380,St1,St1,460
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,455
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,427
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,391
9227859351,Greenpeace Suomi,Greenpeace Suomi,374
439326739451409,Kokkolan Keskusta,Ville Laitila,363
114814570433596,Perussuomalaiset Keski-Pohjanmaa,Huuki Manolis Anton,351
83902438480,Ben & Jerry's,Ben & Jerry's,345
493464655570,Valio,Valio,343
989337777778179,Metsä Group,Metsä Group,341
332170236842216,Vattenfall Suomi,Vattenfall Suomi,334
55312855747,Keskusta,Suomen Keskusta,319
181106108341,Perussuomalaiset,Perussuomalaiset,318
222741024445243,Libero Suomi,Libero Suomi,316
587353418318027,Parempi tulevaisuus,Plan International Suomi,311
142013229195328,LUT University,LUT University,305
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,282
289966115236885,Freebo,Freebo Oy,246
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,241
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,240
123692197698005,Suomen UN Women,Suomen UN Women,238
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,221
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,212
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,210
169477316356,Solidaarisuus,Solidaarisuus,204
103645656349867,Telia Finland,Telia Finland,203
438938299583730,Ilmatar,Ilmatar Windpower Oy,197
7692825311,Suomen World Vision,Suomen World Vision,186
867106493431709,Nollalinja,Nollalinja,177
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,177
60390955171,Vasemmistoliitto,Vasemmistoliitto,170
126812894035597,SLC,SLC r.f.,169
845009975610944,Storytel,These ads ran without a disclaimer,165
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,162
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,156
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,153
305608429284,EU Environment,EU Environment,147
142185749161366,Keski-Pohjanmaan Keskusta,Eemeli Valli,145
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,144
177939666416553,Mauri Pekkarinen,Mauri Pekkarinen,140
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,134
324990240912201,Yksi elämä,Yksi elämä,134
106376751275740,Kannuksen Perussuomalaiset,Huuki Manolis Anton,134
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,134
1672035896221006,Fpa - Kela,Fpa - Kela,128
111290482282398,OP,OP,121
141366725876424,European Greens,European Greens,112
120537424633927,Henna Virkkunen,Henna Virkkunen,112
129286757147002,Tehy ry,Tehy ry,108
111290482282398,OP,These ads ran without a disclaimer,106
337851219532,Into,Into,103
336057419777613,Vaasan vaalipiirin vihreät - De Gröna i Vasa valkrets,Vihreät - De Gröna,≤100
1449434138617787,Ida Schauman,Schauman Ida Emilia Axelsdotter,≤100
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,≤100
195534363813763,Posti,Posti,≤100
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,≤100
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,≤100
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,≤100
240966039259839,Slush,These ads ran without a disclaimer,≤100
336057419777613,Vaasan vaalipiirin vihreät - De Gröna i Vasa valkrets,Mikko Jokipii,≤100
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,≤100
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,≤100
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,≤100
575908612596562,Antton Rönnholm,Antton Rönnholm,≤100
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),≤100
289437981239343,Tulli,Tulli,≤100
102566909780881,Reilu kauppa,Reilu kauppa,≤100
371635287025743,Poliitikko Sami Yli-Rahnasto,Pohjanmaan Kokoomus ry,≤100
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,≤100
202285233124880,S-Pankki,S-Pankki,≤100
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,≤100
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,≤100
101476337951070,Avoin Puolue,Avoin Puolue,≤100
119054448115588,WWF Suomi,These ads ran without a disclaimer,≤100
628970754230502,AKT liitto,These ads ran without a disclaimer,≤100
190042298268350,Elsi Katainen,Katainen Elsi Kaarina,≤100
520081145163683,Väre,Väre Oy,≤100
2126212287670301,Oliver Pietilä,Oliver Pietilä,≤100
200739723082,University of Helsinki,University of Helsinki,≤100
387646527975949,Pohjanmaan Sosialidemokraatit,Pohjanmaan Sosialidemokraatit,≤100
221819714861099,Ole's,Ole's Fast Food,≤100
275638955671,Folkhälsan,Folkhälsan,≤100
54313274188,Naisten Pankki,Naisten Pankki,≤100
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,≤100
183967251674413,Myllärin,Myllärin,≤100
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,≤100
7692825311,Suomen World Vision,These ads ran without a disclaimer,≤100
172944932729929,Osuuskauppa KPO,These ads ran without a disclaimer,≤100
291117849202,Yle Areena,These ads ran without a disclaimer,≤100
259256970891807,Kaisa Vatanen,Kaisa Penny,≤100
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,≤100
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,≤100
302413363266999,K-Ruoka,These ads ran without a disclaimer,≤100
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,≤100
252243572053482,Tiina Kyllönen,Heikkinen Tiina Maria,≤100
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,≤100
448116415229902,Henrik Wickström,Wickström 2019,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
335430733218134,MSD Finland,These ads ran without a disclaimer,≤100
1235776649910885,Plastic Free Picks,Plastic Free Picks,≤100
227283607398150,FIM,FIM,≤100
944446288899948,Keski-Pohjanmaan Vihreät,Keski-Pohjanmaan Vihreät ry.,≤100
129286757147002,Tehy ry,These ads ran without a disclaimer,≤100
387812258475026,Jouni Kemppainen,Kemppainen Jouni Petteri,≤100
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,≤100
376203269442,Finlands Lucia,Folkhälsan,≤100
420279831336463,IKEA,IKEA,≤100
181095798908231,Fressi Olo,These ads ran without a disclaimer,≤100
164624737027350,Petri Sarvamaa,Petri Sarvamaa,≤100
266912807301110,Petra Schulze Steinen,Schulze-Steinen Petra Elina Marjatta,≤100
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,≤100
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,≤100
103360591612136,Jaakko Mäki-Petäjä,MAKI -PETAJA JAAKKO ILMARI,≤100
944446288899948,Keski-Pohjanmaan Vihreät,Jenna Alaspää,≤100
179616462125382,Oatly,These ads ran without a disclaimer,≤100
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,≤100
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,≤100
