Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,4127
119054448115588,WWF Suomi,WWF Suomi,3520
178362315106,European Parliament,European Parliament,3012
545309265626080,Kela - Fpa,Kela - Fpa,2432
201285237101,Kokoomus,Kokoomus,2364
61123966277,VR matkalla,VR matkalla,1878
585888148224935,Oatly,Oatly,1566
2206691386258439,Plusluotto,These ads ran without a disclaimer,1154
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1109
1083597725003936,Neste,Neste,900
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,867
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,809
181106108341,Perussuomalaiset,Perussuomalaiset,801
394311077246380,St1,St1,771
9227859351,Greenpeace Suomi,Greenpeace Suomi,769
271311152007,Plan International Suomi,Plan International Suomi,751
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,688
332170236842216,Vattenfall Suomi,Vattenfall Suomi,624
55312855747,Keskusta,Suomen Keskusta,568
83902438480,Ben & Jerry's,Ben & Jerry's,567
989337777778179,Metsä Group,Metsä Group,560
803596373025380,Satu Taavitsainen,Taavitsainen Satu Johanna,559
289966115236885,Freebo,Freebo Oy,548
493464655570,Valio,Valio,538
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,528
142013229195328,LUT University,LUT University,490
587353418318027,Parempi tulevaisuus,Plan International Suomi,484
222741024445243,Libero Suomi,Libero Suomi,484
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,461
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,413
123692197698005,Suomen UN Women,Suomen UN Women,392
2244326779220047,Kirsi Visunen PS,Kirsi Visunen,348
60390955171,Vasemmistoliitto,Vasemmistoliitto,343
103645656349867,Telia Finland,Telia Finland,330
169477316356,Solidaarisuus,Solidaarisuus,323
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,321
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,320
7692825311,Suomen World Vision,Suomen World Vision,313
867106493431709,Nollalinja,Nollalinja,301
438938299583730,Ilmatar,Ilmatar Windpower Oy,294
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,289
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,288
1959958620944505,Savon Aurinkoenergia Oy,These ads ran without a disclaimer,286
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,284
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,274
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,268
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,252
845009975610944,Storytel,These ads ran without a disclaimer,243
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,242
324990240912201,Yksi elämä,Yksi elämä,242
120537424633927,Henna Virkkunen,Henna Virkkunen,240
305608429284,EU Environment,EU Environment,236
177939666416553,Mauri Pekkarinen,Mauri Pekkarinen,230
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,229
307784380044908,Jarno Strengell.,Jarno Strengell,220
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,216
111290482282398,OP,These ads ran without a disclaimer,204
220493815347043,Jere Liikanen kunnallispoliitikko,Jere Liikanen,200
111290482282398,OP,OP,184
337851219532,Into,Into,180
420279831336463,IKEA,IKEA,178
164624737027350,Petri Sarvamaa,Petri Sarvamaa,174
129286757147002,Tehy ry,Tehy ry,174
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,173
195534363813763,Posti,Posti,171
202285233124880,S-Pankki,S-Pankki,168
141366725876424,European Greens,European Greens,167
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,166
119054448115588,WWF Suomi,These ads ran without a disclaimer,162
132654633591,Verkkouutiset,Verkkouutiset,158
123071607757570,Mikkelin Sosialidemokraatit,Taavitsainen Satu Johanna,153
102566909780881,Reilu kauppa,Reilu kauppa,153
103074918422746,Janne Korhonen Kuntavaaliehdokas,Janne Korhonen,153
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,151
100961478567473,Perussuomalainen Tanja Hartonen,Tanja Hartonen Ps,146
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,144
1413586768888451,Antti Häkkänen,These ads ran without a disclaimer,141
181095798908231,Fressi Olo,These ads ran without a disclaimer,140
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),140
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,135
240966039259839,Slush,These ads ran without a disclaimer,134
520081145163683,Väre,Väre Oy,132
289437981239343,Tulli,Tulli,126
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,123
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,122
232815610172259,Eero Heinäluoma,These ads ran without a disclaimer,121
101476337951070,Avoin Puolue,Avoin Puolue,117
54313274188,Naisten Pankki,Naisten Pankki,116
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,115
648135815208333,Kaakkois-Suomen Sosialidemokraatit,Kaakkois-Suomen Sosialidemokraatit ry,114
145654585490783,Jukka Kopra,Jukka Kopra,108
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,108
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,108
1087558554588056,Kaakkois-Suomen Vasemmistoliitto,Kaakkois-Suomen Vasemmistoliitto,107
342133956180814,Maisa Juntunen,These ads ran without a disclaimer,106
200739723082,University of Helsinki,University of Helsinki,106
575908612596562,Antton Rönnholm,Antton Rönnholm,105
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,104
410487002342640,Kokoomus Mikkelissä,Olli Marjalaakso,103
145266968860063,Sinun arjessasi mukana - Risto Mykkänen,Risto Mykkänen,≤100
104465801370661,Kati Annika Häkkinen - Yhteistyötaitoinen mikkeliläinen,Kati Häkkinen,≤100
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,≤100
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,≤100
302413363266999,K-Ruoka,These ads ran without a disclaimer,≤100
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,≤100
259256970891807,Kaisa Vatanen,Kaisa Penny,≤100
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,≤100
628970754230502,AKT liitto,These ads ran without a disclaimer,≤100
7692825311,Suomen World Vision,These ads ran without a disclaimer,≤100
129286757147002,Tehy ry,These ads ran without a disclaimer,≤100
183967251674413,Myllärin,Myllärin,≤100
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,≤100
130477237023134,Etelä-Savon Keskustanuoret,Iida Hämäläinen,≤100
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,≤100
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,≤100
227283607398150,FIM,FIM,≤100
127195574005414,Finnwatch,Finnwatch,≤100
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,≤100
617733068345315,Mikkel Näkkäläjärvi,Nakkalajarvi Mikkel Antte Iisakki,≤100
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,≤100
291117849202,Yle Areena,These ads ran without a disclaimer,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
103438375121286,Janne Vaarasuo,Janne Vaarasuo,≤100
342706932416036,Ruokaa omasta maasta,Ruokatieto Yhdistys,≤100
335430733218134,MSD Finland,These ads ran without a disclaimer,≤100
102627894904924,Sami Järvinen Ps,Sami Järvinen,≤100
387812258475026,Jouni Kemppainen,Kemppainen Jouni Petteri,≤100
124767900874820,Kaakkois-Suomen Vihreät,Kaakkois-Suomen vihreät,≤100
403731623297856,"Kaupunginvaltuutettu Heli Kauppinen, Mikkeli",Heli Kauppinen,≤100
105523299470698,DNA,These ads ran without a disclaimer,≤100
28469960111,Kokoomusnuoret,Kokoomusnuoret,≤100
611696415923639,Satu Jaatinen 216,These ads ran without a disclaimer,≤100
179616462125382,Oatly,These ads ran without a disclaimer,≤100
1235776649910885,Plastic Free Picks,Plastic Free Picks,≤100
1201709293325428,Jaana Ylitalo,Jaana Ylitalon eurovaalitukiryhmä,≤100
1083597725003936,Neste,These ads ran without a disclaimer,≤100
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,≤100
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,≤100
221292842061953,Love my country,These ads ran without a disclaimer,≤100
308849589971583,"Kimmo Ihalainen, Savo Sydämessä",Kimmo Ihalainen,≤100
290652291470953,Aimo Ollikainen PerusS Kuntavaaliehdokas,Aimo Ollikainen,≤100
1764140410506268,Kansallinen senioriliitto ry,Kansallinen senioriliitto ry,≤100
55312855747,Keskusta,Suomen Keskusta r.p.,≤100
439779722823440,Savonlinnan Kokoomus,Pekka Turunen,≤100
240966039259839,Slush,Slush,≤100
337865799564409,K-ryhmä,These ads ran without a disclaimer,≤100
510346432432044,Paula Aikio-Tallgren EU-vaaliehdokas,Pohjoisen asian osaajat ry,≤100
154256701288026,Petteri Orpo,Kokoomus,≤100
198979100169761,Teuvo Hakkarainen,Riekkovaara Niko Tapani,≤100
109878901139826,Miikka Kirjalainen,Miikka Kirjalainen,≤100
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,≤100
438938299583730,Ilmatar,These ads ran without a disclaimer,≤100
696226580391206,Teknologiateollisuus,Teknologiateollisuus ry,≤100
141238695910775,Annika Saarikko,Suomen Keskusta,≤100
252243572053482,Tiina Kyllönen,Heikkinen Tiina Maria,≤100
1527478777519070,Arto Luukkanen,Riekkovaara Niko Tapani,≤100
189269999292,Wärtsilä Corporation,Wärtsilä Corporation,≤100
967000373315460,Savo-Karjalan Vasemmisto,Savo-Karjalan Vasemmisto,≤100
860106373999721,Elina Lepomäki,Elina Lepomäki,≤100
307644883139,Keski-Suomen Keskusta,Keski-Suomen Keskusta,≤100
326994988016772,Climate Cycling,Climate Circle ry,≤100
2089076467990914,Huijausinfo,Kuluttajaliitto,≤100
105374391556959,Sari Rautiainen,Sari Rautiainen,≤100
162434360626494,WSOY,These ads ran without a disclaimer,≤100
433087293448371,Tiedekulma,Tiedekulma,≤100
281523996677,Suomen Yrittäjät,These ads ran without a disclaimer,≤100
545309265626080,Kela - Fpa,These ads ran without a disclaimer,≤100
237130593122439,Mirja Vehkaperä,Vehkaperä Mirja Tellervo,≤100
249263121771099,Ympäristöministeriö,Ympäristöministeriö,≤100
254403722807,BirdLife Suomi,BirdLife Suomi,≤100
424023570951528,Reima,Reima,≤100
180273268847212,Savo-Karjalan Kokoomus,Savo-Karjalan Kokoomus,≤100
1263233680436193,Raimo Jämsén Mikkelin Seudun Perussuomalaiset ry Kuntavaaliehdokas,Raimo Jämsén,≤100
