Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,2117
298060500819,Kainuun Kokoomus,Kainuun Kokoomus ry,1456
119054448115588,WWF Suomi,WWF Suomi,1181
545309265626080,Kela - Fpa,Kela - Fpa,1179
178362315106,European Parliament,European Parliament,1021
61123966277,VR matkalla,VR matkalla,961
585888148224935,Oatly,Oatly,826
201285237101,Kokoomus,Kokoomus,776
181106108341,Perussuomalaiset,Perussuomalaiset,654
312929863983,Kainuun Vasemmisto,Miikka Kortelainen,505
394311077246380,St1,St1,442
1685533135050389,Kajaanin Keskusta,Veli-Matti Karppinen,437
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,427
1083597725003936,Neste,Neste,418
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,414
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,388
132654633591,Verkkouutiset,Verkkouutiset,385
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,383
271311152007,Plan International Suomi,Plan International Suomi,381
2206691386258439,Plusluotto,These ads ran without a disclaimer,364
55312855747,Keskusta,Suomen Keskusta,359
9227859351,Greenpeace Suomi,Greenpeace Suomi,350
332170236842216,Vattenfall Suomi,Vattenfall Suomi,321
989337777778179,Metsä Group,Metsä Group,285
83902438480,Ben & Jerry's,Ben & Jerry's,282
493464655570,Valio,Valio,282
289966115236885,Freebo,Freebo Oy,261
142013229195328,LUT University,LUT University,248
222741024445243,Libero Suomi,Libero Suomi,247
236142043081964,Kajaanin Vasemmisto,Miikka Kortelainen,244
587353418318027,Parempi tulevaisuus,Plan International Suomi,238
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,235
60390955171,Vasemmistoliitto,Vasemmistoliitto,206
235347816583658,Miikka Kortelainen,Miikka Kortelainen,190
123692197698005,Suomen UN Women,Suomen UN Women,178
169477316356,Solidaarisuus,Solidaarisuus,176
103645656349867,Telia Finland,Telia Finland,170
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,165
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,164
438938299583730,Ilmatar,Ilmatar Windpower Oy,159
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,159
867106493431709,Nollalinja,Nollalinja,159
7692825311,Suomen World Vision,Suomen World Vision,156
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,153
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,151
720689581466417,Kainuun Vasemmistonuoret,Miikka Kortelainen,141
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,141
351679088241560,Janne Heikkinen,Janne Heikkinen,139
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,137
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,136
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,135
845009975610944,Storytel,These ads ran without a disclaimer,128
146927742017103,Timo Korhonen,These ads ran without a disclaimer,125
324990240912201,Yksi elämä,Yksi elämä,119
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,119
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,117
111290482282398,OP,These ads ran without a disclaimer,105
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,104
