Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,5153
119054448115588,WWF Suomi,WWF Suomi,3943
178362315106,European Parliament,European Parliament,3860
201285237101,Kokoomus,Kokoomus,3034
545309265626080,Kela - Fpa,Kela - Fpa,2927
61123966277,VR matkalla,VR matkalla,2716
552430984770368,Kymen Seudun Osuuskauppa,S-ryhmä,2500
585888148224935,Oatly,Oatly,1987
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1635
2206691386258439,Plusluotto,These ads ran without a disclaimer,1395
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,1212
9227859351,Greenpeace Suomi,Greenpeace Suomi,1115
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,1097
1083597725003936,Neste,Neste,1085
271311152007,Plan International Suomi,Plan International Suomi,949
394311077246380,St1,St1,928
83902438480,Ben & Jerry's,Ben & Jerry's,737
332170236842216,Vattenfall Suomi,Vattenfall Suomi,721
989337777778179,Metsä Group,Metsä Group,717
493464655570,Valio,Valio,703
587353418318027,Parempi tulevaisuus,Plan International Suomi,690
142013229195328,LUT University,LUT University,662
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,661
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,658
222741024445243,Libero Suomi,Libero Suomi,631
770881059690053,Juha Huhtala,Huhtala Juha Ville Tapani,615
60390955171,Vasemmistoliitto,Vasemmistoliitto,578
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,551
181106108341,Perussuomalaiset,Perussuomalaiset,513
123692197698005,Suomen UN Women,Suomen UN Women,509
1631165890489545,Gasum,Gasum,485
289966115236885,Freebo,Freebo Oy,479
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,472
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,471
55312855747,Keskusta,Suomen Keskusta,466
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,435
169477316356,Solidaarisuus,Solidaarisuus,433
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,428
103645656349867,Telia Finland,Telia Finland,427
1796390143948824,Ville Kaunisto,Ville Kaunisto,424
7692825311,Suomen World Vision,Suomen World Vision,390
867106493431709,Nollalinja,Nollalinja,374
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,374
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,355
438938299583730,Ilmatar,Ilmatar Windpower Oy,347
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,339
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,337
845009975610944,Storytel,These ads ran without a disclaimer,324
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,322
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,320
324990240912201,Yksi elämä,Yksi elämä,306
575908612596562,Antton Rönnholm,Antton Rönnholm,306
195534363813763,Posti,Posti,305
283334128449292,Klami Arttu-Petteri,Arttu-Petteri Klami,305
305608429284,EU Environment,EU Environment,303
132654633591,Verkkouutiset,Verkkouutiset,292
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,291
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,290
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,285
120537424633927,Henna Virkkunen,Henna Virkkunen,275
269427337235,Kotkan seudun Vihreät,Raimo Oksala,259
166764656737212,Christoffer Hällfors,Christoffer Hällfors,259
100699068558436,Eero Kivistö,Eero Kivistö,257
111290482282398,OP,These ads ran without a disclaimer,254
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,247
107085171052672,KD Kouvola,KD Kouvola,244
141366725876424,European Greens,European Greens,235
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,235
129286757147002,Tehy ry,Tehy ry,234
289437981239343,Tulli,Tulli,234
111290482282398,OP,OP,233
119054448115588,WWF Suomi,These ads ran without a disclaimer,219
202285233124880,S-Pankki,S-Pankki,219
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,217
337851219532,Into,Into,210
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,205
648135815208333,Kaakkois-Suomen Sosialidemokraatit,Kaakkois-Suomen Sosialidemokraatit ry,203
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,192
102566909780881,Reilu kauppa,Reilu kauppa,192
347711768596248,Kotkan Vasemmistoliitto ry.,Mielonen Joona Pekka,189
1413586768888451,Antti Häkkänen,These ads ran without a disclaimer,175
240966039259839,Slush,These ads ran without a disclaimer,173
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),173
106414181397466,Petri Nakari - Kotka Kuntavaalit 2021,Petri Nakari,172
101228198537554,Markus Vertanen,Markus J. Vertanen,164
2089076467990914,Huijausinfo,Kuluttajaliitto,162
200739723082,University of Helsinki,University of Helsinki,152
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,151
101476337951070,Avoin Puolue,Avoin Puolue,147
149856248393583,Hanna Holopainen,These ads ran without a disclaimer,142
145654585490783,Jukka Kopra,Jukka Kopra,141
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,139
628970754230502,AKT liitto,These ads ran without a disclaimer,138
118218661541687,Kouvolan Nuorisovaltuusto,These ads ran without a disclaimer,137
7692825311,Suomen World Vision,These ads ran without a disclaimer,133
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,130
54313274188,Naisten Pankki,Naisten Pankki,129
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,128
520081145163683,Väre,Väre Oy,127
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,122
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,122
768115453209247,Kotkan Demarit,These ads ran without a disclaimer,120
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,117
102458468235501,Mika Nikkinen - Perussuomalaiset,Mika Nikkinen,113
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,113
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,108
302413363266999,K-Ruoka,These ads ran without a disclaimer,106
183967251674413,Myllärin,Myllärin,106
803596373025380,Satu Taavitsainen,Taavitsainen Satu Johanna,105
104303951624103,Jani Tilli,Jani Tilli,103
259256970891807,Kaisa Vatanen,Kaisa Penny,102
343988367030507,Jouko Rauhala kuntavaaliehdokas,Tuomo Heino,101
1087558554588056,Kaakkois-Suomen Vasemmistoliitto,Kaakkois-Suomen Vasemmistoliitto,≤100
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,≤100
129286757147002,Tehy ry,These ads ran without a disclaimer,≤100
768115453209247,Kotkan Demarit,Pirinen Riku Jarmo Tapani,≤100
