Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,15982
178362315106,European Parliament,European Parliament,10441
119054448115588,WWF Suomi,WWF Suomi,8383
545309265626080,Kela - Fpa,Kela - Fpa,7459
61123966277,VR matkalla,VR matkalla,6166
585888148224935,Oatly,Oatly,5221
201285237101,Kokoomus,Kokoomus,4508
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,3264
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,2966
1083597725003936,Neste,Neste,2934
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,2832
271311152007,Plan International Suomi,Plan International Suomi,2714
9227859351,Greenpeace Suomi,Greenpeace Suomi,2524
2206691386258439,Plusluotto,These ads ran without a disclaimer,2450
332170236842216,Vattenfall Suomi,Vattenfall Suomi,2409
394311077246380,St1,St1,2224
83902438480,Ben & Jerry's,Ben & Jerry's,2130
493464655570,Valio,Valio,2120
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,2114
587353418318027,Parempi tulevaisuus,Plan International Suomi,2097
989337777778179,Metsä Group,Metsä Group,1990
60390955171,Vasemmistoliitto,Vasemmistoliitto,1976
55312855747,Keskusta,Suomen Keskusta,1890
142013229195328,LUT University,LUT University,1846
132654633591,Verkkouutiset,Verkkouutiset,1775
222741024445243,Libero Suomi,Libero Suomi,1735
327193342274,Pohjois-Pohjanmaan Vasemmisto,Kohonen Olli Ilmari,1579
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,1432
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,1424
123692197698005,Suomen UN Women,Suomen UN Women,1383
169477316356,Solidaarisuus,Solidaarisuus,1275
845009975610944,Storytel,These ads ran without a disclaimer,1260
351679088241560,Janne Heikkinen,Janne Heikkinen,1255
289966115236885,Freebo,Freebo Oy,1135
438938299583730,Ilmatar,Ilmatar Windpower Oy,1122
103645656349867,Telia Finland,Telia Finland,1117
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,1094
7692825311,Suomen World Vision,Suomen World Vision,1092
181106108341,Perussuomalaiset,Perussuomalaiset,1084
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,1013
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,1012
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,955
867106493431709,Nollalinja,Nollalinja,861
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,826
237130593122439,Mirja Vehkaperä,Vehkaperä Mirja Tellervo,758
305608429284,EU Environment,EU Environment,746
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,743
324990240912201,Yksi elämä,Yksi elämä,735
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,735
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,727
2139907472900957,Tuomas Tikkanen,Tikkanen Juho Tuomas,709
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,701
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,669
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,655
1631165890489545,Gasum,Gasum,648
141366725876424,European Greens,European Greens,635
240966039259839,Slush,These ads ran without a disclaimer,633
111290482282398,OP,OP,626
120537424633927,Henna Virkkunen,Henna Virkkunen,589
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,565
114898939959797,Paavo Koho,Paavo Koho,557
195534363813763,Posti,Posti,545
129286757147002,Tehy ry,Tehy ry,544
102566909780881,Reilu kauppa,Reilu kauppa,530
119054448115588,WWF Suomi,These ads ran without a disclaimer,528
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,527
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,508
337851219532,Into,Into,506
241040722997432,Niilo Heinonen,Niilo Heinonen,501
142038629513427,Oulun Demarit,Oulun Sos. Dem. Työväenyhdistys ry,494
1959958620944505,Savon Aurinkoenergia Oy,These ads ran without a disclaimer,488
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,484
289437981239343,Tulli,Tulli,468
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,467
111290482282398,OP,These ads ran without a disclaimer,466
1558046884420724,Caruna,Caruna Oy,441
145401631365,SSAB,These ads ran without a disclaimer,425
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),419
520081145163683,Väre,Väre Oy,416
1638801409732468,Prisma Limingantulli,These ads ran without a disclaimer,414
106079954128313,Minska,Minska,409
200739723082,University of Helsinki,University of Helsinki,397
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,397
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,387
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,387
101476337951070,Avoin Puolue,Avoin Puolue,377
429466253758989,Jenni Pitko,Jenni Pitko,376
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,369
202285233124880,S-Pankki,S-Pankki,361
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,359
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,356
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,347
2261117880772740,Miikkael Azaize,Kaarelan Keskustaseura ry,345
7692825311,Suomen World Vision,These ads ran without a disclaimer,342
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,326
161736797196175,Oulun Keskusta,Keskustan Oulun kunnallisjärjestö ry,325
1668637290051845,Wetteri Oy,These ads ran without a disclaimer,321
273183882790711,"Olli Kohonen, politiikkaa Pohjois-Pohjanmaalta",Kohonen Olli Ilmari,320
148058601903484,Elinkeinoelämän valtuuskunta EVA,Elinkeinoelämän valtuuskunta EVA,318
54313274188,Naisten Pankki,Naisten Pankki,317
617733068345315,Mikkel Näkkäläjärvi,Nakkalajarvi Mikkel Antte Iisakki,315
149631468478018,Vihreät Oulussa,Vihreät Oulussa,300
144426382263604,Kokoomusopiskelijat,Kokoomuksen opiskelijaliitto Tuhatkunta,297
291117849202,Yle Areena,These ads ran without a disclaimer,295
183967251674413,Myllärin,Myllärin,274
1235776649910885,Plastic Free Picks,Plastic Free Picks,273
591986911282315,Pekka Shemeikka,Nokela Matti Juhani Philip,272
289966115236885,Freebo,These ads ran without a disclaimer,268
628970754230502,AKT liitto,These ads ran without a disclaimer,267
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,265
1659946090976608,Tapio Juvani - Kuntavaaliehdokas - Kempele,Tapio Juvani,260
259256970891807,Kaisa Vatanen,Kaisa Penny,248
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,245
127195574005414,Finnwatch,Finnwatch,243
1219992591396649,Henna Määttä,Henna Määttä,235
129286757147002,Tehy ry,These ads ran without a disclaimer,234
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,232
240966039259839,Slush,Slush,230
310886696101,Pohjois-Pohjanmaan Kokoomus,Pohjois-Pohjanmaan Kokoomus,227
116399773126,Suomen Punainen Risti,These ads ran without a disclaimer,226
149500255075681,Oulun vaalipiirin Vihreät,Oulun vaalipiirin Vihreät,225
510346432432044,Paula Aikio-Tallgren EU-vaaliehdokas,Pohjoisen asian osaajat ry,225
302413363266999,K-Ruoka,These ads ran without a disclaimer,223
100202128722422,Markus Pöhö kuntavaaliehdokas,Markus Pöhö,223
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,219
190042298268350,Elsi Katainen,Katainen Elsi Kaarina,216
420279831336463,IKEA,IKEA,210
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,209
101048338638472,Mari Kärkkäinen Kuntavaaliehdokas 2021,Mari Kärkkäinen,206
105523299470698,DNA,These ads ran without a disclaimer,204
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,204
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,201
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,201
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,194
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,192
227283607398150,FIM,FIM,187
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,186
163459027024544,Pohjois-Pohjanmaan Keskustanuoret,Pohjois-Pohjanmaan Keskustanuoret,185
179616462125382,Oatly,These ads ran without a disclaimer,184
177939666416553,Mauri Pekkarinen,Mauri Pekkarinen,183
424023570951528,Reima,Reima,182
438938299583730,Ilmatar,These ads ran without a disclaimer,181
561053474037523,Keskusta Oulainen,Marjut Lehtonen,176
55312855747,Keskusta,Suomen Keskusta r.p.,174
345922778446,Keskustaopiskelijat,Keskustan Opiskelijaliitto ry,172
866801600113450,Marjo Tapaninen,Marjo Tapaninen,170
1083597725003936,Neste,These ads ran without a disclaimer,168
100128045400595,Pasi karppinen kuntavaaliehdokas 2021,Pasi Karppinen,168
360860753953531,Fortum Suomi,These ads ran without a disclaimer,166
312837175579728,Riku Eskelinen,Riku Eskelisen eurovaalien tukiyhdistys Herttoniemen Keskustaseura ry,164
28469960111,Kokoomusnuoret,Kokoomusnuoret,164
387812258475026,Jouni Kemppainen,Kemppainen Jouni Petteri,162
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,161
335430733218134,MSD Finland,These ads ran without a disclaimer,159
433087293448371,Tiedekulma,Tiedekulma,159
611696415923639,Satu Jaatinen 216,These ads ran without a disclaimer,156
471835972836669,Oulun Vasemmistoliitto,Kohonen Olli Ilmari,155
1499101630325402,Hanna-Leena Mattila,Hanna-Leena Mattila,154
178003665577087,VTT Technical Research Centre of Finland,VTT Technical Research Centre of Finland,152
128943110510746,Reaktor,Reaktor,152
163459027024544,Pohjois-Pohjanmaan Keskustanuoret,Eevasisko Mehtätalo,150
1569715913292949,Susanna Kisner,Susanna Kisnerin tukiryhmä,149
141238695910775,Annika Saarikko,Suomen Keskusta,148
303924349757,Paulig,These ads ran without a disclaimer,147
545309265626080,Kela - Fpa,These ads ran without a disclaimer,147
337865799564409,K-ryhmä,These ads ran without a disclaimer,146
198979100169761,Teuvo Hakkarainen,Riekkovaara Niko Tapani,144
1932584866825115,Kalle Pyky,Kalle Pyky,143
1856641681287174,Mikko Korkeakoski,These ads ran without a disclaimer,142
575908612596562,Antton Rönnholm,Antton Rönnholm,140
249263121771099,Ympäristöministeriö,Ympäristöministeriö,140
296668661689,Eurooppanuoret (JEF-Finland),Eurooppanuoret ry,135
116187208534205,Haapajärven Keskusta,Ville Laitila,135
154256701288026,Petteri Orpo,Kokoomus,134
252243572053482,Tiina Kyllönen,Heikkinen Tiina Maria,131
2211654885785838,Olli Kotro PS,Kauko Niko Aleksanteri,130
342706932416036,Ruokaa omasta maasta,Ruokatieto Yhdistys,130
696226580391206,Teknologiateollisuus,Teknologiateollisuus ry,130
151883555314124,Matti Nivala,Nivala Matti Juho Kalevi,129
167131836664321,Eettisen kaupan puolesta,Eettisen kaupan puolesta,128
571276759551377,HBO Nordic,These ads ran without a disclaimer,126
145401631365,SSAB,SSAB,126
1527478777519070,Arto Luukkanen,Riekkovaara Niko Tapani,125
488913327839998,Dove,Dove,122
114687075230726,Hanna Sarkkinen,Vasemmistoliiton eduskuntaryhmä,121
357502994332188,Aura Salla,Salla Aura Maria,118
586576894800327,TEKin Nuoret,TEKin Nuoret,117
60390955171,Vasemmistoliitto,These ads ran without a disclaimer,116
151086361568628,Duunitori,These ads ran without a disclaimer,116
948715928850182,Teuvo Hatva - eurovaaliehdokas,Maury Aino Maija,116
162434360626494,WSOY,These ads ran without a disclaimer,115
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,115
134934386349,Amnesty International - Suomen osasto,These ads ran without a disclaimer,114
377011865574,Väestöliitto,Väestöliitto,114
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,114
189269999292,Wärtsilä Corporation,Wärtsilä Corporation,113
107898832590939,European Commission,European Commission,112
106745452698752,Radio Dei,Radio Dei,112
860106373999721,Elina Lepomäki,Elina Lepomäki,111
60390955171,Vasemmistoliitto,Vasemmistoliiton eduskuntaryhmä,110
105868880982170,Ilmastonmuutosvoima,Kaisa Matikainen,110
28194048353,Madventures,Gimmeyawallet,110
244224963187036,Suomiduunari,Riekkovaara Niko Tapani,109
1357638954294467,Fatim Diarra,Fatim Diarra,109
113398820097,Pelastakaa Lapset,These ads ran without a disclaimer,108
607768462682601,Vegaanihaaste,Vegaanihaaste,108
315913915173701,Joni Meriläinen,Joni Meriläinen,107
1149934115115450,Marjut Lehtonen,Marjut Lehtonen,106
126626144024824,Kuntaliitto - Kommunförbundet,Kuntaliitto,103
153186884700042,Ville Niinistö,Ville Niinistö,101
326994988016772,Climate Cycling,Climate Circle ry,101
111005869699,Kirkon Ulkomaanapu,These ads ran without a disclaimer,≤100
447795955285515,Long Play,Long Play,≤100
582690625407503,nopeet.fi,These ads ran without a disclaimer,≤100
203199670136654,Kempeleen Kokoomuslaiset,Janne Malkamäki,≤100
9227859351,Greenpeace Suomi,These ads ran without a disclaimer,≤100
151697688839398,Niko Aleksanteri Kauko,Kauko Niko Aleksanteri,≤100
220884089007,Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,≤100
1416365978392995,Tuija Patana,Tuija Patana,≤100
309409542490889,Pia-Riitta Korvenheimo - Välinpitämättömyys on kirosana.,Pia-Riitta Korvenheimo,≤100
2130226653737235,Eurovaaliehdokas Kari Kallonen,Kallonen Kari Markku,≤100
300059733998436,Karri Ollila Europarlamenttiin 2019,Karri Ollila,≤100
249996288346690,Elite Alfred Berg,These ads ran without a disclaimer,≤100
2725719690900613,Pekka Hetta Politiikka PS,Pekka Hetta,≤100
181095798908231,Fressi Olo,These ads ran without a disclaimer,≤100
132893523900120,Poliitikko Antti Tihinen,Antti Tihinen,≤100
445988248775782,Simo Grönroos,Gronroos Simo Juhani,≤100
2089076467990914,Huijausinfo,Kuluttajaliitto,≤100
115751458577078,Anna Sirkiä,Anna Sirkiä,≤100
201647537374497,Mikko Ohela,Mikko Ohela,≤100
334478033363842,Loiste Energia,Loiste,≤100
232107427727470,Jari Nahkanen - poliitikko,These ads ran without a disclaimer,≤100
109030124180046,Koura.fi,These ads ran without a disclaimer,≤100
1764140410506268,Kansallinen senioriliitto ry,Kansallinen senioriliitto ry,≤100
1953359384974745,Mielenterveyspooli,Mielenterveyspooli,≤100
214349625286678,Oulun seudun Vihreät Naiset ry,Sari Törmänen,≤100
298868676863486,Koomikko Iikka Kivi,These ads ran without a disclaimer,≤100
7180412111,HS – Helsingin Sanomat,These ads ran without a disclaimer,≤100
1499101630325402,Hanna-Leena Mattila,These ads ran without a disclaimer,≤100
224910960981532,Kuntalehti,Kuntalehti,≤100
2197170560364015,Kirsi-Kaisa Sinisalo,These ads ran without a disclaimer,≤100
102870313576201,Mika Pietilä,Mika Pietilä,≤100
261929353938587,Elinkeinoelämän keskusliitto EK,Elinkeinoelämän keskusliitto,≤100
212257028078,Toisenlainen Lahja,Toisenlainen Lahja,≤100
1106285056054221,Vaasan Sähkö - Vasa Elektriska,Vaasan Sähkö - Vasa Elektriska,≤100
533381293400918,Thermia Lämpöpumput,These ads ran without a disclaimer,≤100
1349696345097160,Popikki,Popikki,≤100
193215224037989,Mari-Leena Talvitie,These ads ran without a disclaimer,≤100
110959555683831,Akavan Erityisalat,Akavan Erityisalat,≤100
164624737027350,Petri Sarvamaa,Petri Sarvamaa,≤100
126626144024824,Kuntaliitto - Kommunförbundet,Selina Sassila,≤100
76709532890,Tradenomit,Tradenomit,≤100
254403722807,BirdLife Suomi,BirdLife Suomi,≤100
249263121771099,Ympäristöministeriö,Valve Branding Oy,≤100
118031422919870,Ilmastokummit,Ilmastokummit Oy,≤100
18321101785,Paavo Arhinmäki,Vasemmistoliiton eduskuntaryhmä,≤100
189362187761641,Allianssi,Allianssi,≤100
149631468478018,Vihreät Oulussa,Aino-Kaisa Manninen,≤100
101985618207039,Elias Tornberg,Elias Tornberg,≤100
534626943602868,Töihin Seinäjoelle,These ads ran without a disclaimer,≤100
281523996677,Suomen Yrittäjät,These ads ran without a disclaimer,≤100
430195364409025,Matilda af Hällström,af Hällström Matilda Linnea Alice,≤100
388697144591936,Oulun piirin sosialidemokraatit,Oulun piirin sosialidemokraatit,≤100
380462231997295,K-Supermarket,These ads ran without a disclaimer,≤100
194897307433,Oikeutta eläimille,Oikeutta eläimille,≤100
103143554664613,Pekka Syrjäpalo,Pekka Syrjäpalo,≤100
102241098177169,Eetu Saarenpää,Eetu Saarenpää,≤100
167964469897115,Suomen Ekonomit - Finlands Ekonomer,Suomen Ekonomit - Finlands Ekonomer,≤100
2313503042310251,Jukka Linna,Jukka Linnan tukiyhdistys,≤100
162050703823354,Turun yliopisto,Turun yliopisto,≤100
121770557880568,Fennovoima,Virta Helsinki,≤100
221292842061953,Love my country,These ads ran without a disclaimer,≤100
163869833651514,Rauhanliitto - Fredsförbundet,Rauhanliitto,≤100
124896344209125,Kustannusosakeyhtiö Otava,These ads ran without a disclaimer,≤100
273737158343,Seta,Seta,≤100
271311152007,Plan International Suomi,These ads ran without a disclaimer,≤100
109277851221304,Jaakko Kuusisto - kuntavaaliehdokas 2021,Jaakko Kuusisto,≤100
575908612596562,Antton Rönnholm,Rekilä Piia Annikki,≤100
100504890036389,Suomen kirjastoseura,Suomen kirjastoseura,≤100
