Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,6937
178362315106,European Parliament,European Parliament,5826
126812894035597,SLC,SLC r.f.,4557
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,3747
275638955671,Folkhälsan,Folkhälsan,3250
61123966277,VR matkalla,VR matkalla,3028
119054448115588,WWF Suomi,WWF Suomi,2979
1672035896221006,Fpa - Kela,Fpa - Kela,2908
585888148224935,Oatly,Oatly,2743
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,2501
545309265626080,Kela - Fpa,Kela - Fpa,2500
201285237101,Kokoomus,Kokoomus,2310
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,1717
1083597725003936,Neste,Neste,1509
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,1425
271311152007,Plan International Suomi,Plan International Suomi,1228
394311077246380,St1,St1,1197
83902438480,Ben & Jerry's,Ben & Jerry's,1038
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,1030
989337777778179,Metsä Group,Metsä Group,1013
493464655570,Valio,Valio,985
2206691386258439,Plusluotto,These ads ran without a disclaimer,950
1449434138617787,Ida Schauman,Schauman Ida Emilia Axelsdotter,913
332170236842216,Vattenfall Suomi,Vattenfall Suomi,890
9227859351,Greenpeace Suomi,Greenpeace Suomi,864
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,835
222741024445243,Libero Suomi,Libero Suomi,825
142013229195328,LUT University,LUT University,773
587353418318027,Parempi tulevaisuus,Plan International Suomi,763
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,750
123692197698005,Suomen UN Women,Suomen UN Women,691
255097357943710,Tommi Mäki,Tommi Mäki,686
376203269442,Finlands Lucia,Folkhälsan,679
360575481205047,Camilla Gunell,Socialdemokraterna på Åland,656
103645656349867,Telia Finland,Telia Finland,615
181106108341,Perussuomalaiset,Perussuomalaiset,613
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,609
356301551123582,SFP i Österbotten,Svenska folkpartiet i Finland - RKP,601
289966115236885,Freebo,Freebo Oy,597
438938299583730,Ilmatar,Ilmatar Windpower Oy,578
7692825311,Suomen World Vision,Suomen World Vision,574
867106493431709,Nollalinja,Nollalinja,541
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,494
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,484
169477316356,Solidaarisuus,Solidaarisuus,480
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,474
240966039259839,Slush,These ads ran without a disclaimer,469
144426382263604,Kokoomusopiskelijat,Kokoomuksen opiskelijaliitto Tuhatkunta,427
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,423
345895801426,Finska Missionssällskapet,Finska Missionssällskapet,422
176678846392107,Tankesmedjan Agenda - Ajatushautomo Agenda,Tankesmedjan Agenda Ajatushautomo,420
2110443792388818,Kaksin - Tvåsamhet,Kaksin - Tvåsamhet,413
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,404
55312855747,Keskusta,Suomen Keskusta,403
60390955171,Vasemmistoliitto,Vasemmistoliitto,403
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,394
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,392
324990240912201,Yksi elämä,Yksi elämä,377
111290482282398,OP,OP,364
1106285056054221,Vaasan Sähkö - Vasa Elektriska,Vaasan Sähkö - Vasa Elektriska,352
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,352
120537424633927,Henna Virkkunen,Henna Virkkunen,352
177939666416553,Mauri Pekkarinen,Mauri Pekkarinen,350
121513551305779,FDUV,FDUV,339
208619589270223,Nextory,These ads ran without a disclaimer,336
355293015559347,Perussuomalaiset Etelä-Pohjanmaan piiri ry,Lauri Karppi,334
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,325
305608429284,EU Environment,EU Environment,324
221819714861099,Ole's,Ole's Fast Food,322
845009975610944,Storytel,These ads ran without a disclaimer,316
108802189156584,Kyrkans Utlandshjälp,Kirkon Ulkomaanapu,312
530396980791609,Ett framgångsrikt Österbotten r.f,These ads ran without a disclaimer,306
141366725876424,European Greens,European Greens,305
766288403426366,De vackraste julsångerna,Suomen Lähetysseura,295
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,283
104405313050307,Martin Norrgård,Martin Norrgårds stödförening,279
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,272
129286757147002,Tehy ry,Tehy ry,266
777815458972138,Joakim Strand,Matias Toukonen,265
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),264
102566909780881,Reilu kauppa,Reilu kauppa,263
575908612596562,Antton Rönnholm,Antton Rönnholm,256
