Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,21616
119054448115588,WWF Suomi,WWF Suomi,16745
178362315106,European Parliament,European Parliament,12776
545309265626080,Kela - Fpa,Kela - Fpa,9569
61123966277,VR matkalla,VR matkalla,9327
102630916494406,Pirkanmaan Osuuskauppa,S-ryhmä,8642
201285237101,Kokoomus,Kokoomus,6703
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,6107
585888148224935,Oatly,Oatly,6095
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,5795
9227859351,Greenpeace Suomi,Greenpeace Suomi,5381
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,4687
271311152007,Plan International Suomi,Plan International Suomi,4274
587353418318027,Parempi tulevaisuus,Plan International Suomi,4173
1083597725003936,Neste,Neste,3523
2206691386258439,Plusluotto,These ads ran without a disclaimer,3501
332170236842216,Vattenfall Suomi,Vattenfall Suomi,2996
83902438480,Ben & Jerry's,Ben & Jerry's,2938
60390955171,Vasemmistoliitto,Vasemmistoliitto,2790
493464655570,Valio,Valio,2710
989337777778179,Metsä Group,Metsä Group,2661
394311077246380,St1,St1,2401
222741024445243,Libero Suomi,Libero Suomi,2397
7692825311,Suomen World Vision,Suomen World Vision,2279
142013229195328,LUT University,LUT University,2207
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,2138
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,2138
169477316356,Solidaarisuus,Solidaarisuus,2076
123692197698005,Suomen UN Women,Suomen UN Women,2007
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,1719
845009975610944,Storytel,These ads ran without a disclaimer,1681
289966115236885,Freebo,Freebo Oy,1531
438938299583730,Ilmatar,Ilmatar Windpower Oy,1468
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,1448
181106108341,Perussuomalaiset,Perussuomalaiset,1419
