Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,9023
178362315106,European Parliament,European Parliament,5799
119054448115588,WWF Suomi,WWF Suomi,5636
545309265626080,Kela - Fpa,Kela - Fpa,4456
61123966277,VR matkalla,VR matkalla,3904
132654633591,Verkkouutiset,Verkkouutiset,3806
585888148224935,Oatly,Oatly,3133
201285237101,Kokoomus,Kokoomus,2540
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,2047
2206691386258439,Plusluotto,These ads ran without a disclaimer,1787
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,1779
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,1724
1083597725003936,Neste,Neste,1597
271311152007,Plan International Suomi,Plan International Suomi,1576
9227859351,Greenpeace Suomi,Greenpeace Suomi,1541
541646375868442,Kuopion Keskusta,Keskustan Kuopion kunnallisjärjestö ry,1351
394311077246380,St1,St1,1306
380793272085420,SDP Kuopio,SDP Kuopio,1300
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,1266
83902438480,Ben & Jerry's,Ben & Jerry's,1173
989337777778179,Metsä Group,Metsä Group,1118
493464655570,Valio,Valio,1116
332170236842216,Vattenfall Suomi,Vattenfall Suomi,1090
587353418318027,Parempi tulevaisuus,Plan International Suomi,1061
142013229195328,LUT University,LUT University,1050
55312855747,Keskusta,Suomen Keskusta,976
222741024445243,Libero Suomi,Libero Suomi,951
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,848
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,838
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,771
289966115236885,Freebo,Freebo Oy,768
123692197698005,Suomen UN Women,Suomen UN Women,743
180273268847212,Savo-Karjalan Kokoomus,Savo-Karjalan Kokoomus,715
169477316356,Solidaarisuus,Solidaarisuus,714
60390955171,Vasemmistoliitto,Vasemmistoliitto,669
181106108341,Perussuomalaiset,Perussuomalaiset,658
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,605
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,598
103645656349867,Telia Finland,Telia Finland,595
7692825311,Suomen World Vision,Suomen World Vision,583
520081145163683,Väre,Väre Oy,553
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,551
845009975610944,Storytel,These ads ran without a disclaimer,549
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,534
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,527
438938299583730,Ilmatar,Ilmatar Windpower Oy,517
867106493431709,Nollalinja,Nollalinja,503
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,473
1572653312978362,Kuopion Kristillisdemokraatit - KD Kuopio,Rauno Taskinen,464
275406849257636,Savo-Karjalan Sosialidemokraatit,Timonen Tuomas Esa Tapani,461
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,460
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,445
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,438
305608429284,EU Environment,EU Environment,432
324990240912201,Yksi elämä,Yksi elämä,424
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,420
436996460374355,"Jouni Holopainen - Vastarannan samanlainen, Kokoomus, Kuopio",Jouni Holopainen,411
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,407
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,403
1959958620944505,Savon Aurinkoenergia Oy,These ads ran without a disclaimer,397
120537424633927,Henna Virkkunen,Henna Virkkunen,389
967000373315460,Savo-Karjalan Vasemmisto,Savo-Karjalan Vasemmisto,373
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,360
111290482282398,OP,OP,355
1089425421229951,Tytti Luoma,Tytti Luoma,352
164624737027350,Petri Sarvamaa,Petri Sarvamaa,350
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,345
119054448115588,WWF Suomi,These ads ran without a disclaimer,343
275406849257636,Savo-Karjalan Sosialidemokraatit,Savo-Karjalan Sosialidemokraatit,326
111290482282398,OP,These ads ran without a disclaimer,326
141366725876424,European Greens,European Greens,325
286863584660205,Kuopion Vihreät,Kuopion Vihreät r.y.,321
102566909780881,Reilu kauppa,Reilu kauppa,313
240966039259839,Slush,These ads ran without a disclaimer,310
1749412465314583,Osuuskunta KPY,These ads ran without a disclaimer,305
195534363813763,Posti,Posti,303
129286757147002,Tehy ry,Tehy ry,301
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,296
227090094086792,Aleksi Eskelinen,Aleksi Eskelinen,296
1631165890489545,Gasum,Gasum,295
202285233124880,S-Pankki,S-Pankki,291
286863584660205,Kuopion Vihreät,Kuopion Vihreät ry,289
337851219532,Into,Into,287
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,268
289437981239343,Tulli,Tulli,258
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,255
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),252
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,248
101476337951070,Avoin Puolue,Avoin Puolue,240
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,238
100398111889160,Jukka Tuppurainen SDP,Jukka Tuppurainen,237
216117605458995,Saara Hanhela - vaikuttaja ja osallistaja,Saara Hanhela,235
200739723082,University of Helsinki,University of Helsinki,234
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,217
181095798908231,Fressi Olo,These ads ran without a disclaimer,212
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,205
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,201
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,200
54313274188,Naisten Pankki,Naisten Pankki,197
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,192
7692825311,Suomen World Vision,These ads ran without a disclaimer,189
420279831336463,IKEA,IKEA,184
102843065135214,Tuukka Kotilainen Kuntavaalit 2021,Tuukka Kotilainen,183
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,182
160515170666877,Savo-Karjalan vihreät,Savo-Karjalan Vihreät,171
517311964948182,J. Rinta-Jouppi Oy,These ads ran without a disclaimer,169
221546168309213,Petri Nieminen - Ympäristön ja ihmisen asialla,Petri Nieminen,168
129286757147002,Tehy ry,These ads ran without a disclaimer,165
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,164
183967251674413,Myllärin,Myllärin,163
291117849202,Yle Areena,These ads ran without a disclaimer,159
193483830745465,Kuopion Kokoomus,Kokoomuksen Kuopion kunnallisjärjestö ry,158
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,152
100106785307908,Kari Parviainen SDP,Kari Parviainen,152
302413363266999,K-Ruoka,These ads ran without a disclaimer,143
628970754230502,AKT liitto,These ads ran without a disclaimer,143
1235776649910885,Plastic Free Picks,Plastic Free Picks,142
259256970891807,Kaisa Vatanen,Kaisa Penny,140
345922778446,Keskustaopiskelijat,Keskustan Opiskelijaliitto ry,139
146594745401444,Iisalmen Sanomat,These ads ran without a disclaimer,137
144426382263604,Kokoomusopiskelijat,Kokoomuksen opiskelijaliitto Tuhatkunta,137
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,136
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,131
154256701288026,Petteri Orpo,Kokoomus,130
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,128
617733068345315,Mikkel Näkkäläjärvi,Nakkalajarvi Mikkel Antte Iisakki,127
127195574005414,Finnwatch,Finnwatch,127
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,122
227283607398150,FIM,FIM,121
190042298268350,Elsi Katainen,Katainen Elsi Kaarina,121
105309591223613,Pielaveden perussuomalaiset,Mika Jokelainen,121
105523299470698,DNA,These ads ran without a disclaimer,119
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,118
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,117
179616462125382,Oatly,These ads ran without a disclaimer,116
510346432432044,Paula Aikio-Tallgren EU-vaaliehdokas,Pohjoisen asian osaajat ry,113
387812258475026,Jouni Kemppainen,Kemppainen Jouni Petteri,112
360860753953531,Fortum Suomi,These ads ran without a disclaimer,109
240966039259839,Slush,Slush,105
1569715913292949,Susanna Kisner,Susanna Kisnerin tukiryhmä,102
335430733218134,MSD Finland,These ads ran without a disclaimer,101
575908612596562,Antton Rönnholm,Antton Rönnholm,101
342706932416036,Ruokaa omasta maasta,Ruokatieto Yhdistys,≤100
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,≤100
114759583583344,invesstaroy,Satu Kapanen,≤100
28469960111,Kokoomusnuoret,Kokoomusnuoret,≤100
611696415923639,Satu Jaatinen 216,These ads ran without a disclaimer,≤100
438938299583730,Ilmatar,These ads ran without a disclaimer,≤100
323214638464470,Ehdokas Harri Väänänen,Harri Väänänen,≤100
1181404485308748,Tanja Airaksinen SDP,Tanja Airaksinen,≤100
198979100169761,Teuvo Hakkarainen,Riekkovaara Niko Tapani,≤100
520081145163683,Väre,These ads ran without a disclaimer,≤100
264103487044448,Leppävirran Demarit,Anne Aholainen,≤100
1738562999788292,Aarni Mustonen,Aarni Mustonen,≤100
545309265626080,Kela - Fpa,These ads ran without a disclaimer,≤100
337865799564409,K-ryhmä,These ads ran without a disclaimer,≤100
696226580391206,Teknologiateollisuus,Teknologiateollisuus ry,≤100
102740378515751,Tiina Tanskanen ehdolla kuntavaaleissa Lapinlahdella 2021,Tiina Tanskanen,≤100
252243572053482,Tiina Kyllönen,Heikkinen Tiina Maria,≤100
433087293448371,Tiedekulma,Tiedekulma,≤100
55312855747,Keskusta,Suomen Keskusta r.p.,≤100
354116985566989,Karoliina Partanen - sinun asiasi ajaja,Karoliina Partanen,≤100
371096980140925,Elinvoimaiset,These ads ran without a disclaimer,≤100
308849589971583,"Kimmo Ihalainen, Savo Sydämessä",Kimmo Ihalainen,≤100
161894913834311,Kuopion seudun Kokoomusnuoret,These ads ran without a disclaimer,≤100
1083597725003936,Neste,These ads ran without a disclaimer,≤100
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,≤100
237130593122439,Mirja Vehkaperä,Vehkaperä Mirja Tellervo,≤100
178003665577087,VTT Technical Research Centre of Finland,VTT Technical Research Centre of Finland,≤100
1631914877117175,Siilinjärven Kokoomus,Siilinjärven Kokoomus ry,≤100
803596373025380,Satu Taavitsainen,Taavitsainen Satu Johanna,≤100
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,≤100
105197074867594,Jarno Koski - kuntavaaliehdokas,Jarno Koski,≤100
1527478777519070,Arto Luukkanen,Riekkovaara Niko Tapani,≤100
303924349757,Paulig,These ads ran without a disclaimer,≤100
141238695910775,Annika Saarikko,Suomen Keskusta,≤100
106079954128313,Minska,Minska,≤100
106745452698752,Radio Dei,Radio Dei,≤100
1690835877881002,Miia Eskelinen-Fingerroos - Vaikuttamisen Uusi Aika,Miia Eskelinen-Fingeroos,≤100
161894913834311,Kuopion seudun Kokoomusnuoret,Juuti Simo Ilari,≤100
193483830745465,Kuopion Kokoomus,Jouni Holopainen,≤100
424023570951528,Reima,Reima,≤100
2211654885785838,Olli Kotro PS,Kauko Niko Aleksanteri,≤100
162434360626494,WSOY,These ads ran without a disclaimer,≤100
326994988016772,Climate Cycling,Climate Circle ry,≤100
128943110510746,Reaktor,Reaktor,≤100
189269999292,Wärtsilä Corporation,Wärtsilä Corporation,≤100
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,≤100
249996288346690,Elite Alfred Berg,These ads ran without a disclaimer,≤100
568974303294711,Rautalammin keskusta,Heikkinen Päivi Hannele,≤100
393181217718156,SDP Siilinjärvi,Jukka Tuppurainen,≤100
1318894224842064,Kaisa Kantele,Kaisa Kantele,≤100
167131836664321,Eettisen kaupan puolesta,Eettisen kaupan puolesta,≤100
607768462682601,Vegaanihaaste,Vegaanihaaste,≤100
221292842061953,Love my country,These ads ran without a disclaimer,≤100
747938388746923,Suomen Ekomodernistit,Hirvonen Janne Petteri,≤100
2130226653737235,Eurovaaliehdokas Kari Kallonen,Kallonen Kari Markku,≤100
116399773126,Suomen Punainen Risti,These ads ran without a disclaimer,≤100
296668661689,Eurooppanuoret (JEF-Finland),Eurooppanuoret ry,≤100
571276759551377,HBO Nordic,These ads ran without a disclaimer,≤100
107898832590939,European Commission,European Commission,≤100
126626144024824,Kuntaliitto - Kommunförbundet,Kuntaliitto,≤100
134934386349,Amnesty International - Suomen osasto,These ads ran without a disclaimer,≤100
393181217718156,SDP Siilinjärvi,Sanna Järvinen,≤100
582690625407503,nopeet.fi,These ads ran without a disclaimer,≤100
160515170666877,Savo-Karjalan vihreät,These ads ran without a disclaimer,≤100
28194048353,Madventures,Gimmeyawallet,≤100
103439515105204,Tuija Martikainen - Puhumalla paremmin,Tuija Martikainen,≤100
357502994332188,Aura Salla,Salla Aura Maria,≤100
1853195938289658,Lapinlahden Perussuomalaiset ry.,Harri Väänänen,≤100
2089076467990914,Huijausinfo,Kuluttajaliitto,≤100
591986911282315,Pekka Shemeikka,Nokela Matti Juhani Philip,≤100
101476337951070,Avoin Puolue,Avoin puolue,≤100
300059733998436,Karri Ollila Europarlamenttiin 2019,Karri Ollila,≤100
2292739520955127,Joel Elmaci,Joel Elmaci,≤100
488913327839998,Dove,Dove,≤100
110959555683831,Akavan Erityisalat,Akavan Erityisalat,≤100
336265806417103,Autotalo Hartikainen,These ads ran without a disclaimer,≤100
307644883139,Keski-Suomen Keskusta,Keski-Suomen Keskusta,≤100
254403722807,BirdLife Suomi,BirdLife Suomi,≤100
377011865574,Väestöliitto,Väestöliitto,≤100
220884089007,Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,≤100
177939666416553,Mauri Pekkarinen,Mauri Pekkarinen,≤100
105868880982170,Ilmastonmuutosvoima,Kaisa Matikainen,≤100
1764140410506268,Kansallinen senioriliitto ry,Kansallinen senioriliitto ry,≤100
60390955171,Vasemmistoliitto,Vasemmistoliiton eduskuntaryhmä,≤100
201647537374497,Mikko Ohela,Mikko Ohela,≤100
167964469897115,Suomen Ekonomit - Finlands Ekonomer,Suomen Ekonomit - Finlands Ekonomer,≤100
153186884700042,Ville Niinistö,Ville Niinistö,≤100
281523996677,Suomen Yrittäjät,These ads ran without a disclaimer,≤100
106210044396377,Late 2021 - Lauri Kaunisaho,Lauri Kaunisaho,≤100
244224963187036,Suomiduunari,Riekkovaara Niko Tapani,≤100
617885081728247,Senni Martikainen,Senni Martikainen,≤100
194897307433,Oikeutta eläimille,Oikeutta eläimille,≤100
258281844219947,Säästöpankki Sparbanken,Säästöpankki Sparbanken,≤100
256496998134805,"Anne Aholainen, SDP",Anne Aholainen,≤100
111005869699,Kirkon Ulkomaanapu,These ads ran without a disclaimer,≤100
109030124180046,Koura.fi,These ads ran without a disclaimer,≤100
1106285056054221,Vaasan Sähkö - Vasa Elektriska,Vaasan Sähkö - Vasa Elektriska,≤100
393181217718156,SDP Siilinjärvi,These ads ran without a disclaimer,≤100
212257028078,Toisenlainen Lahja,Toisenlainen Lahja,≤100
411612645521465,MAF Suomi,MAF Suomi,≤100
1895703810750312,Warkauden Perussuomalaiset Ry,Tiina Grönlund,≤100
249263121771099,Ympäristöministeriö,Ympäristöministeriö,≤100
1201709293325428,Jaana Ylitalo,Jaana Ylitalon eurovaalitukiryhmä,≤100
447795955285515,Long Play,Long Play,≤100
445988248775782,Simo Grönroos,Gronroos Simo Juhani,≤100
104446421693359,Paula Rusanen Lapinlahden kunnanvaltuustoon,Paula Rusanen,≤100
860106373999721,Elina Lepomäki,Elina Lepomäki,≤100
130549057054306,Itä-Suomen Vasemmistonuoret,Viljami Vaskonen,≤100
7180412111,HS – Helsingin Sanomat,These ads ran without a disclaimer,≤100
380462231997295,K-Supermarket,These ads ran without a disclaimer,≤100
115751458577078,Anna Sirkiä,Anna Sirkiä,≤100
533381293400918,Thermia Lämpöpumput,These ads ran without a disclaimer,≤100
107086122672929,Savon Sanomat,Savon Sanomat,≤100
163869833651514,Rauhanliitto - Fredsförbundet,Rauhanliitto,≤100
381290523932,VIKES Viestintä ja kehitys -säätiö,Viestintä ja kehitys -säätiö,≤100
189362187761641,Allianssi,Allianssi,≤100
76709532890,Tradenomit,Tradenomit,≤100
334478033363842,Loiste Energia,Loiste,≤100
181106108341,Perussuomalaiset,These ads ran without a disclaimer,≤100
104582471301296,Keiteleen Perussuomalaiset,Ari Kaunisaho,≤100
586576894800327,TEKin Nuoret,TEKin Nuoret,≤100
1743461975762131,Tuula Väätäinen,Tuula Väätäinen,≤100
118031422919870,Ilmastokummit,Ilmastokummit Oy,≤100
2211120692298758,Mikrobiomi - Hyvinvointini kasvupohja,These ads ran without a disclaimer,≤100
18321101785,Paavo Arhinmäki,Vasemmistoliiton eduskuntaryhmä,≤100
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,≤100
1398137590434946,Anne Roponen,Anne Roponen,≤100
151697688839398,Niko Aleksanteri Kauko,Kauko Niko Aleksanteri,≤100
1953359384974745,Mielenterveyspooli,Mielenterveyspooli,≤100
312837175579728,Riku Eskelinen,Riku Eskelisen eurovaalien tukiyhdistys Herttoniemen Keskustaseura ry,≤100
162050703823354,Turun yliopisto,Turun yliopisto,≤100
1630403923902130,Sami Kumpulainen,Sami Kumpulainen,≤100
287039148077176,Kiuruveden Keskusta,Mira Kokkonen,≤100
249263121771099,Ympäristöministeriö,Valve Branding Oy,≤100
367812290074243,Vaalijala,Vaalijalan kuntayhtymä,≤100
271976800087258,Kieltolaki kumoon 2020,Suomen Kannabisyhdistys SKY ry,≤100
136656729733568,YIT Suomi,YIT Suomi,≤100
2313503042310251,Jukka Linna,Jukka Linnan tukiyhdistys,≤100
514730295379916,Matti Sariola,Matti Sariola,≤100
126626144024824,Kuntaliitto - Kommunförbundet,Selina Sassila,≤100
100504890036389,Suomen kirjastoseura,Suomen kirjastoseura,≤100
126768630726940,Miikka Keränen,Keranen Miikka Markus,≤100
273737158343,Seta,Seta,≤100
101476337951070,Avoin Puolue,Jarvenpaa Riia Terhikki,≤100
364635700968341,Sami Säynevirta,SAYNEVIRTA SAMI-PEKKA,≤100
229433767936563,Lääkärit Ilman Rajoja,These ads ran without a disclaimer,≤100
148387291884447,Pohjois-Savon Keskustanuoret,Pohjois-Savon keskustanuoret,≤100
191192050909242,Helsinki Pride -yhteisö,Helsinki Pride -yhteisö,≤100
922311201130062,Miapetra Kumpula-Natri,"European parliament, S&D-Group Finnish Delegation / Miapetra Kumpula-Natri",≤100
948715928850182,Teuvo Hatva - eurovaaliehdokas,Maury Aino Maija,≤100
224910960981532,Kuntalehti,Kuntalehti,≤100
8895898655,Rainforest Alliance,These ads ran without a disclaimer,≤100
116940668479201,Heidi Hautala,Heidi Hautala,≤100
123328464439383,Hyvä elämä Leppävirralla - Leppävirran Vasemmisto,Kaisa Korhonen,≤100
139433629912436,Ylä-Savon Vihreät,Anne Roponen,≤100
121770557880568,Fennovoima,Virta Helsinki,≤100
271311152007,Plan International Suomi,These ads ran without a disclaimer,≤100
274210766108613,Sähkömittari.fi,LVS Brokers,≤100
124896344209125,Kustannusosakeyhtiö Otava,These ads ran without a disclaimer,≤100
18919657783,Piraattipuolue,Piraattipuolue,≤100
104956548092996,Aku Leijala,Aku Leijala,≤100
139433629912436,Ylä-Savon Vihreät,Lauri Kaunisaho,≤100
36143771015,Calvin Klein,These ads ran without a disclaimer,≤100
1565547997020457,Vaasan,These ads ran without a disclaimer,≤100
327525617399196,ISOVER Finland,These ads ran without a disclaimer,≤100
105688818183968,Antti Mantsinen ehdolla kuntavaaleissa Lapinlahdella 2021,Antti Mantsinen,≤100
113398820097,Pelastakaa Lapset,These ads ran without a disclaimer,≤100
478453526013441,Marjaana Mikkonen eduskuntaan 2019,These ads ran without a disclaimer,≤100
232815610172259,Eero Heinäluoma,These ads ran without a disclaimer,≤100
114404163822721,Texasdepot,These ads ran without a disclaimer,≤100
313219601021,Image,These ads ran without a disclaimer,≤100
285763178294638,Helsingin juutalainen seurakunta - The Jewish Community of Helsinki,These ads ran without a disclaimer,≤100
1895217903938885,Jussi Nurmi,Nurmi Jussi Tapio,≤100
2365048243719909,Rauno Taskinen KD-Kuntavaaliehdokas 2021,Kuopion KD paikallisosasto,≤100
482712555591121,Teemu Soini - Liike Nyt,Teemu Soini,≤100
496691144178113,Lentovero Suomeen - Kansalaisaloite,These ads ran without a disclaimer,≤100
1337176579662419,Niko Eskelinen poliitikko,Eskelinen Niko Olavi,≤100
137628126298370,Pohjois-Savon Keskusta,Pohjois-Savon Keskusta,≤100
436996460374355,"Jouni Holopainen - Vastarannan samanlainen, Kokoomus, Kuopio",These ads ran without a disclaimer,≤100
585888148224935,Oatly,These ads ran without a disclaimer,≤100
143817382342196,Helsingin Vihreät Nuoret,Helsingin Vihreät Nuoret ry,≤100
266912807301110,Petra Schulze Steinen,Schulze-Steinen Petra Elina Marjatta,≤100
1672035896221006,Fpa - Kela,Fpa - Kela,≤100
113117198723918,Apu,A-lehdet,≤100
1181404485308748,Tanja Airaksinen SDP,These ads ran without a disclaimer,≤100
575908612596562,Antton Rönnholm,Rekilä Piia Annikki,≤100
370901253347,SOS-Lapsikylä,These ads ran without a disclaimer,≤100
218020061613734,UBS,These ads ran without a disclaimer,≤100
168374216516231,Finavia,These ads ran without a disclaimer,≤100
387812258475026,Jouni Kemppainen,These ads ran without a disclaimer,≤100
187533664613953,Ammattiliitto Pro,Ammattiliitto Pro,≤100
148058601903484,Elinkeinoelämän valtuuskunta EVA,Elinkeinoelämän valtuuskunta EVA,≤100
717228955036156,Pohjois-Karjalan Sähkö,These ads ran without a disclaimer,≤100
369352976055,Sinituote,These ads ran without a disclaimer,≤100
149985558872,Suomen Pakolaisapu - Finnish Refugee Council,Suomen Pakolaisapu - Finnish Refugee Council,≤100
302941236400380,Pakolaisneuvonta ry - Refugee Advice Centre,Pakolaisneuvonta ry,≤100
286521901512868,Mikael Ropo,Ropo Mikael Leo Olavi,≤100
689010728162410,Irja Sokka Poliitikko,Irja Sokka Poliitikko,≤100
102768461772197,Juha-Pekka Miettinen,Juha-Pekka Miettinen,≤100
