Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,7209
119054448115588,WWF Suomi,WWF Suomi,5245
178362315106,European Parliament,European Parliament,4636
545309265626080,Kela - Fpa,Kela - Fpa,4030
61123966277,VR matkalla,VR matkalla,3390
585888148224935,Oatly,Oatly,2424
201285237101,Kokoomus,Kokoomus,2339
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1919
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,1824
9227859351,Greenpeace Suomi,Greenpeace Suomi,1749
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,1592
2206691386258439,Plusluotto,These ads ran without a disclaimer,1555
271311152007,Plan International Suomi,Plan International Suomi,1375
1083597725003936,Neste,Neste,1251
587353418318027,Parempi tulevaisuus,Plan International Suomi,1108
394311077246380,St1,St1,1024
83902438480,Ben & Jerry's,Ben & Jerry's,944
166138101712022,Jari Vaalajoki Kuntavaaliehdokas 2021,Jari Vaalajoki,928
493464655570,Valio,Valio,875
989337777778179,Metsä Group,Metsä Group,875
332170236842216,Vattenfall Suomi,Vattenfall Suomi,850
479728068763468,Lahden Kokoomus,Lahden Kokoomus,848
222741024445243,Libero Suomi,Libero Suomi,835
142013229195328,LUT University,LUT University,811
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,721
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,710
60390955171,Vasemmistoliitto,Vasemmistoliitto,699
123692197698005,Suomen UN Women,Suomen UN Women,657
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,634
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,634
289966115236885,Freebo,Freebo Oy,608
169477316356,Solidaarisuus,Solidaarisuus,604
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,593
181106108341,Perussuomalaiset,Perussuomalaiset,571
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,569
438938299583730,Ilmatar,Ilmatar Windpower Oy,562
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,541
7692825311,Suomen World Vision,Suomen World Vision,517
103645656349867,Telia Finland,Telia Finland,509
55312855747,Keskusta,Suomen Keskusta,509
845009975610944,Storytel,These ads ran without a disclaimer,507
1631165890489545,Gasum,Gasum,486
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,475
151697688839398,Niko Aleksanteri Kauko,Kauko Niko Aleksanteri,446
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,422
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,420
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,407
867106493431709,Nollalinja,Nollalinja,391
460987123963125,Orimattilan Kokoomus,Orimattilan Kokoomus,389
305608429284,EU Environment,EU Environment,376
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,372
1959958620944505,Savon Aurinkoenergia Oy,These ads ran without a disclaimer,370
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,369
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,358
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,341
324990240912201,Yksi elämä,Yksi elämä,326
358036591043834,Vasemmistoliiton Lahden Kunnallisjärjestö ry,Lientola Elisa Inkeri,311
119054448115588,WWF Suomi,These ads ran without a disclaimer,305
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,303
240966039259839,Slush,These ads ran without a disclaimer,293
120537424633927,Henna Virkkunen,Henna Virkkunen,288
141366725876424,European Greens,European Greens,283
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,282
111290482282398,OP,These ads ran without a disclaimer,277
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,277
132654633591,Verkkouutiset,Verkkouutiset,275
289437981239343,Tulli,Tulli,271
195534363813763,Posti,Posti,268
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,252
337851219532,Into,Into,252
129286757147002,Tehy ry,Tehy ry,238
200739723082,University of Helsinki,University of Helsinki,236
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,234
120152831996760,Orimattilan Perussuomalaiset ry,Orimattilan Perussuomalaiset ry,234
202285233124880,S-Pankki,S-Pankki,228
101476337951070,Avoin Puolue,Avoin Puolue,228
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,225
102566909780881,Reilu kauppa,Reilu kauppa,225
111290482282398,OP,OP,223
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),213
54313274188,Naisten Pankki,Naisten Pankki,207
1674008209292426,Pro Lahti,Ville Hälinen,193
104350151550801,Heidi Lind Perussuomalaiset,Heidi Lind,190
520081145163683,Väre,Väre Oy,189
103189741675624,Sami Korkiakoski - ruohonjuuritason ihmisyyttä ehdolla Lahden valtuustoon.,Sami Korkiakoski,185
181095798908231,Fressi Olo,These ads ran without a disclaimer,183
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,177
575908612596562,Antton Rönnholm,Antton Rönnholm,171
259256970891807,Kaisa Vatanen,Kaisa Penny,166
7692825311,Suomen World Vision,These ads ran without a disclaimer,165
1380845418823068,Hämeen Sosialidemokraatit,Hämeen sosialidemokraatit ry,162
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,157
1840814176153554,Markus Pälli,Markus Pälli,157
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,156
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,152
571577289638115,Nelipyörä Autoliikkeet,These ads ran without a disclaimer,149
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,147
145401631365,SSAB,These ads ran without a disclaimer,146
127195574005414,Finnwatch,Finnwatch,146
1510616335910928,Matias Granlund PS,Granlund Matias Olavi Mikael,144
264454860674953,Pidetään Orimattila oikeilla raiteilla,Pekka Törrönen,143
420279831336463,IKEA,IKEA,141
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,136
105523299470698,DNA,These ads ran without a disclaimer,134
334478033363842,Loiste Energia,Loiste,128
183967251674413,Myllärin,Myllärin,125
240966039259839,Slush,Slush,124
575908612596562,Antton Rönnholm,Rekilä Piia Annikki,120
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,117
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,117
628970754230502,AKT liitto,These ads ran without a disclaimer,116
410045932385582,Anna Mäkipää,Mäkipää Anna Marjatta,115
1235776649910885,Plastic Free Picks,Plastic Free Picks,115
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,114
385060708270353,Hämeen Kokoomusnaiset,Hämeen Kokoomusnaiset ry - Kokoomus,112
129286757147002,Tehy ry,These ads ran without a disclaimer,111
106240558041152,Timo Seppänen,Timo Seppänen,110
166764656737212,Christoffer Hällfors,Christoffer Hällfors,108
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,107
291117849202,Yle Areena,These ads ran without a disclaimer,107
611696415923639,Satu Jaatinen 216,These ads ran without a disclaimer,107
302413363266999,K-Ruoka,These ads ran without a disclaimer,106
335430733218134,MSD Finland,These ads ran without a disclaimer,106
1481965412047542,"Elisa Lientola, Vasemmistoliitto",Elisa Lientolan tukiryhmä,105
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,103
164624737027350,Petri Sarvamaa,Petri Sarvamaa,≤100
102308838569653,Tuomas Sorsa - PS Kuntavaaliehdokas Lahti,Tuomas Sorsa,≤100
200454706659092,Finanssiala,Finanssiala ry,≤100
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,≤100
379450038841852,Vauraus,These ads ran without a disclaimer,≤100
128943110510746,Reaktor,Reaktor,≤100
326994988016772,Climate Cycling,Climate Circle ry,≤100
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,≤100
464887330200075,"Markku Karjula, Lahden kaupunginvaltuutettu",Markku Karjula,≤100
109534497204474,S-Apteekki,S-ryhmä,≤100
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,≤100
232815610172259,Eero Heinäluoma,These ads ran without a disclaimer,≤100
154256701288026,Petteri Orpo,Kokoomus,≤100
227283607398150,FIM,FIM,≤100
179616462125382,Oatly,These ads ran without a disclaimer,≤100
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,≤100
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,≤100
433087293448371,Tiedekulma,Tiedekulma,≤100
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,≤100
360860753953531,Fortum Suomi,These ads ran without a disclaimer,≤100
105911281488139,Sami Kivi PS,Sami Kivi,≤100
229309442980,Hämeen Kokoomus,Hämeen Kokoomus ry,≤100
2089076467990914,Huijausinfo,Kuluttajaliitto,≤100
342706932416036,Ruokaa omasta maasta,Ruokatieto Yhdistys,≤100
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,≤100
28469960111,Kokoomusnuoret,Kokoomusnuoret,≤100
1527478777519070,Arto Luukkanen,Riekkovaara Niko Tapani,≤100
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,≤100
337865799564409,K-ryhmä,These ads ran without a disclaimer,≤100
107898832590939,European Commission,European Commission,≤100
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,≤100
545309265626080,Kela - Fpa,These ads ran without a disclaimer,≤100
303924349757,Paulig,These ads ran without a disclaimer,≤100
