Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,6879
178362315106,European Parliament,European Parliament,4673
119054448115588,WWF Suomi,WWF Suomi,4536
201285237101,Kokoomus,Kokoomus,3996
545309265626080,Kela - Fpa,Kela - Fpa,3630
61123966277,VR matkalla,VR matkalla,2933
585888148224935,Oatly,Oatly,2497
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,2126
2206691386258439,Plusluotto,These ads ran without a disclaimer,1569
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,1418
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,1392
1083597725003936,Neste,Neste,1326
9227859351,Greenpeace Suomi,Greenpeace Suomi,1249
271311152007,Plan International Suomi,Plan International Suomi,1227
394311077246380,St1,St1,1137
332170236842216,Vattenfall Suomi,Vattenfall Suomi,977
83902438480,Ben & Jerry's,Ben & Jerry's,957
222741024445243,Libero Suomi,Libero Suomi,954
989337777778179,Metsä Group,Metsä Group,946
493464655570,Valio,Valio,928
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,927
60390955171,Vasemmistoliitto,Vasemmistoliitto,914
587353418318027,Parempi tulevaisuus,Plan International Suomi,883
142013229195328,LUT University,LUT University,774
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,730
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,678
123692197698005,Suomen UN Women,Suomen UN Women,672
289966115236885,Freebo,Freebo Oy,648
55312855747,Keskusta,Suomen Keskusta,643
181106108341,Perussuomalaiset,Perussuomalaiset,637
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,596
169477316356,Solidaarisuus,Solidaarisuus,588
438938299583730,Ilmatar,Ilmatar Windpower Oy,567
103645656349867,Telia Finland,Telia Finland,561
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,540
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,522
7692825311,Suomen World Vision,Suomen World Vision,504
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,500
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,497
845009975610944,Storytel,These ads ran without a disclaimer,453
867106493431709,Nollalinja,Nollalinja,449
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,442
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,433
575908612596562,Antton Rönnholm,Antton Rönnholm,423
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,414
305608429284,EU Environment,EU Environment,403
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,401
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,374
324990240912201,Yksi elämä,Yksi elämä,367
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,361
180935698653271,Porin Vasemmisto,Tommila Milka Marketta,356
1631165890489545,Gasum,Gasum,345
138217202980374,Porin seudun Vihreät,Porin seudun Vihreät ry,339
120537424633927,Henna Virkkunen,Henna Virkkunen,333
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,322
129286757147002,Tehy ry,Tehy ry,320
111290482282398,OP,OP,319
1637590669794499,Raumalainen Kokoomus,Kokoomuksen Rauman kunnallisjärjestö,315
116323930286017,Juha Hernberg kuntavaaliehdokas,Juha Hernberg,309
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,308
337851219532,Into,Into,302
152447151574228,Satakunnan Osuuskauppa,S-ryhmä,300
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,293
111290482282398,OP,These ads ran without a disclaimer,288
119054448115588,WWF Suomi,These ads ran without a disclaimer,270
141366725876424,European Greens,European Greens,264
195534363813763,Posti,Posti,264
232815610172259,Eero Heinäluoma,MEP Eero Heinäluoma S&D,261
289437981239343,Tulli,Tulli,242
107678807741248,Eerik Heijari - Podcast,Eerik Heijari,239
102566909780881,Reilu kauppa,Reilu kauppa,235
244224963187036,Suomiduunari,Saarikalle Veikko Valtter,232
202285233124880,S-Pankki,S-Pankki,230
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,228
240966039259839,Slush,These ads ran without a disclaimer,227
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,222
1771748733069041,Pori Energia,These ads ran without a disclaimer,222
102130019858609,Terveyden ja hyvinvoinnin laitos THL,Terveyden ja hyvinvoinnin laitos (THL),215
139489762782508,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,Euroopan komissio Suomessa - Europeiska kommissionen i Finland,205
101476337951070,Avoin Puolue,Avoin Puolue,204
453485481351958,Matias Marttinen,Matias Marttinen,201
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,198
180935698653271,Porin Vasemmisto,Vasemmistoliiton Porin Kunnallisjärjestö ry,198
520081145163683,Väre,Väre Oy,197
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,196
1718410771633324,Lotus Pehmopaperit,Lotus Pehmopaperit,183
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,176
54313274188,Naisten Pankki,Naisten Pankki,169
200739723082,University of Helsinki,University of Helsinki,169
777531108951377,Satakunnan Perussuomalaiset,Markku Palomäki,168
7692825311,Suomen World Vision,These ads ran without a disclaimer,168
259256970891807,Kaisa Vatanen,Kaisa Penny,167
214948198521159,Satakunnan Keskusta,Leena Pellikka,167
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,165
628970754230502,AKT liitto,These ads ran without a disclaimer,164
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,161
132654633591,Verkkouutiset,Verkkouutiset,159
371635287025743,Poliitikko Sami Yli-Rahnasto,Pohjanmaan Kokoomus ry,158
164624737027350,Petri Sarvamaa,Petri Sarvamaa,156
410045932385582,Anna Mäkipää,Mäkipää Anna Marjatta,151
2139907472900957,Tuomas Tikkanen,Tikkanen Juho Tuomas,151
1527478777519070,Arto Luukkanen,Riekkovaara Niko Tapani,150
286521901512868,Mikael Ropo,Ropo Mikael Leo Olavi,149
1666046557046225,Satakunnan Vasemmistoliitto,Raisa Ranta,137
101727428415816,Justus Leppänen - Vihreät,Justus Leppänen,137
112698633935086,Julia 2021 - Julia Liljegren,Julia Liljegren,136
183967251674413,Myllärin,Myllärin,133
244224963187036,Suomiduunari,Riekkovaara Niko Tapani,129
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,126
129286757147002,Tehy ry,These ads ran without a disclaimer,125
105523299470698,DNA,These ads ran without a disclaimer,124
28469960111,Kokoomusnuoret,Kokoomusnuoret,123
1235776649910885,Plastic Free Picks,Plastic Free Picks,122
302413363266999,K-Ruoka,These ads ran without a disclaimer,120
424023570951528,Reima,Reima,120
291117849202,Yle Areena,These ads ran without a disclaimer,120
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,118
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,118
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,116
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,114
1403842966317196,Kokoomus Ulvilassa,Ulvilan Kokoomuksen kunnallistoimikunta,112
320715551381465,Karjurock,Karjurock,112
420279831336463,IKEA,IKEA,111
326994988016772,Climate Cycling,Climate Circle ry,107
426484174075723,Torsti Ruokoski,Torsti Ruokoski,107
1764140410506268,Kansallinen senioriliitto ry,Kansallinen senioriliitto ry,105
405228120312949,Henrika Palenius,Henrika Palenius,105
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,105
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,104
335430733218134,MSD Finland,These ads ran without a disclaimer,103
227283607398150,FIM,FIM,103
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,≤100
1542631959324129,Vilho Hakala,These ads ran without a disclaimer,≤100
198979100169761,Teuvo Hakkarainen,Riekkovaara Niko Tapani,≤100
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,≤100
154256701288026,Petteri Orpo,Kokoomus,≤100
179616462125382,Oatly,These ads ran without a disclaimer,≤100
127195574005414,Finnwatch,Finnwatch,≤100
767428909999649,"Marika Uimaluoto, kunnanvaltuutettu Merikarvia SDP",These ads ran without a disclaimer,≤100
372930362720254,Rauman Perussuomalaiset,Rauman Perussuomalaiset ry,≤100
352163704869030,Oikotie Työpaikat,These ads ran without a disclaimer,≤100
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,≤100
240966039259839,Slush,Slush,≤100
252243572053482,Tiina Kyllönen,Heikkinen Tiina Maria,≤100
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,≤100
249263121771099,Ympäristöministeriö,Ympäristöministeriö,≤100
611696415923639,Satu Jaatinen 216,These ads ran without a disclaimer,≤100
387812258475026,Jouni Kemppainen,Kemppainen Jouni Petteri,≤100
617733068345315,Mikkel Näkkäläjärvi,Nakkalajarvi Mikkel Antte Iisakki,≤100
2197170560364015,Kirsi-Kaisa Sinisalo,These ads ran without a disclaimer,≤100
438938299583730,Ilmatar,These ads ran without a disclaimer,≤100
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,≤100
342706932416036,Ruokaa omasta maasta,Ruokatieto Yhdistys,≤100
337865799564409,K-ryhmä,These ads ran without a disclaimer,≤100
897022393832817,SKP Satakunta,SKP:n Satakunnan seudun piirijärjestö ry,≤100
1083597725003936,Neste,These ads ran without a disclaimer,≤100
2211654885785838,Olli Kotro PS,Kauko Niko Aleksanteri,≤100
360860753953531,Fortum Suomi,These ads ran without a disclaimer,≤100
103046471061127,FSD-Group Oy,These ads ran without a disclaimer,≤100
303924349757,Paulig,These ads ran without a disclaimer,≤100
696226580391206,Teknologiateollisuus,Teknologiateollisuus ry,≤100
