Page ID,Page Name,Disclaimer,Amount Spent (EUR)
119054448115588,WWF Suomi,WWF Suomi,4430
360860753953531,Fortum Suomi,Fortum Suomi,4430
178362315106,European Parliament,European Parliament,2890
545309265626080,Kela - Fpa,Kela - Fpa,2114
61123966277,VR matkalla,VR matkalla,1973
585888148224935,Oatly,Oatly,1531
201285237101,Kokoomus,Kokoomus,1402
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1207
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,1154
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,907
9227859351,Greenpeace Suomi,Greenpeace Suomi,869
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,844
2206691386258439,Plusluotto,These ads ran without a disclaimer,837
1083597725003936,Neste,Neste,828
142013229195328,LUT University,LUT University,754
271311152007,Plan International Suomi,Plan International Suomi,740
394311077246380,St1,St1,617
83902438480,Ben & Jerry's,Ben & Jerry's,571
989337777778179,Metsä Group,Metsä Group,558
493464655570,Valio,Valio,525
587353418318027,Parempi tulevaisuus,Plan International Suomi,523
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,517
1729160497318776,Imatran Demarit,Jani Telkkä,505
332170236842216,Vattenfall Suomi,Vattenfall Suomi,494
222741024445243,Libero Suomi,Libero Suomi,436
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,426
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,411
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,409
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,407
188133948220294,Kokoomus Lappeenrannassa,Kokoomus Lappeenrannassa,392
289966115236885,Freebo,Freebo Oy,384
60390955171,Vasemmistoliitto,Vasemmistoliitto,365
169477316356,Solidaarisuus,Solidaarisuus,363
123692197698005,Suomen UN Women,Suomen UN Women,346
181106108341,Perussuomalaiset,Perussuomalaiset,323
55312855747,Keskusta,Suomen Keskusta,320
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,313
103645656349867,Telia Finland,Telia Finland,310
