Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,21580
119054448115588,WWF Suomi,WWF Suomi,16230
178362315106,European Parliament,European Parliament,13938
545309265626080,Kela - Fpa,Kela - Fpa,9924
61123966277,VR matkalla,VR matkalla,8734
201285237101,Kokoomus,Kokoomus,6845
585888148224935,Oatly,Oatly,6198
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,5699
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,5658
9227859351,Greenpeace Suomi,Greenpeace Suomi,5328
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,5164
2206691386258439,Plusluotto,These ads ran without a disclaimer,5142
271311152007,Plan International Suomi,Plan International Suomi,4185
587353418318027,Parempi tulevaisuus,Plan International Suomi,4043
1083597725003936,Neste,Neste,3490
83902438480,Ben & Jerry's,Ben & Jerry's,2831
60390955171,Vasemmistoliitto,Vasemmistoliitto,2617
989337777778179,Metsä Group,Metsä Group,2606
111390105539312,Turun kaupunki - Åbo stad - City of Turku,Turun kaupunki - Åbo stad - City of Turku,2516
185166421528433,Turun vihreät,Turun vihreä kunnallisjärjestö ry,2504
493464655570,Valio,Valio,2497
222741024445243,Libero Suomi,Libero Suomi,2423
332170236842216,Vattenfall Suomi,Vattenfall Suomi,2386
394311077246380,St1,St1,2361
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,2212
7692825311,Suomen World Vision,Suomen World Vision,2211
142013229195328,LUT University,LUT University,2114
169477316356,Solidaarisuus,Solidaarisuus,2063
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,2056
123692197698005,Suomen UN Women,Suomen UN Women,2004
414145572025195,Turku Energia,Turku Energia,1944
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,1839
289966115236885,Freebo,Freebo Oy,1837
2139907472900957,Tuomas Tikkanen,Tikkanen Juho Tuomas,1691
438938299583730,Ilmatar,Ilmatar Windpower Oy,1629
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,1524
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,1449
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,1408
305608429284,EU Environment,EU Environment,1403
845009975610944,Storytel,These ads ran without a disclaimer,1372
103645656349867,Telia Finland,Telia Finland,1355
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,1348
575908612596562,Antton Rönnholm,Antton Rönnholm,1347
181106108341,Perussuomalaiset,Perussuomalaiset,1320
240966039259839,Slush,These ads ran without a disclaimer,1294
55312855747,Keskusta,Suomen Keskusta,1280
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,1265
1631165890489545,Gasum,Gasum,1249
275638955671,Folkhälsan,Folkhälsan,1213
119054448115588,WWF Suomi,These ads ran without a disclaimer,1199
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,1151
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,1098
114243173290605,Turun ilmastojoukkue,Turun ilmastojoukkue,1071
118610942333,VALONIA,Valonia,1022
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,974
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,971
867106493431709,Nollalinja,Nollalinja,970
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,956
1449434138617787,Ida Schauman,Schauman Ida Emilia Axelsdotter,930
2110443792388818,Kaksin - Tvåsamhet,Kaksin - Tvåsamhet,926
1959958620944505,Savon Aurinkoenergia Oy,These ads ran without a disclaimer,924
