Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,5666
119054448115588,WWF Suomi,WWF Suomi,3994
178362315106,European Parliament,European Parliament,3766
545309265626080,Kela - Fpa,Kela - Fpa,2938
61123966277,VR matkalla,VR matkalla,2533
201285237101,Kokoomus,Kokoomus,2400
585888148224935,Oatly,Oatly,1862
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1413
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,1362
9227859351,Greenpeace Suomi,Greenpeace Suomi,1317
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,1311
2206691386258439,Plusluotto,These ads ran without a disclaimer,1306
271311152007,Plan International Suomi,Plan International Suomi,1086
1083597725003936,Neste,Neste,1028
332170236842216,Vattenfall Suomi,Vattenfall Suomi,921
587353418318027,Parempi tulevaisuus,Plan International Suomi,897
394311077246380,St1,St1,882
83902438480,Ben & Jerry's,Ben & Jerry's,765
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,749
989337777778179,Metsä Group,Metsä Group,729
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,700
493464655570,Valio,Valio,685
222741024445243,Libero Suomi,Libero Suomi,662
60390955171,Vasemmistoliitto,Vasemmistoliitto,659
351237294958923,Forssan Kokoomus,Forssan Kokoomus ry.,622
289966115236885,Freebo,Freebo Oy,610
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,584
142013229195328,LUT University,LUT University,565
169477316356,Solidaarisuus,Solidaarisuus,556
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,551
181106108341,Perussuomalaiset,Perussuomalaiset,504
123692197698005,Suomen UN Women,Suomen UN Women,499
7692825311,Suomen World Vision,Suomen World Vision,438
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,434
1631165890489545,Gasum,Gasum,420
845009975610944,Storytel,These ads ran without a disclaimer,417
103645656349867,Telia Finland,Telia Finland,415
55312855747,Keskusta,Suomen Keskusta,412
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,399
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,381
438938299583730,Ilmatar,Ilmatar Windpower Oy,366
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,356
1558046884420724,Caruna,Caruna Oy,353
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,344
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,329
867106493431709,Nollalinja,Nollalinja,322
204521487129327,Mika Walkamo - Kuntavaalit 2021,Mika Walkamo,321
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,316
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,313
