Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1083597725003936,Neste,Neste,≤100
360860753953531,Fortum Suomi,Fortum Suomi,≤100
55312855747,Keskusta,Suomen Keskusta,≤100
1959958620944505,Savon Aurinkoenergia Oy,Savon Aurinkoenergia Oy,≤100
530396980791609,Ett framgångsrikt Österbotten r.f,These ads ran without a disclaimer,≤100
989337777778179,Metsä Group,Metsä Group,≤100
7692825311,Suomen World Vision,Suomen World Vision,≤100
493464655570,Valio,Valio,≤100
61123966277,VR matkalla,VR matkalla,≤100
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,≤100
352163704869030,Oikotie Työpaikat,These ads ran without a disclaimer,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
103645656349867,Telia Finland,Telia Finland,≤100
1182247191942575,Risto E.J. Penttilä,These ads ran without a disclaimer,≤100
587353418318027,Parempi tulevaisuus,Plan International Suomi,≤100
145401631365,SSAB,These ads ran without a disclaimer,≤100
619118744885450,Lauri Kaira,Lauri Kaira,≤100
200454706659092,Finanssiala,Finanssiala ry,≤100
332170236842216,Vattenfall Suomi,Vattenfall Suomi,≤100
1631165890489545,Gasum,Gasum,≤100
143817382342196,Helsingin Vihreät Nuoret,Helsingin Vihreät Nuoret ry,≤100
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,≤100
102467748072394,Janne Pietikäinen n. 644 HOK-Elannon edustajistoon,Tom Efrati,≤100
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,≤100
274912105958894,Eveliina Tistelgren,Eveliina Tistelgren,≤100
568754850299703,Seppo Kanerva,Skyrocket One,≤100
353529514857561,Eva Biaudet,These ads ran without a disclaimer,≤100
335011719954335,LähiTapiola Pohjanmaa - LokalTapiola Österbotten,These ads ran without a disclaimer,≤100
166787048882,SASK - Suomen Ammattiliittojen Solidaarisuuskeskus,Suomen ammattiliittojen solidaarisuuskeskus SASK ry,≤100
103046471061127,FSD-Group Oy,These ads ran without a disclaimer,≤100
258208220887595,Perttu Mikael Hillman,Hillman Perttu Mikael,≤100
193932074055462,Turun Osuuskauppa,S-ryhmä,≤100
1539268729478180,Etapin jäteneuvonta,These ads ran without a disclaimer,≤100
271976800087258,Kieltolaki kumoon 2020,Suomen Kannabisyhdistys SKY ry,≤100
419850158145136,Åsa Gustafsson poliitikko,These ads ran without a disclaimer,≤100
2345212122367438,Lassi Hyttinen,These ads ran without a disclaimer,≤100
1226890004004590,Jussi Junni,Jussi Junni,≤100
144426382263604,Kokoomusopiskelijat,Kokoomuksen opiskelijaliitto Tuhatkunta,≤100
118218661541687,Kouvolan Nuorisovaltuusto,These ads ran without a disclaimer,≤100
100894848230181,Jan Frimodig,Jan Frimodig,≤100
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,≤100
118714761478292,Keski-Uusimaa,These ads ran without a disclaimer,≤100
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,≤100
1719052128421999,Mikko Laakso,Laakso Mikko Matias,≤100
376572886057506,Olli Rainio,These ads ran without a disclaimer,≤100
