Page ID,Page Name,Disclaimer,Amount Spent (EUR)
360860753953531,Fortum Suomi,Fortum Suomi,84355
119054448115588,WWF Suomi,WWF Suomi,77658
242770249092810,HOK-Elanto,S-ryhmä,62827
178362315106,European Parliament,European Parliament,44570
545309265626080,Kela - Fpa,Kela - Fpa,34027
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,33225
61123966277,VR matkalla,VR matkalla,32140
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,30884
9227859351,Greenpeace Suomi,Greenpeace Suomi,25351
201285237101,Kokoomus,Kokoomus,24853
587353418318027,Parempi tulevaisuus,Plan International Suomi,23740
271311152007,Plan International Suomi,Plan International Suomi,21648
585888148224935,Oatly,Oatly,20018
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,18039
240966039259839,Slush,These ads ran without a disclaimer,13133
83902438480,Ben & Jerry's,Ben & Jerry's,12922
1083597725003936,Neste,Neste,12064
2206691386258439,Plusluotto,These ads ran without a disclaimer,11329
235358769920969,Petrus Pennanen,Pennanen Petrus Samuli,11042
60390955171,Vasemmistoliitto,Vasemmistoliitto,11031
7692825311,Suomen World Vision,Suomen World Vision,10766
169477316356,Solidaarisuus,Solidaarisuus,10398
493464655570,Valio,Valio,10201
222741024445243,Libero Suomi,Libero Suomi,9551
989337777778179,Metsä Group,Metsä Group,9356
123692197698005,Suomen UN Women,Suomen UN Women,9237
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,9144
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,8910
240966039259839,Slush,Slush,8683
438938299583730,Ilmatar,Ilmatar Windpower Oy,7643
292611094275509,Alviina Alametsä,Alametsae Pauliina Viivi Alviina,7086
394311077246380,St1,St1,6977
142013229195328,LUT University,LUT University,6799
119054448115588,WWF Suomi,These ads ran without a disclaimer,6336
2139907472900957,Tuomas Tikkanen,Tikkanen Juho Tuomas,6248
332170236842216,Vattenfall Suomi,Vattenfall Suomi,6197
172925912797094,Lassila & Tikanoja Oyj,Lassila & Tikanoja Oyj,6066
396992750241,Insinööriliitto IL ry,Insinööriliitto IL ry,5653
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,5635
845009975610944,Storytel,These ads ran without a disclaimer,5592
148058601903484,Elinkeinoelämän valtuuskunta EVA,Elinkeinoelämän valtuuskunta EVA,5383
200454706659092,Finanssiala,Finanssiala ry,5344
1504918263070191,Reetta Vanhanen,Vanhanen Reetta Leena,4988
200739723082,University of Helsinki,University of Helsinki,4961
153558701328768,Helsingin Vasemmisto,Antti Kettunen,4959
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,4880
289966115236885,Freebo,Freebo Oy,4721
444027378982253,Maaseudun Tulevaisuus,These ads ran without a disclaimer,4688
153558701328768,Helsingin Vasemmisto,Helsingin Vasemmistoliitto ry,4587
433087293448371,Tiedekulma,Tiedekulma,4534
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,4506
140188405326,Sirpa Pietikäinen,Sirpa Pietikäinen,4504
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,4462
128943110510746,Reaktor,Reaktor,4450
181106108341,Perussuomalaiset,Perussuomalaiset,4422
103645656349867,Telia Finland,Telia Finland,4375
1631165890489545,Gasum,Gasum,4342
180192098660221,Helsingin Vihreät,Helsingin Vihreät,4262
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,4226
105959064729622,Sanna-Maria Bertell,Sanna-Maria Bertell,4110
191192050909242,Helsinki Pride -yhteisö,Helsinki Pride -yhteisö,4097
55312855747,Keskusta,Suomen Keskusta,3888
147282008634632,Demarinuoret - Sosialidemokraattiset Nuoret ry,Demarinuoret - Sosialidemokraattiset Nuoret ry,3834
149985558872,Suomen Pakolaisapu - Finnish Refugee Council,Suomen Pakolaisapu - Finnish Refugee Council,3730
141366725876424,European Greens,European Greens,3659
119084768218742,UPM - The Biofore Company,UPM - The Biofore Company,3443
275638955671,Folkhälsan,Folkhälsan,3443
102566909780881,Reilu kauppa,Reilu kauppa,3248
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,3166
289437981239343,Tulli,Tulli,3092
2110443792388818,Kaksin - Tvåsamhet,Kaksin - Tvåsamhet,3030
363641203686571,Ted Apter,Ted Apter,3001
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2998
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,2975
100457931735103,Marjo Koistinen Talous,Marjo Koistinen,2973
867106493431709,Nollalinja,Nollalinja,2926
120537424633927,Henna Virkkunen,Henna Virkkunen,2879
326994988016772,Climate Cycling,Climate Circle ry,2878
238543866258335,LähiTapiola - LokalTapiola,LähiTapiola - LokalTapiola,2877
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,2845
127195574005414,Finnwatch,Finnwatch,2838
337851219532,Into,Into,2819
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,2771
324990240912201,Yksi elämä,Yksi elämä,2770
305608429284,EU Environment,EU Environment,2761
101476337951070,Avoin Puolue,Avoin Puolue,2746
231250833663601,SDP Helsinki,Helsingin Sosialidemokraatit ry,2740
107561782596489,My Helsinki,My Helsinki,2730
54313274188,Naisten Pankki,Naisten Pankki,2708
