Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1620240484900612,Åländsk Demokrati,Stephan Toivonen,4567
116348448402875,Liberalerna på Åland,Liberalerna på Åland,2789
1691115251107247,Stephan Toivonen,Stephan Toivonen,2355
292014514307250,Ålands socialdemokrater,Ålands Socialdemokrater,1573
126812894035597,SLC,SLC r.f.,1256
208204825861892,Moderat Samling för Åland,Annette Holmberg-Jansson,1249
121263927955067,Åländsk Center,Åländsk Center r.f.,1248
178362315106,European Parliament,European Parliament,1089
1381042385477742,Obunden Samling,Obunden Samling på Åland r.f,1049
360575481205047,Camilla Gunell,Socialdemokraterna på Åland,955
360860753953531,Fortum Suomi,Fortum Suomi,894
1672035896221006,Fpa - Kela,Fpa - Kela,831
111304783586186,"Mats Perämaa, politiker",Mats Perämaa,746
805366246216189,Ingrid Zetterman,Ingrid Zetterman,740
102850954438160,Sandra Listherby - Liberal Politiker,Sandra Listherby,729
585888148224935,Oatly,Oatly,721
101433867914056,Anders Holmberg - Politiker,Anders Holmberg,719
117465606314547,Gard Larpes lagtingskandidat för Hållbart initiativ,Gard Larpes,602
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,600
1133101793386267,Mariehamnsliberalerna,Mariehamnsliberalerna rf,593
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,568
1630770873849988,Jannik Svensson,Svensson Jannik Kevin Michael,556
275638955671,Folkhälsan,Folkhälsan,556
61123966277,VR matkalla,VR matkalla,512
106119792784625,Nordens Institut på Åland (NIPÅ),Jacob Mangwana Haagendal,510
121263927955067,Åländsk Center,These ads ran without a disclaimer,480
290501338278566,Anton Nilsson,Betalt av stödföreningen för Anton Nilsson,461
107899937234920,Benita - Bettis - Problematik,Bettis Sundblom,448
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,386
107899937234920,Benita - Bettis - Problematik,These ads ran without a disclaimer,358
100206358036440,"Roger Eriksson, politiker",Roger Eriksson,343
1476212026016455,Hållbart initiativ,Hållbart initiativ rf,342
1083597725003936,Neste,Neste,317
108144963899833,Nina Fellman,Nina Fellman,299
101433867914056,Anders Holmberg - Politiker,These ads ran without a disclaimer,298
1626219097620376,Jonny Andersen,Jonny Andersen,293
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,284
119054448115588,WWF Suomi,WWF Suomi,281
360575481205047,Camilla Gunell,Camilla Gunell,278
1472706989690688,John Holmberg,John Holmberg,258
392586254839433,Smart Energy Åland,Flexens Oy Ab,250
394311077246380,St1,St1,247
100813917971258,Peter Sjöberg till Lagtinget,Peter Sjöberg,234
545309265626080,Kela - Fpa,Kela - Fpa,210
137749176290767,Ålands fredsinstitut - The Åland Islands Peace Institute,Ålands fredsinstitut - The Åland Islands Peace Institute,203
112420318857512,Wille Politiker,Wille Valve,197
376203269442,Finlands Lucia,Folkhälsan,196
388310037923245,Varuboden-Osla,S-ryhmä,188
1620240484900612,Åländsk Demokrati,These ads ran without a disclaimer,186
989337777778179,Metsä Group,Metsä Group,186
332170236842216,Vattenfall Suomi,Vattenfall Suomi,184
33722070600,Vihreät - De Gröna,Vihreät - De Gröna,182
271311152007,Plan International Suomi,Plan International Suomi,179
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,172
83902438480,Ben & Jerry's,Ben & Jerry's,172
493464655570,Valio,Valio,169
123607229039135,Barbro Sundback,Robert Jansson,168
102850954438160,Sandra Listherby - Liberal Politiker,These ads ran without a disclaimer,166
296271807678510,Liikenne- ja viestintävirasto Traficom,Liikenne- ja viestintävirasto Traficom,163
1691115251107247,Stephan Toivonen,These ads ran without a disclaimer,162
201285237101,Kokoomus,Kokoomus,153
867106493431709,Nollalinja,Nollalinja,151
116348448402875,Liberalerna på Åland,These ads ran without a disclaimer,136
222741024445243,Libero Suomi,Libero Suomi,132
459370787482536,Ålands landskapsregering,Ålands landskapsregering,132
240966039259839,Slush,These ads ran without a disclaimer,129
2173552016057239,Henrik "Löken" Löthman i Lagtings- och kommunalval.,Henrik Löthman,128
370660516887752,Kimmo Mattsson till lagtinget,Kimmo Mattsson,126
849500215156931,Anna Holmström Centern,Anna Holmstrom,125
1626219097620376,Jonny Andersen,These ads ran without a disclaimer,123
128267017192466,Erik Schütten,Erik Schütten,121
2206691386258439,Plusluotto,These ads ran without a disclaimer,120
110325500339760,Knattes Tankesmedja,Sam Palén,120
125825308813707,Sundslistan,Erik Schütten,119
105842517464417,Jesper Josefsson,Blissmo Ab,119
104474880938605,Björn Blomqvist för Centern,These ads ran without a disclaimer,118
9227859351,Greenpeace Suomi,Greenpeace Suomi,117
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,117
123692197698005,Suomen UN Women,Suomen UN Women,117
1133101793386267,Mariehamnsliberalerna,These ads ran without a disclaimer,112
345895801426,Finska Missionssällskapet,Finska Missionssällskapet,112
245451418828023,Norra Ålands socialdemokrater,Miina Fagerlund,110
107640877289232,Tommy Nordberg-Kandidat i Lagtings- och Kommunalval år 2019,Tommy Nordberg,109
208619589270223,Nextory,These ads ran without a disclaimer,104
103645656349867,Telia Finland,Telia Finland,102
208204825861892,Moderat Samling för Åland,These ads ran without a disclaimer,≤100
176678846392107,Tankesmedjan Agenda - Ajatushautomo Agenda,Tankesmedjan Agenda Ajatushautomo,≤100
142013229195328,LUT University,LUT University,≤100
2282683805289753,Michele Ferrari - Politiker,These ads ran without a disclaimer,≤100
324692204890183,Liberalerna i Lemland,Liberalerna på Åland,≤100
324990240912201,Yksi elämä,Yksi elämä,≤100
111290482282398,OP,OP,≤100
575908612596562,Antton Rönnholm,Antton Rönnholm,≤100
1521914834768596,Erica Sjöström,These ads ran without a disclaimer,≤100
108802189156584,Kyrkans Utlandshjälp,Kirkon Ulkomaanapu,≤100
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,≤100
438938299583730,Ilmatar,Ilmatar Windpower Oy,≤100
922311201130062,Miapetra Kumpula-Natri,Euroopassa Suomen tähden  / Miapetra Kumpula-Natri,≤100
120537424633927,Henna Virkkunen,Henna Virkkunen,≤100
121513551305779,FDUV,FDUV,≤100
174819292560785,Finlands svenska socialdemokrater - FSD,Finlands svenska socialdemokrater,≤100
2110443792388818,Kaksin - Tvåsamhet,Kaksin - Tvåsamhet,≤100
332170236842216,Vattenfall Suomi,These ads ran without a disclaimer,≤100
348448239147286,Sara Kemetter politiker,Sara Kemetter,≤100
105930170814369,Sanna Söderlund Politiker,Sanna Söderlund,≤100
105006857551330,Roger Johansson - Politiker,Roger Johansson,≤100
