Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1981871332106127,Programme pour la Transition Energétique,Transition Energie,27420
178362315106,European Parliament,European Parliament,24999
39435457457,Greenpeace France,Greenpeace France,20391
110264154014366,Les Gargouilles,Les Gargouilles,16184
426045577958757,Prime Énergie,These ads ran without a disclaimer,14873
1854457991285846,Eco Energie,Transition Energies,14020
886390848092524,TGV INOUI,These ads ran without a disclaimer,13044
179106818789009,Facebook,Facebook,9590
314443337102,GRDF,GRDF,8828
200661534149151,Pompe à Chaleur,These ads ran without a disclaimer,8128
480418118654568,E.Leclerc,E.Leclerc,7952
122037308191612,Make.org,Make.org,7360
107898832590939,European Commission,European Commission,7121
173159234432,UNICEF France,UNICEF France,7080
335868279790722,CIWF France,CIWF France,6898
100812558525125,Bon Plan Habitat,Transition Energie,6628
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,6255
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,6090
1456586344652734,MAIF,MAIF,5845
392341217527576,Gouvernement,Gouvernement,5827
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,5379
426832457756357,Mes Soutiens,ORIXA MEDIA,5298
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,4997
265420476920,Médecins du Monde France,Médecins du Monde France,4924
285190805468917,Meilleur Placement,Philippe Jaen Aime,4749
109259802438423,ES,ES,3994
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,3794
108943410672988,WeSpring,These ads ran without a disclaimer,3783
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),3573
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,3549
14053295787,Oxfam France,Oxfam France,3473
165039663531531,Minecraft,These ads ran without a disclaimer,3428
172991730153781,Energies subventions,David Itah,3394
1863804550583555,Iso Service,Alon Tebeka,3280
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,3108
464568377211278,Pompes à Chaleur,These ads ran without a disclaimer,2869
305608429284,EU Environment,Commission européenne en France,2764
1539166179460431,Isolation des combles,These ads ran without a disclaimer,2764
1493741450926446,Région Grand Est,Romain Bichat,2706
491891557553645,ifaw,ifaw,2505
583755248443877,L'École Française,These ads ran without a disclaimer,2504
340654233462962,Maplanèteverte,Ma Planète Verte,2470
375585826133048,Les énergies renouvelables,These ads ran without a disclaimer,2410
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,2362
9025047571,Amnesty International France,Amnesty International France,2354
