Page ID,Page Name,Disclaimer,Amount Spent (EUR)
39435457457,Greenpeace France,Greenpeace France,49531
178362315106,European Parliament,European Parliament,40779
110264154014366,Les Gargouilles,Les Gargouilles,33345
1329380840472696,Panneaux solaire,Conseil Solaire,26838
1981871332106127,Programme pour la Transition Energétique,Transition Energie,25560
1854457991285846,Eco Energie,Transition Energies,19667
886390848092524,TGV INOUI,These ads ran without a disclaimer,18005
122037308191612,Make.org,Make.org,17884
179106818789009,Facebook,Facebook,17142
335868279790722,CIWF France,CIWF France,15072
314443337102,GRDF,GRDF,14542
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,14065
480418118654568,E.Leclerc,E.Leclerc,13379
173159234432,UNICEF France,UNICEF France,13237
426832457756357,Mes Soutiens,ORIXA MEDIA,12332
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,12064
107898832590939,European Commission,European Commission,11448
265420476920,Médecins du Monde France,Médecins du Monde France,11419
392341217527576,Gouvernement,Gouvernement,10023
1539166179460431,Isolation des combles,These ads ran without a disclaimer,10004
1456586344652734,MAIF,MAIF,9765
287465005451475,Meilleur Habitat De France,LA PLATEFORME DU LEAD,9617
285190805468917,Meilleur Placement,Philippe Jaen Aime,8553
108943410672988,WeSpring,These ads ran without a disclaimer,8479
14053295787,Oxfam France,Oxfam France,7664
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,7587
312006269003808,ilek,ilek,7362
128829237956,easyJet,These ads ran without a disclaimer,7359
2420487738043690,Energie-solaire.io,Dolead,7304
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,6911
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),6554
165039663531531,Minecraft,These ads ran without a disclaimer,6172
176105152520900,Carrefour,Carrefour,6033
1863804550583555,Iso Service,Alon Tebeka,5960
340654233462962,Maplanèteverte,Ma Planète Verte,5520
100320031319196,Isolation 1€,These ads ran without a disclaimer,5493
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,5302
9025047571,Amnesty International France,Amnesty International France,5281
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,5154
491891557553645,ifaw,ifaw,5116
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,5090
583755248443877,L'École Française,These ads ran without a disclaimer,4718
163061217080336,Enedis,Enedis,4537
123875660969932,ENGIE,ENGIE,4511
323618734452141,Brief.me,Brief.me,4442
116455261255,Action contre la Faim (France),Action contre la Faim (France),4360
150561791679746,Département de la Gironde,Département de la Gironde,4325
1682924348618893,ekWateur,ekWateur,4253
1731162750449819,Région Nouvelle-Aquitaine,Région Nouvelle-Aquitaine,4236
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,4235
305608429284,EU Environment,Commission européenne en France,4196
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,4130
99340666617,Nettoyons la Nature,E.Leclerc,4086
1642011509390003,Wizbii Money,Wizbii,3946
360242054162337,Ooinvestir,Ooinvestir,3912
105494544395779,Nouvelle Réduction d'impôt 2020,These ads ran without a disclaimer,3862
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,3790
121852905877303,900.care,Aymeric Grange,3743
155317537884626,Ordre de Malte France,Ordre de Malte France,3619
446043358936202,Tacotax,These ads ran without a disclaimer,3544
279757933824,Parlement européen en France,Parlement européen en France,3535
375585826133048,Les énergies renouvelables,These ads ran without a disclaimer,3530
816074091903635,Comme Avant,Comme Avant,3515
145392792632,WWF-France,WWF-France,3478
112558237309147,iji.eco,iji.eco,3420
110844793649736,Ekoblue,Ekoblue,3370
528000693909356,Rôle Energies,Rôle Energies,3276
819996268096190,Identity & Democracy Party,Identity & Democracy Party,3274
170791994261,Audi France,Audi France,3264
139331629464336,EDF,EDF,3261
631909843561408,Nespresso,Nespresso,3219
5987042235,Ben & Jerry's,Ben & Jerry's,3186
104450921005395,Isoletamaison.com,OPTIM HABITAT PLUS,3174
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3143
229791257568789,Assureur Français,These ads ran without a disclaimer,3141
128829237956,easyJet,easyJet,3015
43083507654,Enercoop,Enercoop,3015
172991730153781,Energies subventions,David Itah,2987
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,2973
114676815236667,AIDES,AIDES,2956
256197435586,Handicap International - Humanity & Inclusion,Handicap International,2943
124743098139710,Alternativi,Jean Belhache,2886
173206532693654,VELUX,VELUX,2729
93745060700,CARE France,CARE France,2631
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,2619
328227120690505,Ministère du Travail,Ministère du Travail,2559
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),2557
206816856023737,BIODERMA,BIODERMA,2528
173257392750594,Commission européenne en France,Commission européenne en France,2498
495762937483621,Les Lignes Bougent,Les Lignes Bougent,2495
139719006082496,Husqvarna,Husqvarna,2422
101714984908382,Masque Protector,SONICS,2364
108617820801441,Masque XIX,Solfra,2341
2002323729992518,Planète Panda,BARBIER QUENTIN,2338
287465005451475,Meilleur Habitat De France,These ads ran without a disclaimer,2302
106554597767346,UNHCR France,UNHCR France,2276
265420476920,Médecins du Monde France,These ads ran without a disclaimer,2241
39435457457,Greenpeace France,These ads ran without a disclaimer,2207
753069428230726,Transition Energétique,These ads ran without a disclaimer,2206
112044360267952,France Écologie,France Écologie,2176
114872526738569,Isolations maison 1 euro.com,LA PLATEFORME DU LEAD,2173
113183856757963,Just Green Accessories,Margaux Butterlin,2158
196536624266116,Bâtiment photovoltaique,Philippe Manuel Clement Bourd,2120
105439357509813,Epanda,Guillaume Martin,2114
103906211029800,Protégeons les droits des filles réfugiées,Antevenio Publicité,2107
788486567982191,Direction Générale des Douanes et Droits Indirects,La Direction Générale des Douanes et Droits Indirects (DGDDI),2097
112274740305770,Sauvons les koalas,These ads ran without a disclaimer,2067
1684441541609223,Pour l'Éco,Pour l'Éco,2059
2363689583957802,Nouvelle Réduction d'Impôt 2021,These ads ran without a disclaimer,2033
283023079280975,Love Beauty & Planet,Unilever France,2003
103076777777022,My Little Bee,These ads ran without a disclaimer,1990
1298354803592152,Gozeco,David Perez,1990
105034387926765,Primes & Aides Rénov,These ads ran without a disclaimer,1977
412121566060960,Panneaux Solaires France,These ads ran without a disclaimer,1933
1965226090211990,Gaïactica,Gaiactica,1926
1757782394471400,Brut,Brut,1903
392341217527576,Gouvernement,These ads ran without a disclaimer,1898
108961334029224,Sumofus en français,SumOfUs,1896
194934737335658,foodwatch France,foodwatch France,1861
115053675196280,Nana,Nana,1860
103146727990,Ministère de l'Intérieur,Ministère de l'Intérieur,1852
168901966533877,Institut Montaigne,Institut Montaigne,1798
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,1794
482625248609253,Devis.io,Dolead,1794
61952884477,Sarenza,Sarenza,1782
386684741892399,Santé Sénior,These ads ran without a disclaimer,1766
111174977254488,BeOcean,Killyan Jean Rene  Preterre,1743
475475545864761,Curieux,Curieux,1725
87337929751,C8,These ads ran without a disclaimer,1723
120780477955028,Secours populaire,Secours populaire,1700
363625503719215,Défenseur des droits,Défenseur des droits,1700
380039845369159,SHEIN,These ads ran without a disclaimer,1691
1497801067022790,Ma Solution Conso,These ads ran without a disclaimer,1664
228138770684713,tylko,These ads ran without a disclaimer,1636
190767987677923,Institut Curie,Institut Curie,1625
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,1624
178362315106,European Parliament,These ads ran without a disclaimer,1585
278641698813937,Fondation Raoul Follereau,Fondation Raoul Follereau,1574
186862581340655,"Cap-Vietnam, le Vietnam pour et  par les internautes","Cap-Vietnam, le Vietnam pour et  par les internautes",1533
100707905881,Plan International France,Plan International France,1510
106318370709727,Écolid,Romain Alexandre Clairand,1506
256197435586,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,1501
413401852112275,La Mie de Pain,LA MIE DE PAIN,1494
103692711104070,Écobag'S,Romain Alexandre Clairand,1487
512413372428054,L'Essentiel par Macif,L'Essentiel par Macif,1476
176663393102,La Cimade,La Cimade,1467
110000413816860,Mes-Soutiens - HCR France,Orixa Media,1432
342337366623971,Pompe A Chaleur Prime,These ads ran without a disclaimer,1415
301330928866,IVG : vous hésitez ? Venez en parler !,IVG : vous hésitez ? Venez en parler !,1410
213536435417677,Fondation de France,Fondation de France,1389
840589819457002,Break Poverty Foundation,Break Poverty Foundation,1386
100255681599847,Veolia France,Veolia,1362
221325414598759,Macif Course au Large,Macif Course au Large,1349
384955301529344,Institut du Cerveau - Paris Brain Institute,ICM - Institut du Cerveau et de la Moelle épinière,1341
1967501576850496,Programme isolation habitat 1 euro,These ads ran without a disclaimer,1333
99340666617,Nettoyons la Nature,These ads ran without a disclaimer,1318
298188530537614,Pousse Pousse,Pousse Pousse,1303
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,1285
1815507421886752,Primes Éco 2021,Primes Energetiques,1283
357449781550853,Couverture Senior Plus,These ads ran without a disclaimer,1282
144056732332683,CANAL+,These ads ran without a disclaimer,1279
305608429284,EU Environment,EU Environment,1189
