Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,16501
39435457457,Greenpeace France,Greenpeace France,13597
1854457991285846,Eco Energie,Transition Energies,11623
110264154014366,Les Gargouilles,Les Gargouilles,8949
1981871332106127,Programme pour la Transition Energétique,Transition Energie,8361
314443337102,GRDF,GRDF,6843
480418118654568,E.Leclerc,E.Leclerc,5900
179106818789009,Facebook,Facebook,5672
122037308191612,Make.org,Make.org,5132
886390848092524,TGV INOUI,These ads ran without a disclaimer,4984
100812558525125,Bon Plan Habitat,Transition Energie,4895
107898832590939,European Commission,European Commission,4792
335868279790722,CIWF France,CIWF France,4586
173159234432,UNICEF France,UNICEF France,4477
1456586344652734,MAIF,MAIF,4052
392341217527576,Gouvernement,Gouvernement,3909
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,3776
426832457756357,Mes Soutiens,ORIXA MEDIA,3725
1329380840472696,Panneaux solaire,Conseil Solaire,3643
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,3483
285190805468917,Meilleur Placement,Philippe Jaen Aime,3202
265420476920,Médecins du Monde France,Médecins du Monde France,3097
163061217080336,Enedis,Enedis,3089
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,2841
312006269003808,ilek,ilek,2840
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),2831
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,2780
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,2734
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,2729
165039663531531,Minecraft,These ads ran without a disclaimer,2583
176105152520900,Carrefour,Carrefour,2564
108943410672988,WeSpring,These ads ran without a disclaimer,2328
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,2304
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,2223
1539166179460431,Isolation des combles,These ads ran without a disclaimer,2206
14053295787,Oxfam France,Oxfam France,2177
1863804550583555,Iso Service,Alon Tebeka,2084
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,2077
99340666617,Nettoyons la Nature,E.Leclerc,2025
123875660969932,ENGIE,ENGIE,1979
