Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1981871332106127,Programme pour la Transition Energétique,Transition Energie,18662
178362315106,European Parliament,European Parliament,16914
39435457457,Greenpeace France,Greenpeace France,15073
1854457991285846,Eco Energie,Transition Energies,10595
110264154014366,Les Gargouilles,Les Gargouilles,10185
100812558525125,Bon Plan Habitat,Transition Energie,7695
314443337102,GRDF,GRDF,7109
179106818789009,Facebook,Facebook,6362
480418118654568,E.Leclerc,E.Leclerc,5929
122037308191612,Make.org,Make.org,5885
335868279790722,CIWF France,CIWF France,5416
886390848092524,TGV INOUI,These ads ran without a disclaimer,5176
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,5101
173159234432,UNICEF France,UNICEF France,4962
107898832590939,European Commission,European Commission,4939
426832457756357,Mes Soutiens,ORIXA MEDIA,4471
1456586344652734,MAIF,MAIF,4271
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,4258
392341217527576,Gouvernement,Gouvernement,4204
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,4077
285190805468917,Meilleur Placement,Philippe Jaen Aime,3930
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,3845
851976621630627,Eco-Astuce.com,These ads ran without a disclaimer,3820
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,3724
265420476920,Médecins du Monde France,Médecins du Monde France,3617
713321172508970,Energie gratuite,These ads ran without a disclaimer,3269
1863804550583555,Iso Service,Alon Tebeka,3132
312006269003808,ilek,ilek,3130
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,3108
376828926453369,Mon énergie solidaire,These ads ran without a disclaimer,3021
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),2943
108943410672988,WeSpring,These ads ran without a disclaimer,2887
176105152520900,Carrefour,Carrefour,2795
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,2681
165039663531531,Minecraft,These ads ran without a disclaimer,2655
240513033426681,Les energies pour tous,These ads ran without a disclaimer,2641
14053295787,Oxfam France,Oxfam France,2610
286406748684689,AIDE 2019,These ads ran without a disclaimer,2419
1660212684250205,Région Bourgogne-Franche-Comté,Région Bourgogne-Franche-Comté,2358
1539166179460431,Isolation des combles,These ads ran without a disclaimer,2316
163061217080336,Enedis,Enedis,2314
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,2289
123875660969932,ENGIE,ENGIE,2241
172991730153781,Energies subventions,David Itah,2224
108887494249243,Panneaux solaires,These ads ran without a disclaimer,1976
822353648129840,Energie Unissons Nous,Energie Unissons Nous France,1915
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,1896
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,1875
99340666617,Nettoyons la Nature,E.Leclerc,1851
305608429284,EU Environment,Commission européenne en France,1851
491891557553645,ifaw,ifaw,1802
1981871332106127,Programme pour la Transition Energétique,These ads ran without a disclaimer,1772
583755248443877,L'École Française,These ads ran without a disclaimer,1741
340654233462962,Maplanèteverte,Ma Planète Verte,1741
1398144063673691,Ma Prime Éco,These ads ran without a disclaimer,1710
9025047571,Amnesty International France,Amnesty International France,1670
108767337651693,Mes Aides Energie,These ads ran without a disclaimer,1665
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,1587
1682924348618893,ekWateur,ekWateur,1584
1660212684250205,Région Bourgogne-Franche-Comté,Romain Bichat,1560
170791994261,Audi France,Audi France,1557
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,1549
116455261255,Action contre la Faim (France),Action contre la Faim (France),1545
279757933824,Parlement européen en France,Parlement européen en France,1519
