Page ID,Page Name,Disclaimer,Amount Spent (EUR)
39435457457,Greenpeace France,Greenpeace France,5213
178362315106,European Parliament,European Parliament,4397
179106818789009,Facebook,Facebook,3113
110264154014366,Les Gargouilles,Les Gargouilles,2974
567500503419309,Ajaccio change de visage,francois Filoni,2091
173159234432,UNICEF France,UNICEF France,1855
335868279790722,CIWF France,CIWF France,1795
480418118654568,E.Leclerc,E.Leclerc,1760
426832457756357,Mes Soutiens,ORIXA MEDIA,1716
314443337102,GRDF,GRDF,1646
107898832590939,European Commission,European Commission,1508
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,1507
100689401338189,Maffia NÒ - A vita IÈ,Léonard Battesti,1486
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,1474
265420476920,Médecins du Monde France,Médecins du Monde France,1429
1863804550583555,Iso Service,Alon Tebeka,1428
1456586344652734,MAIF,MAIF,1348
122037308191612,Make.org,Make.org,1314
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,1278
886390848092524,TGV INOUI,These ads ran without a disclaimer,1207
392341217527576,Gouvernement,Gouvernement,1066
1959547284305547,Cullettività di Corsica,Cullettività di Corsica,1030
108943410672988,WeSpring,These ads ran without a disclaimer,839
491891557553645,ifaw,ifaw,762
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),746
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,720
14053295787,Oxfam France,Oxfam France,716
165039663531531,Minecraft,These ads ran without a disclaimer,715
819996268096190,Identity & Democracy Party,Identity & Democracy Party,705
2420487738043690,Energie-solaire.io,Dolead,702
583755248443877,L'École Française,These ads ran without a disclaimer,700
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,691
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,690
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,662
229791257568789,Assureur Français,These ads ran without a disclaimer,619
155317537884626,Ordre de Malte France,Ordre de Malte France,611
116455261255,Action contre la Faim (France),Action contre la Faim (France),592
816074091903635,Comme Avant,Comme Avant,577
357449781550853,Couverture Senior Plus,These ads ran without a disclaimer,533
305608429284,EU Environment,Commission européenne en France,521
139719006082496,Husqvarna,Husqvarna,521
340654233462962,Maplanèteverte,Ma Planète Verte,507
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,498
145392792632,WWF-France,WWF-France,484
123875660969932,ENGIE,ENGIE,478
386684741892399,Santé Sénior,These ads ran without a disclaimer,473
176105152520900,Carrefour,Carrefour,472
9025047571,Amnesty International France,Amnesty International France,468
1682924348618893,ekWateur,ekWateur,463
170791994261,Audi France,Audi France,454
128829237956,easyJet,easyJet,445
128829237956,easyJet,These ads ran without a disclaimer,445
323618734452141,Brief.me,Brief.me,441
631909843561408,Nespresso,Nespresso,422
415933311755954,"Agence d'Aménagement durable,d'Urbanisme et d'Energie de la Corse",These ads ran without a disclaimer,401
279757933824,Parlement européen en France,Parlement européen en France,393
256197435586,Handicap International - Humanity & Inclusion,Handicap International,388
446043358936202,Tacotax,These ads ran without a disclaimer,388
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,367
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,364
206816856023737,BIODERMA,BIODERMA,355
5987042235,Ben & Jerry's,Ben & Jerry's,354
93745060700,CARE France,CARE France,350
328227120690505,Ministère du Travail,Ministère du Travail,334
367722810503896,Couverture Santé Senior,These ads ran without a disclaimer,333
103906211029800,Protégeons les droits des filles réfugiées,Antevenio Publicité,325
173206532693654,VELUX,VELUX,317
99340666617,Nettoyons la Nature,E.Leclerc,316
112558237309147,iji.eco,iji.eco,309
265420476920,Médecins du Monde France,These ads ran without a disclaimer,306
173257392750594,Commission européenne en France,Commission européenne en France,306
186862581340655,"Cap-Vietnam, le Vietnam pour et  par les internautes","Cap-Vietnam, le Vietnam pour et  par les internautes",303
106554597767346,UNHCR France,UNHCR France,299
495762937483621,Les Lignes Bougent,Les Lignes Bougent,296
312006269003808,ilek,ilek,271
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),269
114676815236667,AIDES,AIDES,265
87337929751,C8,These ads ran without a disclaimer,265
111174977254488,BeOcean,Killyan Jean Rene  Preterre,262
105439357509813,Epanda,Guillaume Martin,262
108617820801441,Masque XIX,Solfra,262
39435457457,Greenpeace France,These ads ran without a disclaimer,259
482625248609253,Devis.io,Dolead,255
228138770684713,tylko,These ads ran without a disclaimer,250
190767987677923,Institut Curie,Institut Curie,242
124743098139710,Alternativi,Jean Belhache,233
840589819457002,Break Poverty Foundation,Break Poverty Foundation,232
139331629464336,EDF,EDF,231
293970490688629,François Alfonsi (Officiel),FAlfonsi,230
392341217527576,Gouvernement,These ads ran without a disclaimer,229
108961334029224,Sumofus en français,SumOfUs,228
121852905877303,900.care,Aymeric Grange,228
788486567982191,Direction Générale des Douanes et Droits Indirects,La Direction Générale des Douanes et Droits Indirects (DGDDI),227
1684441541609223,Pour l'Éco,Pour l'Éco,226
61952884477,Sarenza,Sarenza,226
1642011509390003,Wizbii Money,Wizbii,225
283023079280975,Love Beauty & Planet,Unilever France,219
2002323729992518,Planète Panda,BARBIER QUENTIN,214
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,210
101714984908382,Masque Protector,SONICS,210
721787671263055,Banque Française Mutualiste,Banque Française Mutualiste,208
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,207
110844793649736,Ekoblue,Ekoblue,206
112274740305770,Sauvons les koalas,These ads ran without a disclaimer,205
103146727990,Ministère de l'Intérieur,Ministère de l'Intérieur,203
2177632682563843,Òmnium Civil Rights Europe,These ads ran without a disclaimer,200
144056732332683,CANAL+,These ads ran without a disclaimer,197
278641698813937,Fondation Raoul Follereau,Fondation Raoul Follereau,197
384955301529344,Institut du Cerveau - Paris Brain Institute,ICM - Institut du Cerveau et de la Moelle épinière,197
1757782394471400,Brut,Brut,191
110000413816860,Mes-Soutiens - HCR France,Orixa Media,191
413401852112275,La Mie de Pain,LA MIE DE PAIN,185
194934737335658,foodwatch France,foodwatch France,183
512413372428054,L'Essentiel par Macif,L'Essentiel par Macif,183
113183856757963,Just Green Accessories,Margaux Butterlin,181
751329708372566,Guillaume Corpard,These ads ran without a disclaimer,180
108976890348,Vaincre la Mucoviscidose,Vaincre la Mucoviscidose,178
103076777777022,My Little Bee,These ads ran without a disclaimer,177
106318370709727,Écolid,Romain Alexandre Clairand,173
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,169
100707905881,Plan International France,Plan International France,168
213536435417677,Fondation de France,Fondation de France,162
268836617151334,Fille Unique,Sébastien Jean-Pierre Paul Henri Gourdon,160
111813051744,ACTION ENFANCE,ACTION ENFANCE,159
120780477955028,Secours populaire,Secours populaire,159
383882575328659,GRTgaz,These ads ran without a disclaimer,157
194205247377292,Société de Saint Vincent de Paul - National,Société de Saint Vincent de Paul - National,155
380039845369159,SHEIN,These ads ran without a disclaimer,155
363625503719215,Défenseur des droits,Défenseur des droits,154
9547656123,Croix-Rouge française,Croix-Rouge française,154
305608429284,EU Environment,EU Environment,152
335960503093998,Avenir de la Culture,Avenir de la Culture,152
101559219152,Fondation Tara Océan,Fondation Tara Océan,152
111893580494228,Protection des réfugiés,Antevenio Publicité,151
100255681599847,Veolia France,Veolia,150
99340666617,Nettoyons la Nature,These ads ran without a disclaimer,150
221292842061953,Love my country,These ads ran without a disclaimer,150
449003618508780,France Parrainages,France Parrainages,149
358478628257486,Canopée,Sylvain Angerand,147
350866824756,L214 Ethique et Animaux,L214 Ethique et Animaux,146
101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,146
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,144
291803297264,Aide et Action - Officiel,Aide et Action - Officiel,143
256197435586,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,143
115053675196280,Nana,Nana,139
1456586344652734,MAIF,These ads ran without a disclaimer,138
106597467555830,Incontournables de 2020,These ads ran without a disclaimer,136
475475545864761,Curieux,Curieux,135
176663393102,La Cimade,La Cimade,134
328921041030393,La revue économique,These ads ran without a disclaimer,132
319577888807977,Vattenfall France,Vattenfall France,132
103088357709106,D'Umani : Elections municipales de Zonza / Santa-Lucia 2020,These ads ran without a disclaimer,131
172759396078070,FDJ,FDJ,129
278422012257681,Le Pacte,Le Pacte,128
426832457756357,Mes Soutiens,These ads ran without a disclaimer,128
116070051527,Mediapart,Mediapart,127
1967501576850496,Programme isolation habitat 1 euro,These ads ran without a disclaimer,126
178362315106,European Parliament,These ads ran without a disclaimer,126
201716123952571,Mon épargne et moi,Natixis Investment Managers,125
168901966533877,Institut Montaigne,Institut Montaigne,125
144435342299306,La Méridionale,La Méridionale,124
103692711104070,Écobag'S,Romain Alexandre Clairand,124
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,120
301330928866,IVG : vous hésitez ? Venez en parler !,IVG : vous hésitez ? Venez en parler !,120
38803022844,Haut et Court,Luckytime,119
366230539391,Intermarché,These ads ran without a disclaimer,119
172397500143863,RhinoShield,These ads ran without a disclaimer,115
221325414598759,Macif Course au Large,Macif Course au Large,115
123316887684644,Marine Le Pen,Rassemblement National,114
137102989708866,Fondation Jérôme Lejeune,Fondation Jérôme Lejeune,113
335868279790722,CIWF France,These ads ran without a disclaimer,112
383882575328659,GRTgaz,GRTgaz,110
21254500749,Rassemblement National,Rassemblement National,109
424922021243063,Loopsider,Loopsider,107
1643185362449069,Mon Homéo Mon Choix,These ads ran without a disclaimer,107
114128620230242,Front Populaire,Michel Onfray,106
298188530537614,Pousse Pousse,Pousse Pousse,105
262357637197744,ADMR 2A,These ads ran without a disclaimer,105
6797246895,Ralph Lauren,Ralph Lauren,105
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,104
433599217105740,Pimpant,Amandine Frery,102
107344969338,"MSA, la sécurité sociale agricole",CAISSE CENTRALE DE MUTUALITE SOCIALE AGRICOLE,101
730681673751055,"Médicis, la mutuelle retraite des indépendants et entrepreneurs",Mutuelle Médicis,101
176105152520900,Carrefour,These ads ran without a disclaimer,≤100
126602644034987,Technitoit,Technitoit,≤100
378521308935196,Running Heroes,Sport Heroes,≤100
106023617726762,Dispositif Aides,These ads ran without a disclaimer,≤100
122258856407624,Urgence Domicile,Urgence Domicile,≤100
282242479182060,Tik Tok - including musical.ly advertising,These ads ran without a disclaimer,≤100
100845797055125,LinkedIn,These ads ran without a disclaimer,≤100
234768440060997,FemuQuì,FemuQuì Ventures,≤100
108943410672988,WeSpring,WeSpring,≤100
1598764970362891,Jordan Bardella,Jordan Bardella,≤100
8340223883,Avaaz,Avaaz,≤100
271026783614,Fondation ARC pour la recherche sur le cancer,Fondation ARC pour la recherche sur le cancer,≤100
112547358788607,CCFD-Terre Solidaire,These ads ran without a disclaimer,≤100
301330928866,IVG : vous hésitez ? Venez en parler !,These ads ran without a disclaimer,≤100
730681673751055,"Médicis, la mutuelle retraite des indépendants et entrepreneurs",These ads ran without a disclaimer,≤100
550490141980385,Brief.eco,Brief.me,≤100
