Page ID,Page Name,Disclaimer,Amount Spent (EUR)
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,2745
122037308191612,Make.org,Make.org,780
1499953430289314,RDI.Guyane,Marc Henri Ho-A-Chuck,476
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,269
134758756537113,Orange,Orange,216
2029944603927727,Albioma,Albioma,215
109851924029348,"Pollution à Montravel, Guyane",These ads ran without a disclaimer,211
1747246615389855,Wender Karam,These ads ran without a disclaimer,210
606852296486111,Alliance citoyenne d'Apatou,These ads ran without a disclaimer,204
1402366800013737,Comité de soutien à PATRICK LECANTE pour les municipales,These ads ran without a disclaimer,175
177160299635336,Bbamboo,Bbamboo,175
9359316996,L'Express,These ads ran without a disclaimer,113
2029944603927727,Albioma,These ads ran without a disclaimer,≤100
1376833862593416,Fédération APAJH,Fédération APAJH,≤100
177774882691502,WORLD MOBILE,These ads ran without a disclaimer,≤100
189994378314619,Négrophobie & Sexophobie,Jean-Philippe Branchi,≤100
447511415455055,Salsa Picante Guyane,These ads ran without a disclaimer,≤100
174141250200144,RG Services,These ads ran without a disclaimer,≤100
111644172267039,Jurisguyane,These ads ran without a disclaimer,≤100
629829460544817,Tròp Violans 973,These ads ran without a disclaimer,≤100
107872217441125,mickael_guacide,These ads ran without a disclaimer,≤100
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,≤100
641811412930374,Canada Visa Services,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
508634236383578,Forma'kids973,These ads ran without a disclaimer,≤100
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
100163188782370,LR - Républicains  Guyane,Stéphane Augustin,≤100
701773346887333,Fédération Nationale des Élus Républicains et Radicaux,These ads ran without a disclaimer,≤100
343522265756627,Chéri,These ads ran without a disclaimer,≤100
964795523583440,François Ringuet,These ads ran without a disclaimer,≤100
1824501227848210,Rollin Bellony Action,These ads ran without a disclaimer,≤100
1435074753238052,Les 500 Frères Officiel,These ads ran without a disclaimer,≤100
1673373176208218,Lénaïck ADAM,Lénaïck ADAM,≤100
949800081717760,SYSTEKO,These ads ran without a disclaimer,≤100
105967730765149,_floflo_973,These ads ran without a disclaimer,≤100
341942132652310,Ministère des solidarités et de la santé,These ads ran without a disclaimer,≤100
113890360057398,France Assos Santé Guyane,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1849098268740324,System Lease,These ads ran without a disclaimer,≤100
109021167557191,Kaz'Avenir LGBT+,These ads ran without a disclaimer,≤100
207651769646474,Association AQUAA,These ads ran without a disclaimer,≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
133606573350437,Agefiph,These ads ran without a disclaimer,≤100
0,Instagram User 9211980655,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
821138848069683,Crédit Agricole Mutuel Martinique-Guyane,These ads ran without a disclaimer,≤100
437290166297323,Myastro,These ads ran without a disclaimer,≤100
573929622672998,Cluster GAT Caraibes,These ads ran without a disclaimer,≤100
103920738028719,ljwt.photo,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
109683423840398,HSE Guyane,These ads ran without a disclaimer,≤100
1946150992264027,Hitbox Bar,These ads ran without a disclaimer,≤100
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,≤100
108217120986234,King Of Clothes,These ads ran without a disclaimer,≤100
480305829018059,Badland Brawl,These ads ran without a disclaimer,≤100
805505439523223,ENERGY OBSERVER,ENERGY OBSERVER,≤100
104917291251176,feyturn_cbn,These ads ran without a disclaimer,≤100
974459525936546,It's Canada Time - itscanadatime,These ads ran without a disclaimer,≤100
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100
281904555771607,Gool Gadgets Go,These ads ran without a disclaimer,≤100
439170239457452,Les Racines du Succès,These ads ran without a disclaimer,≤100
2284936095097851,wonderky,These ads ran without a disclaimer,≤100
193863317737,eToro,These ads ran without a disclaimer,≤100
1705588829739714,Platinum_officiel,These ads ran without a disclaimer,≤100
171642822876384,Réunion la 1ère,These ads ran without a disclaimer,≤100
1564092337223468,Cabinet Preziosi Ceccaldi Albenois,These ads ran without a disclaimer,≤100
1570998009779102,Atéa Créations,These ads ran without a disclaimer,≤100
337196160276533,Kreyol pailles,These ads ran without a disclaimer,≤100
170426283010734,Nouvelle-calédonie la 1ère,These ads ran without a disclaimer,≤100
381311761885808,Guyane la 1ère,These ads ran without a disclaimer,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
319166328181058,IFSA,These ads ran without a disclaimer,≤100
0,Instagram User 3274099979,These ads ran without a disclaimer,≤100
228889237487093,Expats Medical Insurance,These ads ran without a disclaimer,≤100
578694572243499,Matthias Mazur,These ads ran without a disclaimer,≤100
1499953430289314,RDI.Guyane,These ads ran without a disclaimer,≤100
627938454352449,Commerce Engagé Guyane,These ads ran without a disclaimer,≤100
11450328749,Jean-Luc Mélenchon,La France insoumise,≤100
107150486027181,Milenis,These ads ran without a disclaimer,≤100
784009015121501,Kendy Polestin,These ads ran without a disclaimer,≤100
100339704951175,Aide familiale non remboursable,These ads ran without a disclaimer,≤100
