Page ID,Page Name,Disclaimer,Amount Spent (EUR)
125045644698177,Moetai Brotherson,These ads ran without a disclaimer,118
9359316996,L'Express,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
290438927732837,Steeve Hamblin,These ads ran without a disclaimer,≤100
101001478313701,Assistance familiale,These ads ran without a disclaimer,≤100
937608379673834,"Isabelle Sachet, Ministre de la famille",These ads ran without a disclaimer,≤100
1719859464782636,Assistance familiale,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
108016980832268,Assistances Financières du Gouvernement - AFG,These ads ran without a disclaimer,≤100
195724564539458,Donergy,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
1684829008403167,Ferme Permacole de Tipapa,These ads ran without a disclaimer,≤100
105958271148250,Les P'tits Bio Tahiti,These ads ran without a disclaimer,≤100
106580774759029,Enquête sur les violences familiales,These ads ran without a disclaimer,≤100
589505761936650,Punua Sonia officiel,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
170573969666722,PCV,These ads ran without a disclaimer,≤100
101749315254838,Financement non remboursable participatif,These ads ran without a disclaimer,≤100
109933040628840,Bourse Familiale,These ads ran without a disclaimer,≤100
392414218033587,Pacific Islands Students Fighting Climate Change,These ads ran without a disclaimer,≤100
752652674851274,OPT.PF,These ads ran without a disclaimer,≤100
100162058501295,Contribution sociale de solidarité,These ads ran without a disclaimer,≤100
102386624735453,Aide gouvernementale et subventions de la Bourse Familiale,These ads ran without a disclaimer,≤100
106502614407331,Amplivo ECOVO,These ads ran without a disclaimer,≤100
109845107083417,Bravo novel,These ads ran without a disclaimer,≤100
111975152184324,"Samdech Hun Sen, Cambodian Prime Minister",These ads ran without a disclaimer,≤100
114355443335384,Palm creation Tahiti,These ads ran without a disclaimer,≤100
115591005188475,Global Times,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
102674628464801,We Need to Talk About West Papua,These ads ran without a disclaimer,≤100
102945251877396,Assistance familiale,These ads ran without a disclaimer,≤100
115366836686423,RegrowAustralia,These ads ran without a disclaimer,≤100
101328828591341,Harmoninie A,These ads ran without a disclaimer,≤100
113629980497570,Pedro Castro Al Parlamento Andino,These ads ran without a disclaimer,≤100
100208565186775,UPF Oceania,These ads ran without a disclaimer,≤100
2133370100034168,Gadgets Go,These ads ran without a disclaimer,≤100
101122141695582,ONU Femmes officiel,These ads ran without a disclaimer,≤100
412082432202778,Association de défense des consommateurs polynésiens - Te Tia Ara,These ads ran without a disclaimer,≤100
106363751048047,"Voyance médium, magnétiseur",These ads ran without a disclaimer,≤100
102634248135638,Super Roman,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
105301807584517,Aito - Life Coach Tahiti,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
105649531242588,Don et Assistance non remboursable,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
125292411482862,New Zealand Ministry of Foreign Affairs and Trade,These ads ran without a disclaimer,≤100
113574883420122,Aide Financière Non Remboursable de l'ONU,These ads ran without a disclaimer,≤100
293273929940,Tavini Huira'atira,These ads ran without a disclaimer,≤100
103099385000776,Ocean Better,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
427810900693420,MF Fire,These ads ran without a disclaimer,≤100
106838414264473,adventuresofarchieandveronica,These ads ran without a disclaimer,≤100
2120039591371175,Wondershare FamiSafe,These ads ran without a disclaimer,≤100
114990357010308,الشيخ أحمد الوزير,These ads ran without a disclaimer,≤100
109253394199032,Excellent book,These ads ran without a disclaimer,≤100
