Page ID,Page Name,Disclaimer,Amount Spent (EUR)
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,3846
1456586344652734,MAIF,MAIF,3201
2416262145082004,Petits Gestes Guadeloupe,NEW REGIE,2133
407236749324296,Olivier SERVA,These ads ran without a disclaimer,1971
122037308191612,Make.org,Make.org,1720
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,816
113810323787774,Guy Losbar,These ads ran without a disclaimer,668
352013475266904,Eco Soley Guadeloupe,These ads ran without a disclaimer,657
543871662412048,Lendopolis,Lendopolis,518
114289468691818,Sunzil Caraïbes,These ads ran without a disclaimer,429
583755248443877,L'École Française,These ads ran without a disclaimer,353
134758756537113,Orange,Orange,334
177160299635336,Bbamboo,Bbamboo,332
641811412930374,Canada Visa Services,These ads ran without a disclaimer,305
625195377522236,Concours Outremer Guadeloupe,These ads ran without a disclaimer,295
118785262841340,Les Comptoirs de la Bio Jarry,These ads ran without a disclaimer,265
1981871332106127,Programme pour la Transition Energétique,Transition Energie,252
398533820549394,Hassan Meubles,These ads ran without a disclaimer,250
321102471315265,Elues Locales,Elueslocales.fr,186
2029944603927727,Albioma,These ads ran without a disclaimer,172
107436934015680,Caribaqua Technology,Vincent Mongis,168
9359316996,L'Express,These ads ran without a disclaimer,156
958969367468003,CCI des Îles de Guadeloupe,CCI des Îles de Guadeloupe,150
221463288330115,Rody Tolassy,Rody Luidgi Tolassy,150
747305495374308,Mr. Bricolage Guadeloupe,These ads ran without a disclaimer,145
1695889637360770,Hempire,These ads ran without a disclaimer,139
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,120
1616520151709093,Néhémie Martin Psychologue,These ads ran without a disclaimer,113
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,107
315128515946440,Day's Home Détente,These ads ran without a disclaimer,106
100900064763958,mickael_guacide,These ads ran without a disclaimer,103
366698007272365,Bourse-Familiale,These ads ran without a disclaimer,≤100
2029944603927727,Albioma,Albioma,≤100
435373203585535,Depollution Moteurs FWI,These ads ran without a disclaimer,≤100
432531053922498,Karacoli  Beach & Spa,These ads ran without a disclaimer,≤100
412408722471031,Nadège Montout,These ads ran without a disclaimer,≤100
2416262145082004,Petits Gestes Guadeloupe,These ads ran without a disclaimer,≤100
439170239457452,Les Racines du Succès,These ads ran without a disclaimer,≤100
472866670133135,Bassiniac,These ads ran without a disclaimer,≤100
790016621153660,Belly's Food,These ads ran without a disclaimer,≤100
101693853932935,Cluster Maritime Guadeloupe,These ads ran without a disclaimer,≤100
614242862562799,Aide familiale financement non remboursable,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
1167245179974687,PAP  Penser et Agir pour Pointe à Pitre,These ads ran without a disclaimer,≤100
106963237554444,Damien Lahmi,These ads ran without a disclaimer,≤100
854582554588954,Ferdy Louisy,These ads ran without a disclaimer,≤100
662356070897853,Annick Pétrus,These ads ran without a disclaimer,≤100
321416188290976,Ma p'tite lunetterie,These ads ran without a disclaimer,≤100
107645640029425,GreenYellow Antilles - Guyane,These ads ran without a disclaimer,≤100
189994378314619,Négrophobie & Sexophobie,Jean-Philippe Branchi,≤100
301349536655328,Anbafey Gwada,These ads ran without a disclaimer,≤100
526348997710227,No plastic in my sea,No plastic in my sea,≤100
1045912102105706,Allianz Seymour-Germain,These ads ran without a disclaimer,≤100
942165625922967,Cabinet d'Avocats Dominique Deporcq,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
223316141015596,Centre Commercial Destreland,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
147212252552427,Salon des Maires et des Collectivités Locales SMCL,Benoit Fonters,≤100
1414323615487438,Harry Durimel,These ads ran without a disclaimer,≤100
138533623013230,Radio Transat,These ads ran without a disclaimer,≤100
810608775750115,Cherry Joe Louis,These ads ran without a disclaimer,≤100
867884009969082,En avant toutes,En avant toute(s),≤100
949800081717760,SYSTEKO,These ads ran without a disclaimer,≤100
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,≤100
133606573350437,Agefiph,These ads ran without a disclaimer,≤100
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,≤100
101188381421937,Financement sans remboursement,These ads ran without a disclaimer,≤100
198165850698444,Nora Delapierre,These ads ran without a disclaimer,≤100
2090071104555879,Maiss Cuisine,These ads ran without a disclaimer,≤100
1761882310713119,Yves Rocher Antilles,These ads ran without a disclaimer,≤100
578694572243499,Matthias Mazur,These ads ran without a disclaimer,≤100
341942132652310,Ministère des solidarités et de la santé,These ads ran without a disclaimer,≤100
437290166297323,Myastro,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
701773346887333,Fédération Nationale des Élus Républicains et Radicaux,These ads ran without a disclaimer,≤100
1394783817493423,Bigbangparty LGBT,These ads ran without a disclaimer,≤100
297216183943797,Indy (ex Georges),These ads ran without a disclaimer,≤100
106534694118126,Bourses familiales,These ads ran without a disclaimer,≤100
107150486027181,Milenis,These ads ran without a disclaimer,≤100
281904555771607,Gool Gadgets Go,These ads ran without a disclaimer,≤100
