Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,≤100
179106818789009,Facebook,Facebook,≤100
107898832590939,European Commission,European Commission,≤100
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,≤100
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,≤100
305608429284,EU Environment,Commission européenne en France,≤100
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,≤100
229791257568789,Assureur Français,These ads ran without a disclaimer,≤100
1456586344652734,MAIF,These ads ran without a disclaimer,≤100
282242479182060,Tik Tok - including musical.ly advertising,These ads ran without a disclaimer,≤100
