Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,7621
39435457457,Greenpeace France,Greenpeace France,6617
1981871332106127,Programme pour la Transition Energétique,Transition Energie,5076
110264154014366,Les Gargouilles,Les Gargouilles,4345
172991730153781,Energies subventions,David Itah,3233
314443337102,GRDF,GRDF,3062
1329380840472696,Panneaux solaire,Conseil Solaire,2994
179106818789009,Facebook,Facebook,2918
1854457991285846,Eco Energie,Transition Energies,2878
480418118654568,E.Leclerc,E.Leclerc,2607
122037308191612,Make.org,Make.org,2417
335868279790722,CIWF France,CIWF France,2293
107898832590939,European Commission,European Commission,2283
173159234432,UNICEF France,UNICEF France,2145
886390848092524,TGV INOUI,These ads ran without a disclaimer,2138
104450921005395,Isoletamaison.com,OPTIM HABITAT PLUS,2109
426832457756357,Mes Soutiens,ORIXA MEDIA,1959
1456586344652734,MAIF,MAIF,1876
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,1869
392341217527576,Gouvernement,Gouvernement,1869
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,1803
285190805468917,Meilleur Placement,Philippe Jaen Aime,1747
265420476920,Médecins du Monde France,Médecins du Monde France,1622
1863804550583555,Iso Service,Alon Tebeka,1494
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,1462
2414434162121224,Ma Pompe à Chaleur,These ads ran without a disclaimer,1333
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,1313
312006269003808,ilek,ilek,1293
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),1280
1539166179460431,Isolation des combles,These ads ran without a disclaimer,1204
14053295787,Oxfam France,Oxfam France,1179
108943410672988,WeSpring,These ads ran without a disclaimer,1099
165039663531531,Minecraft,These ads ran without a disclaimer,1097
154418871253173,Harmonie Mutuelle,Harmonie Mutuelle,1064
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,1039
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,1034
2420487738043690,Energie-solaire.io,Dolead,1018
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,956
176105152520900,Carrefour,Carrefour,954
123875660969932,ENGIE,ENGIE,928
107634060723463,Subventions Pompe à Chaleur,These ads ran without a disclaimer,871
287465005451475,Meilleur Habitat De France,LA PLATEFORME DU LEAD,862
99340666617,Nettoyons la Nature,E.Leclerc,827
305608429284,EU Environment,Commission européenne en France,819
340654233462962,Maplanèteverte,Ma Planète Verte,785
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,784
9025047571,Amnesty International France,Amnesty International France,757
491891557553645,ifaw,ifaw,734
139719006082496,Husqvarna,Husqvarna,733
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,715
279757933824,Parlement européen en France,Parlement européen en France,705
1682924348618893,ekWateur,ekWateur,703
583755248443877,L'École Française,These ads ran without a disclaimer,675
116455261255,Action contre la Faim (France),Action contre la Faim (France),673
375585826133048,Les énergies renouvelables,These ads ran without a disclaimer,669
170791994261,Audi France,Audi France,654
139331629464336,EDF,EDF,639
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,639
145392792632,WWF-France,WWF-France,624
155317537884626,Ordre de Malte France,Ordre de Malte France,617
128829237956,easyJet,easyJet,606
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,596
816074091903635,Comme Avant,Comme Avant,592
163061217080336,Enedis,Enedis,583
5987042235,Ben & Jerry's,Ben & Jerry's,569
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,567
1642011509390003,Wizbii Money,Wizbii,565
631909843561408,Nespresso,Nespresso,538
112044360267952,France Écologie,France Écologie,532
173206532693654,VELUX,VELUX,526
256197435586,Handicap International - Humanity & Inclusion,Handicap International,522
819996268096190,Identity & Democracy Party,Identity & Democracy Party,515
101714984908382,Masque Protector,SONICS,511
1981871332106127,Programme pour la Transition Energétique,These ads ran without a disclaimer,497
788486567982191,Direction Générale des Douanes et Droits Indirects,La Direction Générale des Douanes et Droits Indirects (DGDDI),497
103858947728029,Pompe a chaleur economie,Joseph Jonathan Kahloun,496
206816856023737,BIODERMA,BIODERMA,494
114676815236667,AIDES,AIDES,478
173257392750594,Commission européenne en France,Commission européenne en France,473
360242054162337,Ooinvestir,Ooinvestir,466
110422427164783,isolations-1euro-artisan.com,LA PLATEFORME DU LEAD,464
124743098139710,Alternativi,Jean Belhache,463
121852905877303,900.care,Aymeric Grange,458
229791257568789,Assureur Français,These ads ran without a disclaimer,457
93745060700,CARE France,CARE France,456
323618734452141,Brief.me,Brief.me,449
495762937483621,Les Lignes Bougent,Les Lignes Bougent,447
43083507654,Enercoop,Enercoop,440
110844793649736,Ekoblue,Ekoblue,430
386684741892399,Santé Sénior,These ads ran without a disclaimer,421
108617820801441,Masque XIX,Solfra,419
2002323729992518,Planète Panda,BARBIER QUENTIN,417
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,416
105034387926765,Primes & Aides Rénov,These ads ran without a disclaimer,406
412121566060960,Panneaux Solaires France,These ads ran without a disclaimer,405
328227120690505,Ministère du Travail,Ministère du Travail,404
392341217527576,Gouvernement,These ads ran without a disclaimer,401
106554597767346,UNHCR France,UNHCR France,382
112558237309147,iji.eco,iji.eco,377
367722810503896,Couverture Santé Senior,These ads ran without a disclaimer,375
283023079280975,Love Beauty & Planet,Unilever France,363
512413372428054,L'Essentiel par Macif,L'Essentiel par Macif,356
265420476920,Médecins du Monde France,These ads ran without a disclaimer,350
103146727990,Ministère de l'Intérieur,Ministère de l'Intérieur,348
196536624266116,Bâtiment photovoltaique,Philippe Manuel Clement Bourd,346
112274740305770,Sauvons les koalas,These ads ran without a disclaimer,344
1757782394471400,Brut,Brut,342
301330928866,IVG : vous hésitez ? Venez en parler !,IVG : vous hésitez ? Venez en parler !,336
1684441541609223,Pour l'Éco,Pour l'Éco,322
1731162750449819,Région Nouvelle-Aquitaine,Région Nouvelle-Aquitaine,322
87337929751,C8,These ads ran without a disclaimer,321
2363689583957802,Nouvelle Réduction d'Impôt 2021,These ads ran without a disclaimer,319
380039845369159,SHEIN,These ads ran without a disclaimer,319
108961334029224,Sumofus en français,SumOfUs,318
61952884477,Sarenza,Sarenza,308
39435457457,Greenpeace France,These ads ran without a disclaimer,307
482625248609253,Devis.io,Dolead,307
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),307
103906211029800,Protégeons les droits des filles réfugiées,Antevenio Publicité,305
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,293
