Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1456586344652734,MAIF,MAIF,3436
122037308191612,Make.org,Make.org,1691
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,780
171078843510820,Osmoseur Caraïbes,Fabrice Jean-Marie,764
107436934015680,Caribaqua Technology,Vincent Mongis,636
158198988079721,People Beach,These ads ran without a disclaimer,500
114854338560674,Laisse-moi te dire,Laisse-moi te dire,437
177160299635336,Bbamboo,Bbamboo,411
583755248443877,L'École Française,These ads ran without a disclaimer,353
134758756537113,Orange,Orange,293
516413351844081,Caribbean Food,These ads ran without a disclaimer,207
117925562944674,Oliwon Lakarayib,Elsa Juston,205
2029944603927727,Albioma,These ads ran without a disclaimer,189
102166354721246,Mouvement pour l'Ouverture des Ecoles en Martinique,Olivier Gaston Prosper Teboul,180
104345434249659,ENR Free Martinique,Laurent Périé,178
105823454235362,Réflexions identitaires,Sylvère Anicet Farraudiere,175
472866670133135,Bassiniac,These ads ran without a disclaimer,170
9359316996,L'Express,These ads ran without a disclaimer,161
318217881844035,Dalendo,Michaël Paul Cypria,160
321102471315265,Elues Locales,Elueslocales.fr,149
641811412930374,Canada Visa Services,These ads ran without a disclaimer,148
100900064763958,mickael_guacide,These ads ran without a disclaimer,118
114289468691818,Sunzil Caraïbes,These ads ran without a disclaimer,116
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,108
105513012850005,Jus et confitures Royal - Officiel,These ads ran without a disclaimer,107
2029944603927727,Albioma,Albioma,102
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,≤100
2023257841241260,Manuéla Kéclard-Mondésir,Manuéla Mondesir,≤100
1629772583807735,Make-up Studio Martinique,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
104681474816493,Mourad Abd-Ed-Dayem,Mourad Abd-Ed-Dayem,≤100
2019323631648895,ICEA Catholic Institute,These ads ran without a disclaimer,≤100
106963237554444,Damien Lahmi,These ads ran without a disclaimer,≤100
106896477904258,Renaissance Martinique,Emmanuel Théodore Amédée Arthur de Reynal de Saint-Michel,≤100
189994378314619,Négrophobie & Sexophobie,Jean-Philippe Branchi,≤100
344204282355961,Anbafey.com,These ads ran without a disclaimer,≤100
470671096746812,Martinique Biosphère,These ads ran without a disclaimer,≤100
821572254528047,Association Féministe Martiniquaise  "Culture Egalite",These ads ran without a disclaimer,≤100
107645640029425,GreenYellow Antilles - Guyane,These ads ran without a disclaimer,≤100
100769372040458,FMF Martinique,FMF Martinique,≤100
1471898269773370,Tania Chaussures,These ads ran without a disclaimer,≤100
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,≤100
1317563794921502,Oceanoplastic,These ads ran without a disclaimer,≤100
949800081717760,SYSTEKO,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
156029071084699,Centre Commercial Place d'Armes,These ads ran without a disclaimer,≤100
189994378314619,Négrophobie & Sexophobie,These ads ran without a disclaimer,≤100
357606881247044,Prairie amant,These ads ran without a disclaimer,≤100
106886221354261,Eugène Larcher,These ads ran without a disclaimer,≤100
867884009969082,En avant toutes,En avant toute(s),≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
378448625699086,La SARA,These ads ran without a disclaimer,≤100
