Page ID,Page Name,Disclaimer,Amount Spent (EUR)
2029944603927727,Albioma,Albioma,160
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,125
2029944603927727,Albioma,These ads ran without a disclaimer,≤100
177160299635336,Bbamboo,Bbamboo,≤100
1825291894417560,ADIM Mayotte,These ads ran without a disclaimer,≤100
105444314638046,Cresso Groupe Service,These ads ran without a disclaimer,≤100
583755248443877,L'École Française,These ads ran without a disclaimer,≤100
321102471315265,Elues Locales,Elueslocales.fr,≤100
2295075494080793,Association Collectif des citoyens de mayotte,These ads ran without a disclaimer,≤100
186397495216968,"Maud Petit, députée du Val-de-Marne",These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
840589819457002,Break Poverty Foundation,Break Poverty Foundation,≤100
593503921134741,Nage avec les tortues,These ads ran without a disclaimer,≤100
653470765069812,HARAKA LE TRI,These ads ran without a disclaimer,≤100
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,≤100
111513927014965,Plateforme Avantages,These ads ran without a disclaimer,≤100
100282088039122,Le Temps d'Agir,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,≤100
107340221097048,Salariés des Commerces alimentaires de proximité et magasins Bio,These ads ran without a disclaimer,≤100
104354777763010,Mila Istawi,Mila Istawi,≤100
122037308191612,Make.org,Make.org,≤100
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,≤100
341942132652310,Ministère des solidarités et de la santé,These ads ran without a disclaimer,≤100
133606573350437,Agefiph,These ads ran without a disclaimer,≤100
109417613904252,Soibahadine Ibrahim Ramadani,These ads ran without a disclaimer,≤100
171642822876384,Réunion la 1ère,These ads ran without a disclaimer,≤100
102204495033537,Free-Comores,These ads ran without a disclaimer,≤100
362292347604470,Goodbye Plastic,These ads ran without a disclaimer,≤100
107975977365582,Soibahadine Ibrahim Ramadani,These ads ran without a disclaimer,≤100
100213358175272,Mr Assani Soufiane Ayouba,These ads ran without a disclaimer,≤100
383109572108478,Syndicat Salariés des Entreprises de Service à la Personne FO,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
154069625410847,Agir pour l'Environnement Moi j'y crois,These ads ran without a disclaimer,≤100
179760352376771,13e Parallèle,These ads ran without a disclaimer,≤100
109509397152844,S’unir pour un nouvel élan,These ads ran without a disclaimer,≤100
1292178437495585,Canal+ Mayotte,These ads ran without a disclaimer,≤100
119811062753310,Anne-Constance Onghéna,Anne-Constance Gilberte Paula Onghéna,≤100
113109233792727,Co'reindré,These ads ran without a disclaimer,≤100
103942024477355,Social Financy Groupe,These ads ran without a disclaimer,≤100
190010265716,Cisco Networking Academy,These ads ran without a disclaimer,≤100
537076756820902,MDM Tsingoni,These ads ran without a disclaimer,≤100
11450328749,Jean-Luc Mélenchon,La France insoumise,≤100
101871961340545,Pamandzi Island,These ads ran without a disclaimer,≤100
303581557018956,Jeunesse en Mouvement Vision 2030,These ads ran without a disclaimer,≤100
379108192901490,CVJ Conseil,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
107380783977255,Red Cole ️,These ads ran without a disclaimer,≤100
209279159441817,Caribou Mamoudzou,These ads ran without a disclaimer,≤100
154087694129,Causeur.fr,These ads ran without a disclaimer,≤100
133411280633729,Fédération ALMA,Fédération ALMA,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
170426283010734,Nouvelle-calédonie la 1ère,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
788477174582031,Africa CDC,These ads ran without a disclaimer,≤100
319166328181058,IFSA,These ads ran without a disclaimer,≤100
784009015121501,Kendy Polestin,These ads ran without a disclaimer,≤100
1488251128118457,Right for Education Africa,These ads ran without a disclaimer,≤100
102207404498334,Bourse-familiale,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
1217764358288125,Chekpays,Alexis Ludovic Léo Dru-Sauer,≤100
106233214701518,Direction des bourses financière et aide non remboursable,These ads ran without a disclaimer,≤100
1564092337223468,Cabinet Preziosi Ceccaldi Albenois,These ads ran without a disclaimer,≤100
647298359214305,Aide sociale,These ads ran without a disclaimer,≤100
1195760957146637,Lékol du bonheur - LDB,These ads ran without a disclaimer,≤100
100339704951175,Aide familiale non remboursable,These ads ran without a disclaimer,≤100
107025184138790,Bourse Familiale,These ads ran without a disclaimer,≤100
854618054606466,Crefom Reunion,These ads ran without a disclaimer,≤100
112110136948967,Financement Non Remboursable Bourse Familiale,These ads ran without a disclaimer,≤100
1453550651432821,Truth-Mideast,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
1597089123919661,Les Éditions du Dauphin,These ads ran without a disclaimer,≤100
499216563439238,Politique Guadeloupe,These ads ran without a disclaimer,≤100
2371071496554597,La Vérité,These ads ran without a disclaimer,≤100
107549030683812,Fin Au Chomage,These ads ran without a disclaimer,≤100
106534694118126,Bourses familiales,These ads ran without a disclaimer,≤100
665775987208382,First Invest,These ads ran without a disclaimer,≤100
111623526919023,Gre-Vio-Fem,These ads ran without a disclaimer,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
143022755731834,𝐈𝐬𝐥𝐚𝐦 𝐍𝐞𝐭,These ads ran without a disclaimer,≤100
364511750728224,Thaïlande Evasion,These ads ran without a disclaimer,≤100
8340223883,Avaaz,Avaaz,≤100
113574883420122,Aide Financière Non Remboursable de l'ONU,These ads ran without a disclaimer,≤100
116557798222,Miles McPherson,These ads ran without a disclaimer,≤100
281904555771607,Gool Gadgets Go,These ads ran without a disclaimer,≤100
