Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1992747901045064,Solidarité NC,These ads ran without a disclaimer,2569
647120415457989,La page éco d'Alain Descombels,These ads ran without a disclaimer,311
122037308191612,Make.org,Make.org,177
421314444999334,SOLAR NC,These ads ran without a disclaimer,122
101779865162916,Jeremie Katidjo Monnier,These ads ran without a disclaimer,≤100
1719859464782636,Assistance familiale,These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
101142051841006,Fonds Social de l'Habitat NC,These ads ran without a disclaimer,≤100
101814645192893,L.P.P NC,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
112298047312500,ProjetCanada,These ads ran without a disclaimer,≤100
1029400077169692,Groupama Nouvelle-Calédonie,These ads ran without a disclaimer,≤100
101838034948970,Sonia Lagarde,These ads ran without a disclaimer,≤100
125045644698177,Moetai Brotherson,These ads ran without a disclaimer,≤100
101001478313701,Assistance familiale,These ads ran without a disclaimer,≤100
102287088541335,Isabelle Champmoreau,These ads ran without a disclaimer,≤100
358205864284690,Calédonie Ensemble,These ads ran without a disclaimer,≤100
104135207796564,Bourse familiale,These ads ran without a disclaimer,≤100
555908727760897,Bioattitude Nouvelle Calédonie,These ads ran without a disclaimer,≤100
115366836686423,RegrowAustralia,These ads ran without a disclaimer,≤100
1257120757750522,Comite Inter Tribu De Bourail,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
632485810100536,province Sud,These ads ran without a disclaimer,≤100
858593024274880,Le Cagou Déchaîné,These ads ran without a disclaimer,≤100
101770243502022,Groupe CIPAC Nouvelle-Caledonie,These ads ran without a disclaimer,≤100
101814058380711,Sonia Lagarde aide,These ads ran without a disclaimer,≤100
101869424497331,Parer au Soleil,These ads ran without a disclaimer,≤100
115591005188475,Global Times,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
108016980832268,Assistances Financières du Gouvernement - AFG,These ads ran without a disclaimer,≤100
101210828365539,NC News,These ads ran without a disclaimer,≤100
100964625232224,Aide familial de fin d’Année Sonia lagarde,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
104854651020630,Service de Distribution,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
76283417065,L'EQUIPE,These ads ran without a disclaimer,≤100
100697281842985,Immigration Online,These ads ran without a disclaimer,≤100
106502614407331,Amplivo ECOVO,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
392414218033587,Pacific Islands Students Fighting Climate Change,These ads ran without a disclaimer,≤100
102386624735453,Aide gouvernementale et subventions de la Bourse Familiale,These ads ran without a disclaimer,≤100
102674628464801,We Need to Talk About West Papua,These ads ran without a disclaimer,≤100
109933040628840,Bourse Familiale,These ads ran without a disclaimer,≤100
109695217444023,L'Union Des Syndicats Ouvriers et Employés de Nouvelle-Calédonie - Usoenc,These ads ran without a disclaimer,≤100
841230545913536,Steven Kotler,These ads ran without a disclaimer,≤100
1058589734180547,NoumeaPost,These ads ran without a disclaimer,≤100
106838414264473,adventuresofarchieandveronica,These ads ran without a disclaimer,≤100
2133370100034168,Gadgets Go,These ads ran without a disclaimer,≤100
101122141695582,ONU Femmes officiel,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
312567513172,Tufina Watches,These ads ran without a disclaimer,≤100
593371571021420,Safe24 - Find Family & Friends,These ads ran without a disclaimer,≤100
2120039591371175,Wondershare FamiSafe,These ads ran without a disclaimer,≤100
109845107083417,Bravo novel,These ads ran without a disclaimer,≤100
103099385000776,Ocean Better,These ads ran without a disclaimer,≤100
109434877203654,Conversation Today,These ads ran without a disclaimer,≤100
102634248135638,Super Roman,These ads ran without a disclaimer,≤100
