Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,23182
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,16488
39435457457,Greenpeace France,Greenpeace France,14650
1981871332106127,Programme pour la Transition Energétique,Transition Energie,13124
314443337102,GRDF,GRDF,9991
179106818789009,Facebook,Facebook,9658
480418118654568,E.Leclerc,E.Leclerc,8471
110264154014366,Les Gargouilles,Les Gargouilles,8447
886390848092524,TGV INOUI,These ads ran without a disclaimer,8204
1329380840472696,Panneaux solaire,Conseil Solaire,7730
107898832590939,European Commission,European Commission,6847
1456586344652734,MAIF,MAIF,6640
122037308191612,Make.org,Make.org,6588
279472026328475,Pompe A Chaleur Aides.com,LA PLATEFORME DU LEAD,6475
426045577958757,Prime Énergie,These ads ran without a disclaimer,6166
173159234432,UNICEF France,UNICEF France,6101
312006269003808,ilek,ilek,5887
1854457991285846,Eco Energie,Transition Energies,5877
392341217527576,Gouvernement,Gouvernement,5823
100812558525125,Bon Plan Habitat,Transition Energie,5669
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,5561
335868279790722,CIWF France,CIWF France,5523
172991730153781,Energies subventions,David Itah,5279
285190805468917,Meilleur Placement,Philippe Jaen Aime,4947
106101771040090,Chaudière à Granulé,LA PLATEFORME DU LEAD,4602
426832457756357,Mes Soutiens,ORIXA MEDIA,4599
2121634984823131,Lambervalisolation.COM,FELIX PEREZ,4590
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,4392
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,4213
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,4136
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),3990
152399322377561,Primes écologique,These ads ran without a disclaimer,3826
165039663531531,Minecraft,These ads ran without a disclaimer,3783
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,3657
1863804550583555,Iso Service,Alon Tebeka,3653
108943410672988,WeSpring,These ads ran without a disclaimer,3632
851976621630627,Eco-Astuce.com,These ads ran without a disclaimer,3499
265420476920,Médecins du Monde France,Médecins du Monde France,3477
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,3384
287465005451475,Meilleur Habitat De France,LA PLATEFORME DU LEAD,3249
123875660969932,ENGIE,ENGIE,3167
464568377211278,Pompes à Chaleur,LA PLATEFORME DU LEAD,3124
176105152520900,Carrefour,Carrefour,2974
102782804473489,VMC à 1 €,LA PLATEFORME DU LEAD,2831
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,2702
99340666617,Nettoyons la Nature,E.Leclerc,2620
102952821123044,Vmc-1euro.fr,LA PLATEFORME DU LEAD,2588
340194730227571,Panneaux Solaires 1€,These ads ran without a disclaimer,2465
305608429284,EU Environment,Commission européenne en France,2447
583755248443877,L'École Française,These ads ran without a disclaimer,2421
14053295787,Oxfam France,Oxfam France,2365
1539166179460431,Isolation des combles,These ads ran without a disclaimer,2282
139331629464336,EDF,EDF,2267
170791994261,Audi France,Audi France,2223
128829237956,easyJet,easyJet,2213
279757933824,Parlement européen en France,Parlement européen en France,2145
412121566060960,Panneaux Solaires France,These ads ran without a disclaimer,2100
1148194178693675,Pompe à chaleur,These ads ran without a disclaimer,2006
1682924348618893,ekWateur,ekWateur,1999
