Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1981871332106127,Programme pour la Transition Energétique,Transition Energie,25696
39435457457,Greenpeace France,Greenpeace France,20184
178362315106,European Parliament,European Parliament,19883
1854457991285846,Eco Energie,Transition Energies,14386
110264154014366,Les Gargouilles,Les Gargouilles,13458
314443337102,GRDF,GRDF,8036
179106818789009,Facebook,Facebook,6987
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,6955
122037308191612,Make.org,Make.org,6728
480418118654568,E.Leclerc,E.Leclerc,6715
335868279790722,CIWF France,CIWF France,6409
173159234432,UNICEF France,UNICEF France,5796
886390848092524,TGV INOUI,These ads ran without a disclaimer,5770
107898832590939,European Commission,European Commission,5652
1539166179460431,Isolation des combles,These ads ran without a disclaimer,5507
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,5358
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,5325
426832457756357,Mes Soutiens,ORIXA MEDIA,5315
1456586344652734,MAIF,MAIF,5041
392341217527576,Gouvernement,Gouvernement,4678
1329380840472696,Panneaux solaire,Conseil Solaire,4524
265420476920,Médecins du Monde France,Médecins du Monde France,4509
285190805468917,Meilleur Placement,Philippe Jaen Aime,4217
100812558525125,Bon Plan Habitat,Transition Energie,3823
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,3478
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),3411
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,3388
14053295787,Oxfam France,Oxfam France,3305
108943410672988,WeSpring,These ads ran without a disclaimer,3280
165039663531531,Minecraft,These ads ran without a disclaimer,2970
1863804550583555,Iso Service,Alon Tebeka,2893
312006269003808,ilek,ilek,2834
196536624266116,Bâtiment photovoltaique,Philippe Manuel Clement Bourd,2802
104450921005395,Isoletamaison.com,OPTIM HABITAT PLUS,2641
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,2567
466932616850613,Mon avis citoyen,Mon avis citoyen,2534
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,2493
340654233462962,Maplanèteverte,Ma Planète Verte,2469
99340666617,Nettoyons la Nature,E.Leclerc,2414
2420487738043690,Energie-solaire.io,Dolead,2354
123875660969932,ENGIE,ENGIE,2313
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,2232
9025047571,Amnesty International France,Amnesty International France,2153
360242054162337,Ooinvestir,Ooinvestir,2119
109338787407392,Action Ecologie,These ads ran without a disclaimer,2107
305608429284,EU Environment,Commission européenne en France,2081
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,2038
491891557553645,ifaw,ifaw,1979
108767337651693,Mes Aides Energie,These ads ran without a disclaimer,1960
583755248443877,L'École Française,These ads ran without a disclaimer,1948
116455261255,Action contre la Faim (France),Action contre la Faim (France),1859
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,1807
1682924348618893,ekWateur,ekWateur,1804
170791994261,Audi France,Audi France,1768
279757933824,Parlement européen en France,Parlement européen en France,1766
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,1750
145392792632,WWF-France,WWF-France,1678
1642011509390003,Wizbii Money,Wizbii,1675
816074091903635,Comme Avant,Comme Avant,1652
176105152520900,Carrefour,Carrefour,1650
139331629464336,EDF,EDF,1602
128829237956,easyJet,easyJet,1570
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,1570
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,1550
163061217080336,Enedis,Enedis,1547
323618734452141,Brief.me,Brief.me,1518
155317537884626,Ordre de Malte France,Ordre de Malte France,1483
5987042235,Ben & Jerry's,Ben & Jerry's,1453
851976621630627,Eco-Astuce.com,These ads ran without a disclaimer,1423
631909843561408,Nespresso,Nespresso,1422
173206532693654,VELUX,VELUX,1407
121852905877303,900.care,Aymeric Grange,1402
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),1399
412121566060960,Panneaux Solaires France,These ads ran without a disclaimer,1395
1981871332106127,Programme pour la Transition Energétique,These ads ran without a disclaimer,1360
819996268096190,Identity & Democracy Party,Identity & Democracy Party,1352
229791257568789,Assureur Français,These ads ran without a disclaimer,1346
2002323729992518,Planète Panda,BARBIER QUENTIN,1331
112558237309147,iji.eco,iji.eco,1324
