Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1456586344652734,MAIF,MAIF,10995
363343994106793,Ecoloblue.re,These ads ran without a disclaimer,7901
122037308191612,Make.org,Make.org,6349
257971200956620,Kdopays,These ads ran without a disclaimer,5298
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,3681
107276701081058,Débat Néo - Trace ton Barachois,Commission nationale du débat public,2956
177160299635336,Bbamboo,Bbamboo,2929
115931789778226,Runeva,Ileva,1614
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,1531
155153417881348,EDF à la Réunion,These ads ran without a disclaimer,1336
1217764358288125,Chekpays,Alexis Ludovic Léo Dru-Sauer,1295
2204895343161175,Ibrahim Dindar,Ibrahim Dawood Dindar,1220
379108192901490,CVJ Conseil,These ads ran without a disclaimer,1190
583755248443877,L'École Française,These ads ran without a disclaimer,897
611637712325503,Sunzil Océan Indien,These ads ran without a disclaimer,825
2029944603927727,Albioma,Albioma,784
2029944603927727,Albioma,These ads ran without a disclaimer,653
803740823137805,DRDFE Réunion,Adventif,650
169244567345903,FSE Réunion,FSE (Réunion),647
362292347604470,Goodbye Plastic,These ads ran without a disclaimer,570
2638805392860228,Dimitri Rangama Petchy,These ads ran without a disclaimer,547
2174170399317785,Emmanuel Doulouma,James Pitché,433
521441794541818,Bien vivre ma retraite avec Senioriales,These ads ran without a disclaimer,428
471328796633293,FA7 Immobilier,These ads ran without a disclaimer,384
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,375
162863177690208,L'Entrepreneur Péi,These ads ran without a disclaimer,364
9359316996,L'Express,These ads ran without a disclaimer,349
521756814833356,Le PEUP - Parti pour l'Education et l'Unité Populaire,These ads ran without a disclaimer,334
2006627782761150,Aline Murin,These ads ran without a disclaimer,316
560771354015552,Nathalie Bassire 2020,These ads ran without a disclaimer,316
305474112828289,Trivium Avocats,Philippe Pierre Jean Pressecq,314
691383661196152,Jean-Luc Poudroux,Jean Luc Poudroux,287
205013086241551,Droite Sociale Réunion,Ibrahim Dawood Dindar,274
1376833862593416,Fédération APAJH,Fédération APAJH,273
521756814833356,Le PEUP - Parti pour l'Education et l'Unité Populaire,Jean Rémy Nelson Bourgogne,263
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,239
1695889637360770,Hempire,These ads ran without a disclaimer,234
120738684619918,Ville de Saint-Denis de La Réunion,These ads ran without a disclaimer,225
362292347604470,Goodbye Plastic,Goodbye Plastic,224
543871662412048,Lendopolis,Lendopolis,196
234317596938776,STE Athena,These ads ran without a disclaimer,188
109970987123783,Petits Gestes Reunion,These ads ran without a disclaimer,178
133606573350437,Agefiph,These ads ran without a disclaimer,169
831043243908625,Festival KOMPA ZOUK 974,Tessy Nassibou,152
1667137763393988,Kheops Développement,These ads ran without a disclaimer,146
103300767730371,La Réunion 2020 - île durable,These ads ran without a disclaimer,138
253172568049282,CNARM,These ads ran without a disclaimer,137
1324750394246842,Bruno Domen,These ads ran without a disclaimer,135
701773346887333,Fédération Nationale des Élus Républicains et Radicaux,These ads ran without a disclaimer,135
100987801651394,Decalaminage moteur,These ads ran without a disclaimer,130
392341217527576,Gouvernement,These ads ran without a disclaimer,123
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,118
2011175809169290,Imrhane Moullan,These ads ran without a disclaimer,117
1233760590041809,David Lorion,These ads ran without a disclaimer,114
286205464774116,Éricka Bareigts,These ads ran without a disclaimer,108
341942132652310,Ministère des solidarités et de la santé,These ads ran without a disclaimer,103
866477766822970,"La Réunion + Verte, Démocratique et Solidaire",These ads ran without a disclaimer,≤100
147212252552427,Salon des Maires et des Collectivités Locales SMCL,Benoit Fonters,≤100
2638805392860228,Dimitri Rangama Petchy,Dimitri Jean Loïc Rangama-Petchy,≤100
248656285999292,Le Carré Républicain,These ads ran without a disclaimer,≤100
138251652896236,CANAL+ Réunion,These ads ran without a disclaimer,≤100
364727727299193,Le Bocal Bio,These ads ran without a disclaimer,≤100
0,Instagram User 7915001157,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
106963237554444,Damien Lahmi,These ads ran without a disclaimer,≤100
105754074511780,Humanistes Harmonistes de Gauche de Droite et du Centre de la Réunion,These ads ran without a disclaimer,≤100
787103818356214,Thérésien Mouny Latchimy Saint Leu 2020,These ads ran without a disclaimer,≤100
100455575315559,SuperCleaner,These ads ran without a disclaimer,≤100
474082032669091,Christian Annette,Christian Marie Noel Annette,≤100
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1285805464849909,Gilles Leperlier,Gilles Leperlier,≤100
279088596134411,Acheterneuf.immo,These ads ran without a disclaimer,≤100
803740823137805,DRDFE Réunion,ADVENTIF,≤100
107340221097048,Salariés des Commerces alimentaires de proximité et magasins Bio,These ads ran without a disclaimer,≤100
1564092337223468,Cabinet Preziosi Ceccaldi Albenois,Jo Gasmi,≤100
104858584273915,Jofaly,These ads ran without a disclaimer,≤100
114787973597448,Humaniste Global de France et d'outre Mer,These ads ran without a disclaimer,≤100
395362490633154,Histoire Réunion,These ads ran without a disclaimer,≤100
1577951185855014,MY-ROCKET,These ads ran without a disclaimer,≤100
337489099923026,PNL Réunion - Christophe Mattei Groupe,These ads ran without a disclaimer,≤100
111513927014965,Plateforme Avantages,These ads ran without a disclaimer,≤100
221821747955985,Aquarium de la Reunion,These ads ran without a disclaimer,≤100
1849098268740324,System Lease,These ads ran without a disclaimer,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
77082918655,Nassimah DINDAR,Nassimah DINDAR,≤100
1730066413875900,Conersol,These ads ran without a disclaimer,≤100
641811412930374,Canada Visa Services,These ads ran without a disclaimer,≤100
1312632002200444,Pour Etre Bien Chez Soi,Mona Kanaan,≤100
867884009969082,En avant toutes,En avant toute(s),≤100
2174170399317785,Emmanuel Doulouma,These ads ran without a disclaimer,≤100
840589819457002,Break Poverty Foundation,Break Poverty Foundation,≤100
2055404444705406,Herwine Boyer Pitou,Marie Herwine Boyer,≤100
