Page ID,Page Name,Disclaimer,Amount Spent (EUR)
381564575243650,Région Auvergne-Rhône-Alpes,Région Auvergne-Rhône-Alpes,114523
39435457457,Greenpeace France,Greenpeace France,82451
178362315106,European Parliament,European Parliament,79014
110264154014366,Les Gargouilles,Les Gargouilles,67681
886390848092524,TGV INOUI,These ads ran without a disclaimer,36704
179106818789009,Facebook,Facebook,31561
122037308191612,Make.org,Make.org,28805
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,27622
1022379694635099,Primes Energie France,Energie FRANCE,26244
335868279790722,CIWF France,CIWF France,26162
1981871332106127,Programme pour la Transition Energétique,Transition Energie,25175
173159234432,UNICEF France,UNICEF France,24975
314443337102,GRDF,GRDF,24392
480418118654568,E.Leclerc,E.Leclerc,23126
107898832590939,European Commission,European Commission,22399
265420476920,Médecins du Monde France,Médecins du Monde France,21152
426832457756357,Mes Soutiens,ORIXA MEDIA,20942
1815507421886752,Primes Éco 2021,Eco home,20815
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,20166
392341217527576,Gouvernement,Gouvernement,18727
1456586344652734,MAIF,MAIF,17406
176105152520900,Carrefour,Carrefour,16658
108943410672988,WeSpring,These ads ran without a disclaimer,14762
14053295787,Oxfam France,Oxfam France,14729
1815507421886752,Primes Éco 2021,Primes Energetiques,14222
285190805468917,Meilleur Placement,Philippe Jaen Aime,13509
312006269003808,ilek,ilek,13293
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,12656
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,12087
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),11328
279757933824,Parlement européen en France,Parlement européen en France,11080
340654233462962,Maplanèteverte,Ma Planète Verte,11035
165039663531531,Minecraft,These ads ran without a disclaimer,11024
446043358936202,Tacotax,These ads ran without a disclaimer,10883
146021859351766,Solutions Énergétiques de France,These ads ran without a disclaimer,10750
9025047571,Amnesty International France,Amnesty International France,10405
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,10191
528000693909356,Rôle Energies,Rôle Energies,10165
1539166179460431,Isolation des combles,These ads ran without a disclaimer,9989
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,9755
851976621630627,Eco-Astuce.com,These ads ran without a disclaimer,9472
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,9460
583755248443877,L'École Française,These ads ran without a disclaimer,9315
491891557553645,ifaw,ifaw,9308
128829237956,easyJet,These ads ran without a disclaimer,8924
1863804550583555,Iso Service,Alon Tebeka,8753
323618734452141,Brief.me,Brief.me,8674
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,8541
305608429284,EU Environment,Commission européenne en France,8511
116455261255,Action contre la Faim (France),Action contre la Faim (France),7905
121852905877303,900.care,Aymeric Grange,7859
893265291009517,Transition Energetique,These ads ran without a disclaimer,7821
1682924348618893,ekWateur,ekWateur,7775
110758313680158,France Energie Aides 2021,Primes énergie,7740
123875660969932,ENGIE,ENGIE,7476
360242054162337,Ooinvestir,Ooinvestir,7427
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,7409
1642011509390003,Wizbii Money,Wizbii,7310
99340666617,Nettoyons la Nature,E.Leclerc,7136
110844793649736,Ekoblue,Ekoblue,7110
256197435586,Handicap International - Humanity & Inclusion,Handicap International,7010
112558237309147,iji.eco,iji.eco,6902
105494544395779,Nouvelle Réduction d'impôt 2020,These ads ran without a disclaimer,6892
816074091903635,Comme Avant,Comme Avant,6854
5987042235,Ben & Jerry's,Ben & Jerry's,6648
106554597767346,UNHCR France,UNHCR France,6319
528000693909356,Rôle Energies,These ads ran without a disclaimer,6274
2420487738043690,Energie-solaire.io,Dolead,6206
139331629464336,EDF,EDF,6141
1398144063673691,Ma Prime Éco,These ads ran without a disclaimer,6106
163061217080336,Enedis,Enedis,6080
155317537884626,Ordre de Malte France,Ordre de Malte France,6057
631909843561408,Nespresso,Nespresso,5868
211741889406857,L'énergie Solaire,These ads ran without a disclaimer,5858
