Page ID,Page Name,Disclaimer,Amount Spent (EUR)
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
103346844456961,Linko Caraïbes,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
350063285605302,St. Kitts Nevis Riddim,These ads ran without a disclaimer,≤100
0,Instagram User 9211980655,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
149871595805434,MP Rolando Brison,These ads ran without a disclaimer,≤100
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,≤100
2234216573469387,Le 97150,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
558219981362140,MyStraw Company,These ads ran without a disclaimer,≤100
291332298236482,Brasserie Lost,These ads ran without a disclaimer,≤100
1116164011746257,SXM Festival,These ads ran without a disclaimer,≤100
287950591724722,The Johnny Caker,These ads ran without a disclaimer,≤100
283999878804300,Waste2Work SXM,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
2388354714741824,EcoInnova,These ads ran without a disclaimer,≤100
107380783977255,Red Cole ️,These ads ran without a disclaimer,≤100
475401892514188,Anguilla Progressive Movement - APM,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
243499296538335,StraightUp SKN,These ads ran without a disclaimer,≤100
662356070897853,Annick Pétrus,These ads ran without a disclaimer,≤100
480305829018059,Badland Brawl,These ads ran without a disclaimer,≤100
779245532225241,All is PolitiQ,These ads ran without a disclaimer,≤100
974459525936546,It's Canada Time - itscanadatime,These ads ran without a disclaimer,≤100
573929622672998,Cluster GAT Caraibes,These ads ran without a disclaimer,≤100
8340223883,Avaaz,Avaaz,≤100
369102560473158,SoualiMag by EWAG,These ads ran without a disclaimer,≤100
2816570345025914,Glenneva H. 2020,These ads ran without a disclaimer,≤100
138533623013230,Radio Transat,These ads ran without a disclaimer,≤100
147587492527835,Kingsway SXM,These ads ran without a disclaimer,≤100
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,≤100
100466264657702,Giantef,These ads ran without a disclaimer,≤100
281904555771607,Gool Gadgets Go,These ads ran without a disclaimer,≤100
1757174107834441,Florida Invest,These ads ran without a disclaimer,≤100
115366836686423,RegrowAustralia,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
1327097880775030,Ibestbag fans,These ads ran without a disclaimer,≤100
173640982657027,GodLife,These ads ran without a disclaimer,≤100
267112676819291,Fun Hospital （逗趣醫院）,These ads ran without a disclaimer,≤100
1433488580013243,D Piano Girl Johanna,These ads ran without a disclaimer,≤100
1878320149136407,Rise of Empires: Ice and Fire,These ads ran without a disclaimer,≤100
106500651067526,Zeebanda TV,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
150322194563,PASA Primates: Pan African Sanctuary Alliance,PASA (Pan African Sanctuary Alliance),≤100
832298706889408,111%,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
8002590959,Rainforest Action Network,These ads ran without a disclaimer,≤100
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100
1276740932413062,Dauphin Telecom Business,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
113366390409659,Admerk Auto Transport,These ads ran without a disclaimer,≤100
322792735496,Antilles Realty Sint Maarten Real Estate,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
111889713916315,rolliefresh,These ads ran without a disclaimer,≤100
125459124158601,Facebook Safety,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
165004157332215,EWA: Learn English,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
17457692073,Dean Graziosi,These ads ran without a disclaimer,≤100
