Page ID,Page Name,Disclaimer,Amount Spent (EUR)
314443337102,GRDF,GRDF,193
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,Gouvernement,≤100
301330928866,IVG : vous hésitez ? Venez en parler !,These ads ran without a disclaimer,≤100
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
886390848092524,TGV INOUI,These ads ran without a disclaimer,≤100
455021905328620,Terrabitia,These ads ran without a disclaimer,≤100
189136988555901,HomEstima,These ads ran without a disclaimer,≤100
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,≤100
2420487738043690,Energie-solaire.io,Dolead,≤100
704260956353151,Solidarité Femmes,Fédération Nationale Solidarité Femmes avec des coupons publicitaires Facebook,≤100
38803022844,Haut et Court,Luckytime,≤100
158609180861860,Ministère de la Transition écologique,These ads ran without a disclaimer,≤100
178362315106,European Parliament,European Parliament,≤100
394973304203658,AJ+ français,These ads ran without a disclaimer,≤100
128829237956,easyJet,These ads ran without a disclaimer,≤100
583755248443877,L'École Française,These ads ran without a disclaimer,≤100
110264154014366,Les Gargouilles,Les Gargouilles,≤100
103884134312640,Yaz Loukhal Photography,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org,≤100
2420487738043690,Energie-solaire.io,These ads ran without a disclaimer,≤100
108401943893431,Alliance Galop,Alliance Galop,≤100
123875660969932,ENGIE,ENGIE,≤100
2809079132497689,Juste Mieux,Vertical Station,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
1637284559691939,Longwave Surfcamp,These ads ran without a disclaimer,≤100
1022379694635099,Primes Energie France,These ads ran without a disclaimer,≤100
369079193962680,Un esprit nouveau dans un corps nouveau,These ads ran without a disclaimer,≤100
108943410672988,WeSpring,These ads ran without a disclaimer,≤100
782314358541363,Natixis,Natixis,≤100
117846508797,Mobile Film Festival,Mobile Film Festival,≤100
528000693909356,Rôle Energies,Rôle Energies,≤100
107898832590939,European Commission,European Commission,≤100
108832743814064,Mary Helen,These ads ran without a disclaimer,≤100
323422558353215,Débat public sur le Pngmdr,Commission nationale du débat public,≤100
1621360578150794,Citroën PSA Retail,These ads ran without a disclaimer,≤100
994311884089106,Les pompes à chaleur officiel - France,These ads ran without a disclaimer,≤100
168901966533877,Institut Montaigne,Institut Montaigne,≤100
151791088227408,Saveurs et Harmonie,These ads ran without a disclaimer,≤100
287670395497494,bioralie.fr,These ads ran without a disclaimer,≤100
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),≤100
424922021243063,Loopsider,Arnaud Pierre Luc Maillard,≤100
2166336080091269,ART in MOV,These ads ran without a disclaimer,≤100
283023079280975,Love Beauty & Planet,Unilever France,≤100
1026099724099181,Collectif : Féministes contre le cyberharcèlement,Collectif : Féministes contre le cyberharcèlement,≤100
151453261951405,My Boo Company,These ads ran without a disclaimer,≤100
200607067033021,France Fraternités,These ads ran without a disclaimer,≤100
173257392750594,Commission européenne en France,Commission européenne en France,≤100
368975087307264,Period.,Arnaud Pierre Luc Maillard,≤100
218712568590786,La Fabuleuse Cantine,Eric Pétrotto,≤100
114676815236667,AIDES,These ads ran without a disclaimer,≤100
172397500143863,RhinoShield,These ads ran without a disclaimer,≤100
112511250119737,The ecological surf wax,These ads ran without a disclaimer,≤100
936580059750730,autodoc.de,These ads ran without a disclaimer,≤100
102566281122465,Interesting India,These ads ran without a disclaimer,≤100
1328361493982231,Riposte Laïque,These ads ran without a disclaimer,≤100
112542522148670,"Le HCR, l'Agence des Nations Unies pour les Réfugiés",These ads ran without a disclaimer,≤100
391251618184419,Vivre sans déchet,These ads ran without a disclaimer,≤100
1755581861401034,Arema Energies,These ads ran without a disclaimer,≤100
119188433212109,GF - Délégation d'Aquitaine,GF - Délégation d’Aquitaine,≤100
104730964240617,La Compagnie du Bambou,These ads ran without a disclaimer,≤100
438616870250857,Access Market,Karim Bensetta,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
286406748684689,AIDE 2019,These ads ran without a disclaimer,≤100
392163664301389,Mademoiselle Valerie,These ads ran without a disclaimer,≤100
131900330895811,Nailey Yéyé Photographie,These ads ran without a disclaimer,≤100
2171158826509354,Earth & Friends,These ads ran without a disclaimer,≤100
414890528556637,Jean-Louis Costes,These ads ran without a disclaimer,≤100
121388362246,Goldman Sachs,These ads ran without a disclaimer,≤100
119917546079809,SmartBags EU,These ads ran without a disclaimer,≤100
