Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,171226
39435457457,Greenpeace France,Greenpeace France,143380
108824017345866,Facebook,Facebook Inc.,133625
110264154014366,Les Gargouilles,Les Gargouilles,116707
179106818789009,Facebook,Facebook,101222
173159234432,UNICEF France,UNICEF France,78058
886390848092524,TGV INOUI,These ads ran without a disclaimer,61211
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,52777
265420476920,Médecins du Monde France,Médecins du Monde France,50730
480418118654568,E.Leclerc,E.Leclerc,48008
122037308191612,Make.org,Make.org,44977
314443337102,GRDF,GRDF,43552
426832457756357,Mes Soutiens,ORIXA MEDIA,41081
335868279790722,CIWF France,CIWF France,40851
176105152520900,Carrefour,Carrefour,39970
107898832590939,European Commission,European Commission,38314
279472026328475,Pompe A Chaleur Aides.com,LA PLATEFORME DU LEAD,38313
392341217527576,Gouvernement,Gouvernement,38174
446043358936202,Tacotax,These ads ran without a disclaimer,36597
108943410672988,WeSpring,These ads ran without a disclaimer,36511
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,35825
14053295787,Oxfam France,Oxfam France,35537
1329380840472696,Panneaux solaire,Conseil Solaire,33981
128829237956,easyJet,These ads ran without a disclaimer,30836
1456586344652734,MAIF,MAIF,30006
155317537884626,Ordre de Malte France,Ordre de Malte France,26867
583755248443877,L'École Française,These ads ran without a disclaimer,26263
9025047571,Amnesty International France,Amnesty International France,25681
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,24823
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,24674
285190805468917,Meilleur Placement,Philippe Jaen Aime,24459
312006269003808,ilek,ilek,22851
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,22300
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),22189
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,21513
165039663531531,Minecraft,These ads ran without a disclaimer,21489
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,21183
491891557553645,ifaw,ifaw,21058
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,20808
323618734452141,Brief.me,Brief.me,20561
106554597767346,UNHCR France,UNHCR France,19814
279757933824,Parlement européen en France,Parlement européen en France,19745
220098248063927,Samusocial de Paris,Samusocial de Paris,19683
1863804550583555,Iso Service,Alon Tebeka,19323
121852905877303,900.care,Aymeric Grange,19081
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,18140
102952821123044,Vmc-1euro.fr,LA PLATEFORME DU LEAD,17882
466932616850613,Mon avis citoyen,Mon avis citoyen,17590
1981871332106127,Programme pour la Transition Energétique,Transition Energie,17133
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,16951
114676815236667,AIDES,AIDES,16486
1682924348618893,ekWateur,ekWateur,16476
305608429284,EU Environment,Commission européenne en France,16457
340654233462962,Maplanèteverte,Ma Planète Verte,16408
5987042235,Ben & Jerry's,Ben & Jerry's,16294
116455261255,Action contre la Faim (France),Action contre la Faim (France),15831
110844793649736,Ekoblue,Ekoblue,15627
123875660969932,ENGIE,ENGIE,15300
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),15066
299688247340232,Energie-Pac.Com,These ads ran without a disclaimer,14878
256197435586,Handicap International - Humanity & Inclusion,Handicap International,14389
1642011509390003,Wizbii Money,Wizbii,13601
120780477955028,Secours populaire,Secours populaire,13475
631909843561408,Nespresso,Nespresso,13361
139331629464336,EDF,EDF,13088
190767987677923,Institut Curie,Institut Curie,12959
99340666617,Nettoyons la Nature,E.Leclerc,12732
2420487738043690,Energie-solaire.io,Dolead,12505
170791994261,Audi France,Audi France,12116
784009015121501,Kendy Polestin,These ads ran without a disclaimer,11962
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,11871
103076777777022,My Little Bee,These ads ran without a disclaimer,11751
328227120690505,Ministère du Travail,Ministère du Travail,11522
1425399957709691,Alternatiba Paris,Alternatiba Paris,11289
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,10907
108617820801441,Masque XIX,Solfra,10876
43083507654,Enercoop,Enercoop,10508
173206532693654,VELUX,VELUX,10392
115053675196280,Nana,Nana,9921
851976621630627,Eco-Astuce.com,These ads ran without a disclaimer,9916
173257392750594,Commission européenne en France,Commission européenne en France,9842
128829237956,easyJet,easyJet,9663
145392792632,WWF-France,WWF-France,9512
112558237309147,iji.eco,iji.eco,9233
1684441541609223,Pour l'Éco,Pour l'Éco,9193
176663393102,La Cimade,La Cimade,9187
819996268096190,Identity & Democracy Party,Identity & Democracy Party,8887
228138770684713,tylko,These ads ran without a disclaimer,8879
100154351338958,pac-energie.com,LA PLATEFORME DU LEAD,8831
376828926453369,Mon énergie solidaire,These ads ran without a disclaimer,8756
124743098139710,Alternativi,Jean Belhache,8646
93745060700,CARE France,CARE France,8516
137102989708866,Fondation Jérôme Lejeune,Fondation Jérôme Lejeune,8465
265420476920,Médecins du Monde France,These ads ran without a disclaimer,8423
206816856023737,BIODERMA,BIODERMA,8300
213536435417677,Fondation de France,Fondation de France,7980
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,7908
229791257568789,Assureur Français,These ads ran without a disclaimer,7892
100707905881,Plan International France,Plan International France,7799
105439357509813,Epanda,Guillaume Martin,7707
363625503719215,Défenseur des droits,Défenseur des droits,7664
413401852112275,La Mie de Pain,LA MIE DE PAIN,7649
816074091903635,Comme Avant,Comme Avant,7631
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,7368
61952884477,Sarenza,Sarenza,7360
156922821011409,Timberland,PHD Media,7337
178362315106,European Parliament,These ads ran without a disclaimer,7314
512413372428054,L'Essentiel par Macif,L'Essentiel par Macif,7210
106016060995377,Chaudiere 1 €,LA PLATEFORME DU LEAD,6999
340194730227571,Panneaux Solaires 1€,These ads ran without a disclaimer,6982
39435457457,Greenpeace France,These ads ran without a disclaimer,6965
471822402994902,Aeromexico,These ads ran without a disclaimer,6914
112044360267952,France Écologie,France Écologie,6796
103906211029800,Protégeons les droits des filles réfugiées,Antevenio Publicité,6625
380039845369159,SHEIN,These ads ran without a disclaimer,6539
103146727990,Ministère de l'Intérieur,Ministère de l'Intérieur,6494
102782804473489,VMC à 1 €,LA PLATEFORME DU LEAD,6425
283023079280975,Love Beauty & Planet,Unilever France,6245
2121634984823131,Lambervalisolation.COM,FELIX PEREZ,6203
113183856757963,Just Green Accessories,Margaux Butterlin,6169
392341217527576,Gouvernement,These ads ran without a disclaimer,6168
1757782394471400,Brut,Brut,6041
186862581340655,"Cap-Vietnam, le Vietnam pour et  par les internautes","Cap-Vietnam, le Vietnam pour et  par les internautes",5975
788486567982191,Direction Générale des Douanes et Droits Indirects,La Direction Générale des Douanes et Droits Indirects (DGDDI),5928
168901966533877,Institut Montaigne,Institut Montaigne,5751
87337929751,C8,These ads ran without a disclaimer,5730
527360474294400,Copees,These ads ran without a disclaimer,5709
2002323729992518,Planète Panda,BARBIER QUENTIN,5682
299688247340232,Energie-Pac.Com,LA PLATEFORME DU LEAD,5535
378521308935196,Running Heroes,Sport Heroes,5440
383882575328659,GRTgaz,These ads ran without a disclaimer,5437
495762937483621,Les Lignes Bougent,Les Lignes Bougent,5386
194934737335658,foodwatch France,foodwatch France,5380
375183942917049,Votre Douche Senior,These ads ran without a disclaimer,5377
335565686552738,Chiens Guides d'Aveugles Ile de France,Chiens Guides d'Aveugles Ile de France,5305
550490141980385,Brief.eco,Brief.me,5260
305608429284,EU Environment,EU Environment,5253
101714984908382,Masque Protector,SONICS,5175
1539166179460431,Isolation des combles,These ads ran without a disclaimer,5165
2390070404399510,majelan,majelan,5077
109446727137249,Les Copros Vertes,FNAIM,5049
291803297264,Aide et Action - Officiel,Aide et Action - Officiel,5000
152399322377561,Primes écologique,These ads ran without a disclaimer,4993
144056732332683,CANAL+,These ads ran without a disclaimer,4869
360242054162337,Ooinvestir,Ooinvestir,4861
112274740305770,Sauvons les koalas,These ads ran without a disclaimer,4826
111813051744,ACTION ENFANCE,ACTION ENFANCE,4821
99340666617,Nettoyons la Nature,These ads ran without a disclaimer,4792
194205247377292,Société de Saint Vincent de Paul - National,Société de Saint Vincent de Paul - National,4780
1854457991285846,Eco Energie,Transition Energies,4711
256197435586,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,4702
100255681599847,Veolia France,Veolia,4698
158609180861860,Ministère de la Transition écologique,These ads ran without a disclaimer,4691
124635890909275,Apprentis d'Auteuil,Apprentis d'Auteuil,4685
9547656123,Croix-Rouge française,Croix-Rouge française,4643
301330928866,IVG : vous hésitez ? Venez en parler !,IVG : vous hésitez ? Venez en parler !,4615
366230539391,Intermarché,These ads ran without a disclaimer,4558
408582579294175,UK government,These ads ran without a disclaimer,4555
319577888807977,Vattenfall France,Vattenfall France,4536
620475411694568,Les Solutions de l'Habitat - Soluha,Eva Sarah Alimi,4400
278641698813937,Fondation Raoul Follereau,Fondation Raoul Follereau,4399
108943410672988,WeSpring,WeSpring,4392
230438980660535,Uber Eats,These ads ran without a disclaimer,4326
172991730153781,Energies subventions,David Itah,4319
1757782394471400,Brut,These ads ran without a disclaimer,4316
116070051527,Mediapart,Mediapart,4234
6797246895,Ralph Lauren,Ralph Lauren,4201
482625248609253,Devis.io,Dolead,4184
2363689583957802,Nouvelle Réduction d'Impôt 2021,These ads ran without a disclaimer,4143
45537717797,Bibliothèques Sans Frontières,Bibliothèques Sans Frontières,4137
110000413816860,Mes-Soutiens - HCR France,Orixa Media,4125
146316935047,SECOURS ISLAMIQUE FRANCE,SECOURS ISLAMIQUE FRANCE,4100
150494586536,KissKissBankBank,KissKissBankBank,4060
718128561614617,La Relève et La Peste,La Relève et La Peste,4044
108961334029224,Sumofus en français,SumOfUs,4030
172397500143863,RhinoShield,These ads ran without a disclaimer,4022
840589819457002,Break Poverty Foundation,Break Poverty Foundation,4014
386684741892399,Santé Sénior,These ads ran without a disclaimer,3988
103692711104070,Écobag'S,Romain Alexandre Clairand,3947
108397722049,Planète OUI,Planète OUI,3925
384955301529344,Institut du Cerveau - Paris Brain Institute,ICM - Institut du Cerveau et de la Moelle épinière,3891
129880077025416,Reforest'Action,Reforest'Action,3887
106318370709727,Écolid,Romain Alexandre Clairand,3855
213536435417677,Fondation de France,These ads ran without a disclaimer,3838
108824017345866,Facebook,These ads ran without a disclaimer,3835
375585826133048,Les énergies renouvelables,These ads ran without a disclaimer,3833
221325414598759,Macif Course au Large,Macif Course au Large,3796
1621360578150794,Citroën PSA Retail,These ads ran without a disclaimer,3758
1148194178693675,Pompe à chaleur,These ads ran without a disclaimer,3741
929923063725260,Groupe Triforce,These ads ran without a disclaimer,3727
101559219152,Fondation Tara Océan,Fondation Tara Océan,3685
395919323779707,CRIF,CRIF,3628
109338787407392,Action Ecologie,These ads ran without a disclaimer,3504
100242331725723,Formation,LA PLATEFORME DU LEAD,3490
298188530537614,Pousse Pousse,Pousse Pousse,3489
58523373944,ARTE,Arte,3483
1456586344652734,MAIF,These ads ran without a disclaimer,3454
38803022844,Haut et Court,Luckytime,3454
106597467555830,Incontournables de 2020,These ads ran without a disclaimer,3433
233238057617978,Isolations-1euro,LA PLATEFORME DU LEAD,3394
181641188947620,Mint,These ads ran without a disclaimer,3372
641811412930374,Canada Visa Services,These ads ran without a disclaimer,3372
424922021243063,Loopsider,Loopsider,3355
358478628257486,Canopée,Sylvain Angerand,3353
8340223883,Avaaz,Avaaz,3335
721787671263055,Banque Française Mutualiste,Banque Française Mutualiste,3334
100845797055125,LinkedIn,These ads ran without a disclaimer,3325
1725706014328105,Constituer un patrimoine,These ads ran without a disclaimer,3325
350866824756,L214 Ethique et Animaux,L214 Ethique et Animaux,3322
101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,3262
935321299985437,Eco-Isolations.com,LA PLATEFORME DU LEAD,3256
111893580494228,Protection des réfugiés,Antevenio Publicité,3252
278422012257681,Le Pacte,Le Pacte,3234
54309785742,Fondation pour la Nature et l'Homme,Fondation pour la Nature et l'Homme,3220
51603470763,Europe Écologie-Les Verts,Adrien Aszerman,3208
222464404549841,Nexity,These ads ran without a disclaimer,3190
246577183385,JDD,JDD,3187
111174977254488,BeOcean,Killyan Jean Rene  Preterre,3177
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,3158
239762692740931,Le médicament et moi,Le médicament et moi,3153
384955301529344,Institut du Cerveau - Paris Brain Institute,Institut du Cerveau - Paris Brain Institute,3142
247467868639799,Belvilla Holiday Homes,These ads ran without a disclaimer,3138
186459878134648,PCF - Parti Communiste Français,PCF - Parti Communiste Français,3137
127027683999474,Ministère des Armées,Ministère des Armées,3137
544425445579374,L'Œuvre d'Orient,L'Œuvre d'Orient,3125
677902065668703,Fondation des Femmes,Fondation des Femmes,3115
271026783614,Fondation ARC pour la recherche sur le cancer,Fondation ARC pour la recherche sur le cancer,3109
166568903398287,Jean-Christophe Cambadélis,Jean-Christophe Cambadélis,2999
454724341400431,Grundfos,Grundfos,2964
301330928866,IVG : vous hésitez ? Venez en parler !,These ads ran without a disclaimer,2945
537454289776874,USR Diaspora - Franța,Uniunea Salvați România - USR,2905
214586435399197,École Chiens Guides Paris,École Chiens Guides Paris,2888
464568377211278,Pompes à Chaleur,LA PLATEFORME DU LEAD,2877
105135494426480,Région Investissements,These ads ran without a disclaimer,2860
433599217105740,Pimpant,Amandine Frery,2853
383882575328659,GRTgaz,GRTgaz,2831
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,2821
268836617151334,Fille Unique,Sébastien Jean-Pierre Paul Henri Gourdon,2809
426832457756357,Mes Soutiens,These ads ran without a disclaimer,2789
2255712224695032,MonacoNow,MonacoNow,2787
244818675531668,Barreau de Paris / Ordre des avocats de Paris,Barreau de Paris / Ordre des avocats de Paris,2782
135043977161040,Sciences Po Executive Education,Sciences Po Executive Education,2694
449328539153201,Eco primes,These ads ran without a disclaimer,2690
102952821123044,Vmc-1euro.fr,LA PLATEFORME DU LEAD,2682
108976890348,Vaincre la Mucoviscidose,Vaincre la Mucoviscidose,2657
141007519410664,Human Appeal - France,Maissa Ghaouel,2622
412147632259754,AirHelp,These ads ran without a disclaimer,2612
363210450932797,La Maison du Bambou,These ads ran without a disclaimer,2604
201716123952571,Mon épargne et moi,Natixis Investment Managers,2601
28312410177,World Food Programme,These ads ran without a disclaimer,2592
112542522148670,"Le HCR, l'Agence des Nations Unies pour les Réfugiés","Le HCR, l'Agence des Nations Unies pour les Réfugiés",2574
2177632682563843,Òmnium Civil Rights Europe,These ads ran without a disclaimer,2573
113671220183478,"Les personnes sans-abri du métro : ensemble, apportons des solutions.",Etat d'Esprit pour le compte de la Région Île-de-France,2570
695669030493619,La Tribune Events,La Tribune,2521
1738160882934605,Syndicat des énergies renouvelables,Céline Marquet,2491
105494544395779,Nouvelle Réduction d'impôt 2020,These ads ran without a disclaimer,2481
1545035889067061,LITA.co France,These ads ran without a disclaimer,2469
176105152520900,Carrefour,These ads ran without a disclaimer,2442
2171158826509354,Earth & Friends,These ads ran without a disclaimer,2433
101106058167117,Green Management School,MediaSchool,2425
449003618508780,France Parrainages,France Parrainages,2418
1329380840472696,Panneaux solaire,These ads ran without a disclaimer,2399
105577717724856,Eucalyptus Bracelet,Cédric Johan Michel Dardennes,2393
155847284906527,Patagonia,Patagonia,2388
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,2388
163061217080336,Enedis,Enedis,2348
190645890956184,Impot-et-Solutions.fr,These ads ran without a disclaimer,2345
335868279790722,CIWF France,These ads ran without a disclaimer,2297
282242479182060,Tik Tok - including musical.ly advertising,These ads ran without a disclaimer,2282
620603471382277,Memento Distribution,Memento Films Distribution,2254
126602644034987,Technitoit,Technitoit,2250
153767808019079,Armée de Terre Recrute,These ads ran without a disclaimer,2232
304132503020597,La Banque Postale,La Banque Postale,2229
564556427071798,Forbes France,These ads ran without a disclaimer,2225
129923780385097,Magazine Antidote,Magazine Antidote,2224
404173029927678,DS hydrocarbure,DS hydrocarbure,2195
172759396078070,FDJ,FDJ,2189
328921041030393,La revue économique,These ads ran without a disclaimer,2179
2520011044700557,Ma maison verte,Itsy Media,2173
147286571954387,Victimes et Préjudices - Avocats,victimes et préjudices - Gerbi Avocat,2160
139719006082496,Husqvarna,Husqvarna,2152
466932616850613,Mon avis citoyen,These ads ran without a disclaimer,2145
106101771040090,Chaudière à Granulé,LA PLATEFORME DU LEAD,2144
254390831378440,Ornikar,These ads ran without a disclaimer,2125
455021905328620,Terrabitia,These ads ran without a disclaimer,2099
267198197101653,A Bicyclette,Arnaud Baudry,2061
187348407967116,Asmae - Association Soeur Emmanuelle,Asmae - Association Soeur Emmanuelle,2056
528000693909356,Rôle Energies,These ads ran without a disclaimer,2052
105919104224268,Youandbee,Youandbee,2038
112473887001951,Défiscalisation Rentable,These ads ran without a disclaimer,2038
105007861274639,Force aux Droits avec Julie Couturier et Vincent Nioré - Bâtonnat 2022,Julie Couturier,1999
2809079132497689,Juste Mieux,Vertical Station,1994
127906230603661,Cours Thalès,These ads ran without a disclaimer,1988
360872824739466,Fondation Française de l'Ordre de Malte,Fondation Française de l'Ordre de Malte,1987
9359316996,L'Express,These ads ran without a disclaimer,1983
114676815236667,AIDES,These ads ran without a disclaimer,1975
16970370254,Selectra,These ads ran without a disclaimer,1967
249355235114951,Klorane France,Klorane France,1964
173159234432,UNICEF France,These ads ran without a disclaimer,1922
301330928866,IVG : vous hésitez ? Venez en parler !,SOS détresse,1900
475475545864761,Curieux,Curieux,1891
335960503093998,Avenir de la Culture,Avenir de la Culture,1885
367722810503896,Couverture Santé Senior,These ads ran without a disclaimer,1855
2084005808584340,PAOS,PAOS,1836
112547358788607,CCFD-Terre Solidaire,These ads ran without a disclaimer,1833
457518780082,Service Civique,Service Civique,1830
169065407139584,Tilt,Tilt,1829
412121566060960,Panneaux Solaires France,These ads ran without a disclaimer,1827
297216183943797,Indy (ex Georges),These ads ran without a disclaimer,1819
512213852638489,Aides pour les pompes à chaleurs 2019,These ads ran without a disclaimer,1793
148758255215603,Total,These ads ran without a disclaimer,1790
104604488788,Diaphana Distribution,Diaphana Distribution,1774
105501031217815,Minute France,These ads ran without a disclaimer,1770
200969413280005,Shell,These ads ran without a disclaimer,1766
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,1765
1907091326193407,America mag,America mag,1753
370285822271,Democrats Abroad France,Democrats Abroad France,1746
106101771040090,Chaudière à Granulé,LA PLATEFORME DU LEAD,1714
292120406564,SEAT,These ads ran without a disclaimer,1704
455021905328620,Terrabitia,Terrabitia,1691
2009806149306205,CPIC,These ads ran without a disclaimer,1682
100484617963144,Capeebara,Medhi Zeroual,1677
122258856407624,Urgence Domicile,Urgence Domicile,1652
45754570846,Musée Grévin,These ads ran without a disclaimer,1641
135590433555491,Diffuz Solidaire,These ads ran without a disclaimer,1627
374531839355656,Tiller,These ads ran without a disclaimer,1624
154912951193067,Médecins Sans Frontières / MSF,These ads ran without a disclaimer,1623
183045748427091,Always France,These ads ran without a disclaimer,1614
113928800051653,Artisan Isolation 1 euro,LA PLATEFORME DU LEAD,1602
198508090036,L'Obs,These ads ran without a disclaimer,1598
114128620230242,Front Populaire,Michel Onfray,1588
100687071351314,Corteva Agriscience,Corteva Agriscience (fr),1572
747587115323097,Welcome to the Jungle France,These ads ran without a disclaimer,1566
121388362246,Goldman Sachs,These ads ran without a disclaimer,1556
102315044984986,Pôle compétence,These ads ran without a disclaimer,1555
167550426627491,Nutella,These ads ran without a disclaimer,1550
124743098139710,Alternativi,These ads ran without a disclaimer,1545
729627343834501,Kialo,These ads ran without a disclaimer,1535
299362357345860,age-pac-energie.fr,LA PLATEFORME DU LEAD,1530
299362357345860,age-pac-energie.fr,These ads ran without a disclaimer,1526
18950434380,La Tribune,La Tribune,1523
