Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
178362315106,European Parliament,European Parliament,211270,880
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,184345,245
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,93791,273
107898832590939,European Commission,European Commission,61933,269
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,54508,345
668804566601196,Giorgos Patoulis,Georgios Patoulis,38499,177
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,37278,389
240638659452549,To Potami,To Potami,33036,26
159977541380043,The President,The President,32969,116
31324524225,Greenpeace Greece,Greenpeace Greece,32583,412
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,31945,397
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,29118,37
192906947432657,Protagon.gr (official),Protagon.gr (official),28141,1291
109447140544937,Greece 2021,Greece 2021,26311,380
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,23990,116
254883792041627,In Progress,In Progress,23134,8
54529589753,ActionAid Hellas,ActionAid Hellas,22892,236
230319800467420,Ομάδα Μνήμης,In Progress,22065,9
2273336566260671,Οι Έλληνες,In Progress,20898,11
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,20201,126
231622590274503,Η Άποψη,Evanthia Nasopoulou-Nasiopoulou,18053,2330
540255419338122,Dove,"Dove, a Unilever brand",15670,31
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,15439,285
2128150737398149,Γιώργος Χατζημάρκος,Γιώργος Χατζημάρκος,15154,636
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,15145,29
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,14847,214
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),14460,57
142786442458509,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,14391,179
108183264211965,UNICEF Greece,UNICEF Greece,14100,17
328579347615625,Φιλελεύθερος,Φιλελεύθερος,13914,165
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,13756,59
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,13414,242
1523771647899219,Γιώργος Χριστοφορίδης,Γιώργος Χριστοφορίδης,13101,22
225197477683663,Ρένα Δούρου,Ρένα Δούρου,12776,108
1438293789797221,ecoelastika,ecoelastika,12733,52
369693523475596,INBOX,New Digital Media,11937,157
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,11432,221
230783627111785,Θεανώ Βρέντζου - Σκορδαλάκη / Theano Vrentzou - Skordalaki,Θεανώ Βρέντζου - Σκορδαλάκη / Theano Vrentzou - Skordalaki,10748,28
91877963116,WWF Greece,WWF Greece,10728,179
309795039074935,Vassilis Kikilias,Vassilis Kikilias,10638,70
1803155206621023,Documento,Documento Media,10610,320
1572650866310052,Niki Kerameus,Niki Kerameus,9837,109
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,9806,95
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,9408,131
216089191899991,Νίκος Ανδρουλάκης,Νίκος Ανδρουλάκης,9396,115
134135906635470,newsbomb.gr,newsbomb.gr,9303,225
729627343834501,Kialo,These ads ran without a disclaimer,9219,323
1810483529251990,ΔΕΗ Α.Ε.,These ads ran without a disclaimer,9114,26
884232144944869,Coca-Cola,Coca-Cola,9060,44
768996799785550,Παύλος Ελευθεριάδης,Pavlos Eleftheriadis,8701,24
1748153855406537,vradini.gr,vradini.gr,8696,493
284294775065460,Konstantinos Kyranakis,Konstantinos Kyranakis,8681,72
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Dimitrios Kairidis,8600,656
404183552993057,newmoney.gr,newmoney.gr,8542,238
371502160052057,Μένουμε δυνατοί,ΚΚΕ,8373,76
1632988056952632,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,8288,1632
248309308515494,Ίδρυμα Ωνάση / Onassis Foundation,Ίδρυμα Ωνάση / Onassis Foundation,8202,26
1689683741064617,Πράξη Αγάπης,Πράξη Αγάπης,8042,11
1645903788996329,liberal.gr,liberal.gr,7951,232
96558369375,Εμπορικός Σύλλογος Αθηνών,Εμπορικός Σύλλογος Αθηνών,7898,71
117072912198,protothema.gr,protothema.gr,7763,168
239059192856378,parapolitika.gr,parapolitika.gr,7753,684
100142318008136,Φεστιβάλ ΚΝΕ-Οδηγητή,Φεστιβάλ ΚΝΕ-Οδηγητή,7715,150
1236719233006589,PeopleCert Education,These ads ran without a disclaimer,7538,12
511603515593150,Nestlé,Nestlé,7431,5
2245032148843299,Nikos Papandreou,Nikos Papandreou,7298,121
822247708117569,Σοφία Νικολάου,These ads ran without a disclaimer,7133,55
1970779819866623,Kostas Dervos,Kostas Dervos,7055,195
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,6919,16
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,6787,138
381579661926927,RP.GR,Spyridon Rizopoulos,6658,554
357567421559428,Newsique,Emmanouil Kaklamanos,6619,17
1982227018503804,Φερραίος Αλέξανδρος blog page,Alexandros Ferraios,6602,30
462297943960823,Πλεύση Ελευθερίας,Πλεύση Ελευθερίας,6448,162
2212837805653569,Χριστίνα Τσιλιγκίρη / Christina Tsiligkiri,Christina Tsiligkiri,6404,374
494931820680985,Αντώνης Σαουλίδης - Δικηγόρος,Αντώνης Σαουλίδης - Δικηγόρος,6241,95
101137087979209,seventhgenerationgr,"Seventh Generation, a Unilever brand",6220,5
106952522717824,Iefimerida,iefimerida,6169,1797
141366725876424,European Greens,European Greens,6147,9
226397774096827,Δημιουργία Ξανά,Δημιουργία Ξανά,6008,411
